level,stage,functions,blocks,instructions,conditional_branches,calls,loads,stores,geps,phis,memory_ops
O1,raw_lift,30,138,1621,51,44,115,250,7,2,372
O1,brightened_main,11,53,1192,5,25,136,601,67,41,808
O1,bundle_pointer_opt,11,53,1176,5,25,135,601,66,35,806
O1,bundle_standard_opt_3,11,53,1062,5,25,108,514,66,35,692
O1,bundle_storage_delift,11,53,1062,5,25,108,514,66,35,692
O1,bundle_residual_strip,11,53,1062,5,25,108,514,66,35,692
O1,final_clean,11,53,959,5,25,102,417,66,35,589
O2,raw_lift,30,138,1621,51,44,115,250,7,2,372
O2,brightened_main,11,53,1189,5,25,136,599,67,41,806
O2,bundle_pointer_opt,11,53,1173,5,25,135,599,66,35,804
O2,bundle_standard_opt_3,11,53,966,5,25,102,425,66,35,597
O2,bundle_storage_delift,11,53,966,5,25,102,425,66,35,597
O2,bundle_residual_strip,11,53,966,5,25,102,425,66,35,597
O2,final_clean,11,53,958,5,25,102,417,66,35,589
O3,raw_lift,30,138,1621,51,44,115,250,7,2,372
O3,brightened_main,11,53,1189,5,25,136,599,67,41,806
O3,bundle_pointer_opt,11,53,1173,5,25,135,599,66,35,804
O3,bundle_standard_opt_3,11,53,966,5,25,102,425,66,35,597
O3,bundle_storage_delift,11,53,966,5,25,102,425,66,35,597
O3,bundle_residual_strip,11,53,966,5,25,102,425,66,35,597
O3,final_clean,11,53,958,5,25,102,417,66,35,589
