submission_id,token_count,file_size_bytes,clean_source,obfuscated_binary,dataset_split
n26081501,,,custom_dataset/clean_src/h00001/n26081501.c,custom_dataset/obfuscated/h00001/n26081501_fla_bcf_instsub.elf,own_v1
n26081502,,,custom_dataset/clean_src/h00002/n26081502.c,custom_dataset/obfuscated/h00002/n26081502_fla_bcf_instsub.elf,own_v1
n26081503,,,custom_dataset/clean_src/h00003/n26081503.c,custom_dataset/obfuscated/h00003/n26081503_fla_bcf_instsub.elf,own_v1
n26081504,,,custom_dataset/clean_src/h00004/n26081504.c,custom_dataset/obfuscated/h00004/n26081504_fla_bcf_instsub.elf,own_v1
n26081505,,,custom_dataset/clean_src/h00005/n26081505.c,custom_dataset/obfuscated/h00005/n26081505_fla_bcf_instsub.elf,own_v1
n26081506,,,custom_dataset/clean_src/h00006/n26081506.c,custom_dataset/obfuscated/h00006/n26081506_fla_bcf_instsub.elf,own_v1
n26081507,,,custom_dataset/clean_src/h00007/n26081507.c,custom_dataset/obfuscated/h00007/n26081507_fla_bcf_instsub.elf,own_v1
n26081508,,,custom_dataset/clean_src/h00008/n26081508.c,custom_dataset/obfuscated/h00008/n26081508_fla_bcf_instsub.elf,own_v1
n26081509,,,custom_dataset/clean_src/h00009/n26081509.c,custom_dataset/obfuscated/h00009/n26081509_fla_bcf_instsub.elf,own_v1
n26081510,,,custom_dataset/clean_src/h00010/n26081510.c,custom_dataset/obfuscated/h00010/n26081510_fla_bcf_instsub.elf,own_v1
n26081511,,,custom_dataset/clean_src/h00011/n26081511.c,custom_dataset/obfuscated/h00011/n26081511_fla_bcf_instsub.elf,own_v1
n26081512,,,custom_dataset/clean_src/h00012/n26081512.c,custom_dataset/obfuscated/h00012/n26081512_fla_bcf_instsub.elf,own_v1
n26081513,,,custom_dataset/clean_src/h00013/n26081513.c,custom_dataset/obfuscated/h00013/n26081513_fla_bcf_instsub.elf,own_v1
n26081514,,,custom_dataset/clean_src/h00014/n26081514.c,custom_dataset/obfuscated/h00014/n26081514_fla_bcf_instsub.elf,own_v1
n26081515,,,custom_dataset/clean_src/h00015/n26081515.c,custom_dataset/obfuscated/h00015/n26081515_fla_bcf_instsub.elf,own_v1
n26081516,,,custom_dataset/clean_src/h00016/n26081516.c,custom_dataset/obfuscated/h00016/n26081516_fla_bcf_instsub.elf,own_v1
n26081517,,,custom_dataset/clean_src/h00017/n26081517.c,custom_dataset/obfuscated/h00017/n26081517_fla_bcf_instsub.elf,own_v1
n26081518,,,custom_dataset/clean_src/h00018/n26081518.c,custom_dataset/obfuscated/h00018/n26081518_fla_bcf_instsub.elf,own_v1
n26081519,,,custom_dataset/clean_src/h00019/n26081519.c,custom_dataset/obfuscated/h00019/n26081519_fla_bcf_instsub.elf,own_v1
n26081520,,,custom_dataset/clean_src/h00020/n26081520.c,custom_dataset/obfuscated/h00020/n26081520_fla_bcf_instsub.elf,own_v1
n26081521,,,custom_dataset/clean_src/h00021/n26081521.c,custom_dataset/obfuscated/h00021/n26081521_fla_bcf_instsub.elf,own_v1
n26081522,,,custom_dataset/clean_src/h00022/n26081522.c,custom_dataset/obfuscated/h00022/n26081522_fla_bcf_instsub.elf,own_v1
n26081523,,,custom_dataset/clean_src/h00023/n26081523.c,custom_dataset/obfuscated/h00023/n26081523_fla_bcf_instsub.elf,own_v1
n26081524,,,custom_dataset/clean_src/h00024/n26081524.c,custom_dataset/obfuscated/h00024/n26081524_fla_bcf_instsub.elf,own_v1
n26081525,,,custom_dataset/clean_src/h00025/n26081525.c,custom_dataset/obfuscated/h00025/n26081525_fla_bcf_instsub.elf,own_v1
n26081526,,,custom_dataset/clean_src/h00026/n26081526.c,custom_dataset/obfuscated/h00026/n26081526_fla_bcf_instsub.elf,own_v1
n26081527,,,custom_dataset/clean_src/h00027/n26081527.c,custom_dataset/obfuscated/h00027/n26081527_fla_bcf_instsub.elf,own_v1
n26081528,,,custom_dataset/clean_src/h00028/n26081528.c,custom_dataset/obfuscated/h00028/n26081528_fla_bcf_instsub.elf,own_v1
n26081529,,,custom_dataset/clean_src/h00029/n26081529.c,custom_dataset/obfuscated/h00029/n26081529_fla_bcf_instsub.elf,own_v1
n26081530,,,custom_dataset/clean_src/h00030/n26081530.c,custom_dataset/obfuscated/h00030/n26081530_fla_bcf_instsub.elf,own_v1
n26081531,,,custom_dataset/clean_src/h00031/n26081531.c,custom_dataset/obfuscated/h00031/n26081531_fla_bcf_instsub.elf,own_v1
n26081532,,,custom_dataset/clean_src/h00032/n26081532.c,custom_dataset/obfuscated/h00032/n26081532_fla_bcf_instsub.elf,own_v1
n26081533,,,custom_dataset/clean_src/h00033/n26081533.c,custom_dataset/obfuscated/h00033/n26081533_fla_bcf_instsub.elf,own_v1
n26081534,,,custom_dataset/clean_src/h00034/n26081534.c,custom_dataset/obfuscated/h00034/n26081534_fla_bcf_instsub.elf,own_v1
n26081535,,,custom_dataset/clean_src/h00035/n26081535.c,custom_dataset/obfuscated/h00035/n26081535_fla_bcf_instsub.elf,own_v1
n26081536,,,custom_dataset/clean_src/h00036/n26081536.c,custom_dataset/obfuscated/h00036/n26081536_fla_bcf_instsub.elf,own_v1
n26081537,,,custom_dataset/clean_src/h00037/n26081537.c,custom_dataset/obfuscated/h00037/n26081537_fla_bcf_instsub.elf,own_v1
n26081538,,,custom_dataset/clean_src/h00038/n26081538.c,custom_dataset/obfuscated/h00038/n26081538_fla_bcf_instsub.elf,own_v1
n26081539,,,custom_dataset/clean_src/h00039/n26081539.c,custom_dataset/obfuscated/h00039/n26081539_fla_bcf_instsub.elf,own_v1
n26081540,,,custom_dataset/clean_src/h00040/n26081540.c,custom_dataset/obfuscated/h00040/n26081540_fla_bcf_instsub.elf,own_v1
