submission_id,token_count,file_size_bytes,clean_source,obfuscated_binary
s626776881,442,1320,data/clean_src/p04028/s626776881.c,data/obfuscated/p04028/s626776881_fla_bcf_instsub.elf
s092364643,405,1953,data/clean_src/p00001/s092364643.c,data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf
s915631953,660,3506,data/clean_src/p02814/s915631953.c,data/obfuscated/p02814/s915631953_fla_bcf_instsub.elf
s583362876,629,1910,data/clean_src/p03510/s583362876.c,data/obfuscated/p03510/s583362876_fla_bcf_instsub.elf
s998194081,344,1303,data/clean_src/p00788/s998194081.c,data/obfuscated/p00788/s998194081_fla_bcf_instsub.elf
s601450783,349,857,data/clean_src/p03430/s601450783.c,data/obfuscated/p03430/s601450783_fla_bcf_instsub.elf
s961523709,398,1059,data/clean_src/p00678/s961523709.c,data/obfuscated/p00678/s961523709_fla_bcf_instsub.elf
s763935897,492,1307,data/clean_src/p00033/s763935897.c,data/obfuscated/p00033/s763935897_fla_bcf_instsub.elf
s212409236,461,980,data/clean_src/p01315/s212409236.c,data/obfuscated/p01315/s212409236_fla_bcf_instsub.elf
s864110221,462,1103,data/clean_src/p02950/s864110221.c,data/obfuscated/p02950/s864110221_fla_bcf_instsub.elf
s746355550,433,1343,data/clean_src/p00693/s746355550.c,data/obfuscated/p00693/s746355550_fla_bcf_instsub.elf
s771404612,261,643,data/clean_src/p00008/s771404612.c,data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf
s595927985,596,1581,data/clean_src/p00859/s595927985.c,data/obfuscated/p00859/s595927985_fla_bcf_instsub.elf
s146593197,364,1159,data/clean_src/p01687/s146593197.c,data/obfuscated/p01687/s146593197_fla_bcf_instsub.elf
s624710482,260,527,data/clean_src/p02100/s624710482.c,data/obfuscated/p02100/s624710482_fla_bcf_instsub.elf
s660972586,357,1038,data/clean_src/p01970/s660972586.c,data/obfuscated/p01970/s660972586_fla_bcf_instsub.elf
s722254321,282,816,data/clean_src/p00165/s722254321.c,data/obfuscated/p00165/s722254321_fla_bcf_instsub.elf
s942434524,360,745,data/clean_src/p01766/s942434524.c,data/obfuscated/p01766/s942434524_fla_bcf_instsub.elf
s383039486,319,636,data/clean_src/p02474/s383039486.c,data/obfuscated/p02474/s383039486_fla_bcf_instsub.elf
s356526576,364,723,data/clean_src/p00327/s356526576.c,data/obfuscated/p00327/s356526576_fla_bcf_instsub.elf
s836003439,1433,5503,data/clean_src/p03835/s836003439.c,data/obfuscated/p03835/s836003439_fla_bcf_instsub.elf
s913513064,1103,12630,data/clean_src/p02289/s913513064.c,data/obfuscated/p02289/s913513064_fla_bcf_instsub.elf
s729150918,991,2198,data/clean_src/p00793/s729150918.c,data/obfuscated/p00793/s729150918_fla_bcf_instsub.elf
s574999050,912,4041,data/clean_src/p03854/s574999050.c,data/obfuscated/p03854/s574999050_fla_bcf_instsub.elf
s082142762,1473,6744,data/clean_src/p03543/s082142762.c,data/obfuscated/p03543/s082142762_fla_bcf_instsub.elf
s567580506,2348,10460,data/clean_src/p03434/s567580506.c,data/obfuscated/p03434/s567580506_fla_bcf_instsub.elf
s344335879,1906,7587,data/clean_src/p03493/s344335879.c,data/obfuscated/p03493/s344335879_fla_bcf_instsub.elf
s799607332,1133,4651,data/clean_src/p03773/s799607332.c,data/obfuscated/p03773/s799607332_fla_bcf_instsub.elf
s752471056,1075,2391,data/clean_src/p03199/s752471056.c,data/obfuscated/p03199/s752471056_fla_bcf_instsub.elf
s653265412,964,2495,data/clean_src/p02788/s653265412.c,data/obfuscated/p02788/s653265412_fla_bcf_instsub.elf
s327549193,1794,4359,data/clean_src/p01571/s327549193.c,data/obfuscated/p01571/s327549193_fla_bcf_instsub.elf
s891773536,711,2119,data/clean_src/p02029/s891773536.c,data/obfuscated/p02029/s891773536_fla_bcf_instsub.elf
s228971816,2580,6218,data/clean_src/p02477/s228971816.c,data/obfuscated/p02477/s228971816_fla_bcf_instsub.elf
s236329906,1301,3532,data/clean_src/p01296/s236329906.c,data/obfuscated/p01296/s236329906_fla_bcf_instsub.elf
s125302006,2646,5893,data/clean_src/p03006/s125302006.c,data/obfuscated/p03006/s125302006_fla_bcf_instsub.elf
s710805295,5015,16018,data/clean_src/p03142/s710805295.c,data/obfuscated/p03142/s710805295_fla_bcf_instsub.elf
s333068212,2108,4363,data/clean_src/p00867/s333068212.c,data/obfuscated/p00867/s333068212_fla_bcf_instsub.elf
s577603531,2074,4601,data/clean_src/p03261/s577603531.c,data/obfuscated/p03261/s577603531_fla_bcf_instsub.elf
s721771429,1735,3473,data/clean_src/p03776/s721771429.c,data/obfuscated/p03776/s721771429_fla_bcf_instsub.elf
s152042503,2308,5846,data/clean_src/p03111/s152042503.c,data/obfuscated/p03111/s152042503_fla_bcf_instsub.elf
