submission_id,token_count,file_size_bytes,clean_source,obfuscated_binary,dataset_split
n26081501,,,data/own_dataset/src/h00001/n26081501.c,data/own_dataset/obfuscated/h00001/n26081501_fla_bcf_instsub.elf,own_v1
n26081502,,,data/own_dataset/src/h00002/n26081502.c,data/own_dataset/obfuscated/h00002/n26081502_fla_bcf_instsub.elf,own_v1
n26081503,,,data/own_dataset/src/h00003/n26081503.c,data/own_dataset/obfuscated/h00003/n26081503_fla_bcf_instsub.elf,own_v1
n26081504,,,data/own_dataset/src/h00004/n26081504.c,data/own_dataset/obfuscated/h00004/n26081504_fla_bcf_instsub.elf,own_v1
n26081505,,,data/own_dataset/src/h00005/n26081505.c,data/own_dataset/obfuscated/h00005/n26081505_fla_bcf_instsub.elf,own_v1
n26081506,,,data/own_dataset/src/h00006/n26081506.c,data/own_dataset/obfuscated/h00006/n26081506_fla_bcf_instsub.elf,own_v1
n26081507,,,data/own_dataset/src/h00007/n26081507.c,data/own_dataset/obfuscated/h00007/n26081507_fla_bcf_instsub.elf,own_v1
n26081508,,,data/own_dataset/src/h00008/n26081508.c,data/own_dataset/obfuscated/h00008/n26081508_fla_bcf_instsub.elf,own_v1
n26081509,,,data/own_dataset/src/h00009/n26081509.c,data/own_dataset/obfuscated/h00009/n26081509_fla_bcf_instsub.elf,own_v1
n26081510,,,data/own_dataset/src/h00010/n26081510.c,data/own_dataset/obfuscated/h00010/n26081510_fla_bcf_instsub.elf,own_v1
n26081511,,,data/own_dataset/src/h00011/n26081511.c,data/own_dataset/obfuscated/h00011/n26081511_fla_bcf_instsub.elf,own_v1
n26081512,,,data/own_dataset/src/h00012/n26081512.c,data/own_dataset/obfuscated/h00012/n26081512_fla_bcf_instsub.elf,own_v1
n26081513,,,data/own_dataset/src/h00013/n26081513.c,data/own_dataset/obfuscated/h00013/n26081513_fla_bcf_instsub.elf,own_v1
n26081514,,,data/own_dataset/src/h00014/n26081514.c,data/own_dataset/obfuscated/h00014/n26081514_fla_bcf_instsub.elf,own_v1
n26081515,,,data/own_dataset/src/h00015/n26081515.c,data/own_dataset/obfuscated/h00015/n26081515_fla_bcf_instsub.elf,own_v1
n26081516,,,data/own_dataset/src/h00016/n26081516.c,data/own_dataset/obfuscated/h00016/n26081516_fla_bcf_instsub.elf,own_v1
n26081517,,,data/own_dataset/src/h00017/n26081517.c,data/own_dataset/obfuscated/h00017/n26081517_fla_bcf_instsub.elf,own_v1
n26081518,,,data/own_dataset/src/h00018/n26081518.c,data/own_dataset/obfuscated/h00018/n26081518_fla_bcf_instsub.elf,own_v1
