case_id,submission_id,binary,seed_file,pilot_class
p02474,s409831491,data/obfuscated/p02474/s409831491_fla_bcf_instsub.elf,data/seeds/p02474/p02474_seed.txt,
p02559,s544278538,data/obfuscated/p02559/s544278538_fla_bcf_instsub.elf,data/seeds/p02559/p02559_seed.txt,
p00008,s178043981,data/obfuscated/p00008/s178043981_fla_bcf_instsub.elf,data/seeds/p00008/s178043981_fla_bcf_instsub.elf.seed,passfail
p00016,s150561866,data/obfuscated/p00016/s150561866_fla_bcf_instsub.elf,data/seeds/p00016/s150561866_fla_bcf_instsub.elf.seed,fail
p00120,s736900082,data/obfuscated/p00120/s736900082_fla_bcf_instsub.elf,data/seeds/p00120/p00120_seed.txt,fail
p00212,s286523912,data/obfuscated/p00212/s286523912_fla_bcf_instsub.elf,data/seeds/p00212/p00212_seed.txt,pass
p00399,s890150915,data/obfuscated/p00399/s890150915_fla_bcf_instsub.elf,data/seeds/p00399/p00399_seed.txt,pass
p00589,s808106643,data/obfuscated/p00589/s808106643_fla_bcf_instsub.elf,data/seeds/p00589/p00589_seed.txt,pass
p02047,s842824862,data/obfuscated/p02047/s842824862_fla_bcf_instsub.elf,data/seeds/p02047/p02047_seed.txt,fail
p03028,s577484164,data/obfuscated/p03028/s577484164_fla_bcf_instsub.elf,data/seeds/p03028/p03028_seed.txt,fail
p04029,s536667984,data/obfuscated/p04029/s536667984_fla_bcf_instsub.elf,data/seeds/p04029/p04029_seed.txt,pass
