case_id,submission_id,binary,seed_file,pilot_class,difficulty,evidence
p00008,s178043981,data/obfuscated/p00008/s178043981_fla_bcf_instsub.elf,data/seeds/p00008/s178043981_fla_bcf_instsub.elf.seed,pass,easy,verified-pass
p00009,s308363767,data/obfuscated/p00009/s308363767_fla_bcf_instsub.elf,data/seeds/p00009/p00009_seed.txt,,easy,verified-pass
p00016,s150561866,data/obfuscated/p00016/s150561866_fla_bcf_instsub.elf,data/seeds/p00016/s150561866_fla_bcf_instsub.elf.seed,fail,easy,verified-pass
p00035,s591874935,data/obfuscated/p00035/s591874935_fla_bcf_instsub.elf,data/seeds/p00035/p00035_seed.txt,,easy,verified-pass
p00039,s635635196,data/obfuscated/p00039/s635635196_fla_bcf_instsub.elf,data/seeds/p00039/p00039_seed.txt,,easy,verified-pass
p00050,s586984127,data/obfuscated/p00050/s586984127_fla_bcf_instsub.elf,data/seeds/p00050/p00050_seed.txt,pass,easy,verified-pass
p00056,s237479322,data/obfuscated/p00056/s237479322_fla_bcf_instsub.elf,data/seeds/p00056/p00056_seed.txt,,easy,verified-pass
p00089,s065901669,data/obfuscated/p00089/s065901669_fla_bcf_instsub.elf,data/seeds/p00089/p00089_seed.txt,,easy,verified-pass
p00100,s475375811,data/obfuscated/p00100/s475375811_fla_bcf_instsub.elf,data/seeds/p00100/p00100_seed.txt,,medium,verified-valid-domain
p00111,s236164177,data/obfuscated/p00111/s236164177_fla_bcf_instsub.elf,data/seeds/p00111/p00111_seed.txt,pass,easy,verified-pass
p00120,s736900082,data/obfuscated/p00120/s736900082_fla_bcf_instsub.elf,data/seeds/p00120/p00120_seed.txt,fail,easy,verified-pass
p00142,s634430882,data/obfuscated/p00142/s634430882_fla_bcf_instsub.elf,data/seeds/p00142/p00142_seed.txt,,medium,verified-valid-domain
p00159,s452596669,data/obfuscated/p00159/s452596669_fla_bcf_instsub.elf,data/seeds/p00159/p00159_seed.txt,,medium,verified-valid-domain
p00178,s505746898,data/obfuscated/p00178/s505746898_fla_bcf_instsub.elf,data/seeds/p00178/p00178_seed.txt,,medium,verified-valid-domain
p00183,s868256135,data/obfuscated/p00183/s868256135_fla_bcf_instsub.elf,data/seeds/p00183/p00183_seed.txt,,easy,verified-pass
p00187,s092944415,data/obfuscated/p00187/s092944415_fla_bcf_instsub.elf,data/seeds/p00187/p00187_seed.txt,,easy,verified-pass
p00200,s958104051,data/obfuscated/p00200/s958104051_fla_bcf_instsub.elf,data/seeds/p00200/p00200_seed.txt,,easy,verified-pass
p00205,s202037324,data/obfuscated/p00205/s202037324_fla_bcf_instsub.elf,data/seeds/p00205/p00205_seed.txt,,medium,verified-valid-domain
p00212,s286523912,data/obfuscated/p00212/s286523912_fla_bcf_instsub.elf,data/seeds/p00212/p00212_seed.txt,,medium,verified-valid-domain
p00225,s166576559,data/obfuscated/p00225/s166576559_fla_bcf_instsub.elf,data/seeds/p00225/p00225_seed.txt,,hard,known-pipeline-risk
p00230,s380322669,data/obfuscated/p00230/s380322669_fla_bcf_instsub.elf,data/seeds/p00230/p00230_seed.txt,,hard,known-pipeline-risk
p00235,s478751282,data/obfuscated/p00235/s478751282_fla_bcf_instsub.elf,data/seeds/p00235/p00235_seed.txt,,hard,known-pipeline-risk
p00238,s424404775,data/obfuscated/p00238/s424404775_fla_bcf_instsub.elf,data/seeds/p00238/p00238_seed.txt,,hard,known-pipeline-risk
p00253,s290484179,data/obfuscated/p00253/s290484179_fla_bcf_instsub.elf,data/seeds/p00253/p00253_seed.txt,,easy,screening
p00272,s737032661,data/obfuscated/p00272/s737032661_fla_bcf_instsub.elf,data/seeds/p00272/p00272_seed.txt,,medium,screening
p00313,s852342213,data/obfuscated/p00313/s852342213_fla_bcf_instsub.elf,data/seeds/p00313/p00313_seed.txt,,easy,screening
p00355,s497485517,data/obfuscated/p00355/s497485517_fla_bcf_instsub.elf,data/seeds/p00355/p00355_seed.txt,,easy,screening
p00404,s727853895,data/obfuscated/p00404/s727853895_fla_bcf_instsub.elf,data/seeds/p00404/p00404_seed.txt,,easy,screening
p00414,s848885429,data/obfuscated/p00414/s848885429_fla_bcf_instsub.elf,data/seeds/p00414/p00414_seed.txt,,medium,screening
p00470,s626858734,data/obfuscated/p00470/s626858734_fla_bcf_instsub.elf,data/seeds/p00470/p00470_seed.txt,,easy,screening
p00523,s224448187,data/obfuscated/p00523/s224448187_fla_bcf_instsub.elf,data/seeds/p00523/p00523_seed.txt,pass,easy,screening
p00557,s686282362,data/obfuscated/p00557/s686282362_fla_bcf_instsub.elf,data/seeds/p00557/p00557_seed.txt,,medium,screening
p00624,s760639333,data/obfuscated/p00624/s760639333_fla_bcf_instsub.elf,data/seeds/p00624/p00624_seed.txt,,easy,screening
p00671,s180500470,data/obfuscated/p00671/s180500470_fla_bcf_instsub.elf,data/seeds/p00671/p00671_seed.txt,,easy,screening
p00672,s657381439,data/obfuscated/p00672/s657381439_fla_bcf_instsub.elf,data/seeds/p00672/p00672_seed.txt,pass,easy,screening
p00640,s212269736,data/obfuscated/p00640/s212269736_fla_bcf_instsub.elf,data/seeds/p00640/p00640_seed.txt,,medium,screening
p00715,s170424500,data/obfuscated/p00715/s170424500_fla_bcf_instsub.elf,data/seeds/p00715/p00715_seed.txt,,easy,screening
p00818,s818780493,data/obfuscated/p00818/s818780493_fla_bcf_instsub.elf,data/seeds/p00818/p00818_seed.txt,,medium,screening
p00924,s930678486,data/obfuscated/p00924/s930678486_fla_bcf_instsub.elf,data/seeds/p00924/p00924_seed.txt,,easy,screening
p01030,s165588383,data/obfuscated/p01030/s165588383_fla_bcf_instsub.elf,data/seeds/p01030/p01030_seed.txt,,hard,known-pipeline-risk
p01054,s490568092,data/obfuscated/p01054/s490568092_fla_bcf_instsub.elf,data/seeds/p01054/p01054_seed.txt,,easy,screening
p01101,s704189454,data/obfuscated/p01101/s704189454_fla_bcf_instsub.elf,data/seeds/p01101/p01101_seed.txt,,medium,screening
p01415,s248769728,data/obfuscated/p01415/s248769728_fla_bcf_instsub.elf,data/seeds/p01415/p01415_seed.txt,,medium,screening
p02047,s842824862,data/obfuscated/p02047/s842824862_fla_bcf_instsub.elf,data/seeds/p02047/p02047_seed.txt,,easy,verified-pass
p02060,s706882681,data/obfuscated/p02060/s706882681_fla_bcf_instsub.elf,data/seeds/p02060/p02060_seed.txt,,medium,screening
p02474,s409831491,data/obfuscated/p02474/s409831491_fla_bcf_instsub.elf,data/seeds/p02474/p02474_seed.txt,,easy,verified-pass
p02559,s544278538,data/obfuscated/p02559/s544278538_fla_bcf_instsub.elf,data/seeds/p02559/p02559_seed.txt,,easy,verified-pass
p03028,s577484164,data/obfuscated/p03028/s577484164_fla_bcf_instsub.elf,data/seeds/p03028/p03028_seed.txt,,medium,verified-valid-domain
p03114,s312521097,data/obfuscated/p03114/s312521097_fla_bcf_instsub.elf,data/seeds/p03114/p03114_seed.txt,,easy,verified-pass
p04029,s536667984,data/obfuscated/p04029/s536667984_fla_bcf_instsub.elf,data/seeds/p04029/p04029_seed.txt,,easy,verified-pass
