sample_id,flow_id,status,llm_calls,compiler_attempts,compile_success_first,compile_success_final,compile_repair_rounds,behavioral_repair_rounds,fuzz_total,fuzz_matches,input_tokens,output_tokens,total_runtime
h00001,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,14582,305,9.660288333892822
h00001,B3,PASS,2,2,True,True,0,1,1000,1000,35857,672,20.851202964782715
h00002,B2,PASS,1,1,True,True,0,0,1000,1000,13210,287,7.996931791305542
h00002,B3,PASS,1,1,True,True,0,0,1000,1000,12437,337,7.730969190597534
h00003,B2,PASS,1,1,True,True,0,0,1000,1000,16471,336,10.736457824707031
h00003,B3,PASS,1,1,True,True,0,0,1000,1000,13299,347,6.609327554702759
h00004,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,37210,390,38.60168147087097
h00004,B3,PASS,2,2,True,True,0,1,1000,1000,44675,857,34.75459384918213
h00005,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,10342,285,6.742578744888306
h00005,B3,PASS,2,2,True,True,0,1,1000,1000,29145,551,17.36138129234314
h00006,B2,PASS,1,1,True,True,0,0,1000,1000,15420,351,8.363547801971436
h00006,B3,PASS,1,1,True,True,0,0,1000,1000,14190,377,7.260791301727295
h00007,B2,PASS,1,1,True,True,0,0,1000,1000,15615,347,8.50894546508789
h00007,B3,PASS,2,2,True,True,0,1,1000,1000,37395,612,17.298974990844727
h00008,B2,FAIL_COMPILE,1,0,False,False,0,0,0,0,70520,2546,43.5225784778595
h00008,B3,PASS,2,2,True,True,0,1,1000,1000,35811,884,23.43560791015625
h00009,B2,PASS,1,1,True,True,0,0,1000,1000,15938,366,8.246098279953003
h00009,B3,PASS,2,2,True,True,0,1,1000,1000,49535,577,31.850513696670532
h00010,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,14368,498,9.348334789276123
h00010,B3,PASS,1,1,True,True,0,0,1000,1000,13907,564,7.335476875305176
h00011,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,12821,318,9.10003399848938
h00011,B3,PASS,2,2,True,True,0,1,1000,1000,32812,595,21.71627688407898
h00012,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,10079,202,11.793145895004272
h00012,B3,PASS,2,2,True,True,0,1,1000,1000,37462,421,36.61984181404114
h00013,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,280,11506,234,9.957638502120972
h00013,B3,PASS,2,2,True,True,0,1,1000,1000,31485,594,25.56983494758606
