schema_version,experiment_id,run_id,sample_id,flow_id,artifact_flow_id,repeat_id,benchmark_name,record_type,attempt_index,generation_iteration,candidate_index,attempt_variant,model,model_version,temperature,top_p,max_tokens,input_tokens,output_tokens,total_tokens,estimated_cost,latency_seconds,prompt_path,response_path,candidate_source_path,candidate_source_hash,finish_reason,metadata_path,provenance,derived_from_flow_id,derived_from_run_id,independent_run,compile_command,compiler_version,compile_exit_code,compile_success,link_success,executable_created,executable_path,executable_hash,compile_time,diagnostics_path,failure_category,is_compile_repair_attempt
2.0,experiment_20260728_124405,f4cd327396eb641d7ea2,p00001,F4,F1,0,s092364643,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-3-flash-a,,,65535,43720,326,44046,,,,/home/dungbv/clau/result/eval_20260728_124405/p00001/F1/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260728_124405/p00001/F1/recovered_iter1.c,f561f62db6b5fc2092ceb98a9a483c503cf675633d5da2bdac6d2796ddd7b86e,STOP,/home/dungbv/clau/result/eval_20260728_124405/p00001/F1/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,,,,
2.0,experiment_20260728_124405,e591897c8d211c7095d7,p00001,F1,F2,0,s092364643,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-3-flash-a,,,65535,44930,356,45286,,,,/home/dungbv/clau/result/eval_20260728_124405/p00001/F2/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260728_124405/p00001/F2/recovered_iter1.c,df27a8301e29bcd67307aba7520d96086fb77518d92bf7468cf0de61ab6b174c,STOP,/home/dungbv/clau/result/eval_20260728_124405/p00001/F2/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,,,,
2.0,experiment_20260728_124405,cf9e90e32f937bf8f7b3,p00001,F5,F3,0,s092364643,llm_attempt,1,1,,max_tokens,ag/gemini-3-flash-agent,gemini-3-flash-a,,,65535,230682,2551,233233,,,,/home/dungbv/clau/result/eval_20260728_124405/p00001/F3/recovery_iter1.max_tokens.response.txt,,,MAX_TOKENS,/home/dungbv/clau/result/eval_20260728_124405/p00001/F3/recovery_iter1.max_tokens.meta.json,recorded_metadata,,,,,,,,,,,,,,,
2.0,experiment_20260728_124405,cf9e90e32f937bf8f7b3,p00001,F5,F3,0,s092364643,llm_attempt,2,1,1,primary,ag/gemini-3-flash-agent,gemini-3-flash-a,,,65535,203761,470,204231,,,,/home/dungbv/clau/result/eval_20260728_124405/p00001/F3/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260728_124405/p00001/F3/recovered_iter1.c,8be7be97dd13fbddbe10596366f33a2a8c34b79bba293d6c9f7d847ece191377,STOP,/home/dungbv/clau/result/eval_20260728_124405/p00001/F3/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,,,,
2.0,experiment_20260728_124405,cf9e90e32f937bf8f7b3,p00001,F5,F3,0,s092364643,llm_attempt,3,2,2,primary,ag/gemini-3-flash-agent,gemini-3-flash-a,,,65535,179411,484,179895,,,,/home/dungbv/clau/result/eval_20260728_124405/p00001/F3/recovery_iter2.response.txt,/home/dungbv/clau/result/eval_20260728_124405/p00001/F3/recovered_iter2.c,3cbde16d11b84d9effbaa01e90d746651a07b2685c064dc9713345c58f983be4,STOP,/home/dungbv/clau/result/eval_20260728_124405/p00001/F3/recovery_iter2.meta.json,recorded_metadata,,,,,,,,,,,,,,,
2.0,experiment_20260728_124405,fbfa04b079d719879c60,p00001,F3,F4,0,s092364643,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-3-flash-a,,,65535,47060,360,47420,,,,/home/dungbv/clau/result/eval_20260728_124405/p00001/F4/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260728_124405/p00001/F4/recovered_iter1.c,3c376ab02e174e778e5f4c7976b17d38a41b161cc47ee3b1dda4897cd1b993da,STOP,/home/dungbv/clau/result/eval_20260728_124405/p00001/F4/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,,,,
2.0,experiment_20260728_124405,801039088fed9d416edc,p00001,F2,F5,0,s092364643,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-3-flash-a,,,65535,48573,341,48914,,,,/home/dungbv/clau/result/eval_20260728_124405/p00001/F5/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260728_124405/p00001/F5/recovered_iter1.c,aea0837263b1b21734e47dd6320ea709c400c12febd1ed0e688898a5c4836815,STOP,/home/dungbv/clau/result/eval_20260728_124405/p00001/F5/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,,,,
2.0,experiment_20260728_124405,e880d14639b422f198ab,p00008,F4,F1,0,s771404612,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-default,,,65535,90375,341,90716,,,,/home/dungbv/clau/result/eval_20260728_124405/p00008/F1/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260728_124405/p00008/F1/recovered_iter1.c,2334c9b72cdc26c3ba251da21da206b6a9febcbf751474de5383089ccfea2d49,STOP,/home/dungbv/clau/result/eval_20260728_124405/p00008/F1/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,,,,
2.0,experiment_20260728_124405,f2c1a1434f19345270ad,p00008,F1,F2,0,s771404612,llm_attempt,1,1,,max_tokens,ag/gemini-3-flash-agent,gemini-default,,,65535,126930,2558,129488,,,,/home/dungbv/clau/result/eval_20260728_124405/p00008/F2/recovery_iter1.max_tokens.response.txt,,,MAX_TOKENS,/home/dungbv/clau/result/eval_20260728_124405/p00008/F2/recovery_iter1.max_tokens.meta.json,recorded_metadata,,,,,,,,,,,,,,,
2.0,experiment_20260728_124405,f2c1a1434f19345270ad,p00008,F1,F2,0,s771404612,llm_attempt,2,1,1,primary,ag/gemini-3-flash-agent,gemini-default,,,65535,89315,173,89488,,,,/home/dungbv/clau/result/eval_20260728_124405/p00008/F2/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260728_124405/p00008/F2/recovered_iter1.c,ef989021db976e8039966a0e84653c6a3b3f4274e58e5a2247d04dc36bc851eb,STOP,/home/dungbv/clau/result/eval_20260728_124405/p00008/F2/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,,,,
