flow_id,taxonomy,category,count
B1,FINAL_STATUS,FAIL_COMPILE,1
B1,FINAL_STATUS,FAIL_GENERATION,39
B1,COMPILE_FAILURE,OTHER,1
B2,FINAL_STATUS,FAIL_BEHAVIORAL,10
B2,FINAL_STATUS,FAIL_COMPILE,2
B2,FINAL_STATUS,FAIL_GENERATION,25
B2,FINAL_STATUS,PASS,3
B2,COMPILE_FAILURE,LINKER_ERROR,1
B2,COMPILE_FAILURE,MISSING_HEADER,1
B2,BEHAVIORAL_DIVERGENCE,MIXED_DIVERGENCE,2
B2,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,8
F1,FINAL_STATUS,FAIL_GENERATION,36
F1,FINAL_STATUS,PASS,4
F2,FINAL_STATUS,FAIL_GENERATION,40
F3,FINAL_STATUS,FAIL_BEHAVIORAL,3
F3,FINAL_STATUS,FAIL_GENERATION,34
F3,FINAL_STATUS,PASS,3
F3,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,3
