contrast_id,flow_a,flow_b,metric_name,paired_sample_count,excluded_sample_count,exclusion_reasons,flow_a_value,flow_b_value,absolute_difference,relative_difference_percent,ci_95_low,ci_95_high,flow_a_wins,ties,flow_b_wins
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,First-pass RSR,1,0,,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Final RSR,1,0,,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Program Behavioral Pass Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Initial Behavioral Pass Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Final Behavioral Pass Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Input Match Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Counterexample Detection Rate,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Canonical E2E Rate,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Re-executability Rate,1,0,,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Flow-specific Recovery Rate,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Compile Repair Rounds,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Behavioral Repair Rounds,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,LLM Calls,1,0,,5.0,5.0,0.0,0.0,0.0,0.0,0,1,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Tokens,1,0,,361124.0,696052.0,-334928.0,-48.11824403923845,-334928.0,-334928.0,1,0,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Runtime,1,0,,272.96983575820923,205.57275414466858,67.39708161354065,32.78502634941157,67.39708161354065,67.39708161354065,0,0,1
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Cost,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Readability,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,SLOC Ratio,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,First-pass RSR,1,0,,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Final RSR,1,0,,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Program Behavioral Pass Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Initial Behavioral Pass Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Final Behavioral Pass Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Input Match Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Counterexample Detection Rate,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Canonical E2E Rate,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Re-executability Rate,1,0,,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Flow-specific Recovery Rate,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Compile Repair Rounds,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Behavioral Repair Rounds,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,LLM Calls,1,0,,5.0,1.0,4.0,400.0,4.0,4.0,0,0,1
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Tokens,1,0,,361124.0,57804.0,303320.0,524.7387724032939,303320.0,303320.0,0,0,1
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Runtime,1,0,,272.96983575820923,78.43664979934692,194.5331859588623,248.01312454892997,194.5331859588623,194.5331859588623,0,0,1
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Cost,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,Readability,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,SLOC Ratio,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,First-pass RSR,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Final RSR,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Program Behavioral Pass Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Initial Behavioral Pass Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Final Behavioral Pass Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Input Match Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Counterexample Detection Rate,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Canonical E2E Rate,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Re-executability Rate,1,0,,0.0,1.0,-1.0,-100.0,-1.0,-1.0,0,0,1
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Flow-specific Recovery Rate,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Compile Repair Rounds,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Behavioral Repair Rounds,1,0,,0.0,0.0,0.0,,0.0,0.0,0,1,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,LLM Calls,1,0,,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Tokens,1,0,,16821.0,16240.0,581.0,3.577586206896552,581.0,581.0,0,0,1
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Runtime,1,0,,43.135066509246826,45.49889302253723,-2.3638265132904053,-5.195349504700076,-2.3638265132904053,-2.3638265132904053,1,0,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Cost,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,Readability,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
B1_VS_B2_BASELINE_REPRESENTATIONS,B1,B2,SLOC Ratio,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_B1_CLEAN_IR_VS_GHIDRA_MULTIFACTOR,F1,B1,First-pass RSR,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_B1_CLEAN_IR_VS_GHIDRA_MULTIFACTOR,F1,B1,Final RSR,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
F1_VS_B1_CLEAN_IR_VS_GHIDRA_MULTIFACTOR,F1,B1,Program Behavioral Pass Rate,0,1,METRIC_UNDEFINED=1,,,,,,,0,0,0
