schema_version,experiment_id,run_id,sample_id,flow_id,artifact_flow_id,repeat_id,benchmark_name,record_type,attempt_index,generation_iteration,candidate_index,attempt_variant,model,model_version,temperature,top_p,max_tokens,input_tokens,output_tokens,total_tokens,estimated_cost,latency_seconds,prompt_path,response_path,candidate_source_path,candidate_source_hash,finish_reason,metadata_path,provenance,compile_command,compiler_version,compile_exit_code,compile_success,link_success,executable_created,executable_path,executable_hash,compile_time,diagnostics_path,failure_category,is_compile_repair_attempt
2.0,experiment_20260821_155030,abda632ff9a11b3faf79,h00001,B1,B1,0,h00001,llm_attempt,1,1,,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,13151,3670,16821,,43.1273558139801,/home/dungbv/clau/result/eval_20260821_155030/h00001/B1/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/B1/recovery_iter1.response.txt,,,STOP,/home/dungbv/clau/result/eval_20260821_155030/h00001/B1/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,4b75e54813f52ae8dd35,h00001,B2,B2,0,h00001,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,15930,310,16240,,45.19888234138489,/home/dungbv/clau/result/eval_20260821_155030/h00001/B2/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/B2/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/B2/recovered_iter1.c,9727134fecab5385f4fce97d8f8ef90285eb47a84203cc1873d253f4ea2709c5,STOP,/home/dungbv/clau/result/eval_20260821_155030/h00001/B2/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,625c33b7524e64da7308,h00001,F1,F1,0,h00001,llm_attempt,1,1,,max_tokens,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,84809,2559,87368,,83.82593441009521,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter1.max_tokens.response.txt,,,MAX_TOKENS,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter1.max_tokens.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,625c33b7524e64da7308,h00001,F1,F1,0,h00001,llm_attempt,2,1,1,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,37960,426,38386,,21.221417903900146,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovered_iter1.c,2596318cd6c0935cbb40ccf69e76931b0ea5f9aca5b8cc074aafa18d568f1577,STOP,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,625c33b7524e64da7308,h00001,F1,F1,0,h00001,llm_attempt,3,2,,max_tokens,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,85743,2560,88303,,52.178645610809326,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter2.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter2.max_tokens.response.txt,,,MAX_TOKENS,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter2.max_tokens.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,625c33b7524e64da7308,h00001,F1,F1,0,h00001,llm_attempt,4,2,2,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,58287,428,58715,,44.899375677108765,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter2.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter2.response.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovered_iter2.c,47872a70ffc781fe611be950c2d46f074cb21a7dbf7e0c4d506612ed043c594d,STOP,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter2.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,625c33b7524e64da7308,h00001,F1,F1,0,h00001,llm_attempt,5,3,,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,85794,2558,88352,,69.36414647102356,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter3.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter3.response.txt,,,MAX_TOKENS,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovery_iter3.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,128959,403,129362,,55.55107855796814,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter1.c,e45ea23e978688aa29236d8410f66482e99e5b0eef4c7f98599d15b69d5d6b44,STOP,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,llm_attempt,2,2,2,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,139769,402,140171,,36.30442976951599,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter2.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter2.response.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter2.c,48b9c786b39a11d05b5d78d1613f3e15b98584a1a318f193af632a4f57734c46,STOP,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter2.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,llm_attempt,3,3,3,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,150158,404,150562,,46.223888874053955,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter3.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter3.response.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter3.c,48c1428370051fbb17a354970b5c62645fd5448ad1154188138f177e0751768b,STOP,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter3.meta.json,recorded_metadata,,,,,,,,,,,,
