experiment_id,sample_id,flow_id,repeat_id,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,counterexamples_used,peak_memory,cpu_time
experiment_20260821_162746,p00001,B1,0,1,14374,7496,21870,,12.061975479125977,,0.0,0.0,12.092958450317383,,,,0,0,0,0,,
experiment_20260821_162746,p00001,B2,0,1,23664,376,24040,,6.287950754165649,,0.05949211120605469,2.415743350982666,8.781749963760376,,,,1,0,0,0,,
experiment_20260821_162746,p00001,F1,0,1,16394,438,16832,,12.07953691482544,,0.05826544761657715,1.398228406906128,13.554730892181396,,,,1,0,0,0,,
experiment_20260821_162746,p00001,F2,0,2,368762,1027,369789,,41.458049297332764,,0.1554117202758789,5.861318349838257,47.51899242401123,,,,2,0,1,7,,
experiment_20260821_162746,p00001,F3,0,1,20716,783,21499,,15.785442113876343,,0.057732343673706055,1.4023768901824951,17.264320373535156,,,,1,0,0,0,,
experiment_20260821_162746,p00008,B1,0,1,36164,9772,45936,,36.93135643005371,,0.0,0.0,36.94287347793579,,,,0,0,0,0,,
experiment_20260821_162746,p00008,B2,0,1,37879,366,38245,,15.31130838394165,,0.06947708129882812,2.0476505756378174,17.449063062667847,,,,1,0,0,0,,
experiment_20260821_162746,p00008,F1,0,1,50554,173,50727,,19.27161455154419,,0.05919313430786133,2.32120418548584,21.66905975341797,,,,1,0,0,0,,
experiment_20260821_162746,p00008,F2,0,4,991391,5281,996672,,331.29941487312317,,0.3133723735809326,12.176905870437622,343.86451601982117,,,,1,0,0,0,,
experiment_20260821_162746,p00008,F3,0,1,60985,189,61174,,31.22217321395874,,0.05731606483459473,2.265284776687622,33.56239461898804,,,,1,0,0,0,,
experiment_20260821_162746,p00033,B1,0,1,19956,9746,29702,,16.53852152824402,,0.11159634590148926,21.32681703567505,38.01195192337036,,,,1,0,0,0,,
experiment_20260821_162746,p00033,B2,0,1,40803,500,41303,,19.909822463989258,,0.2163679599761963,5.063943862915039,25.249404907226562,,,,1,0,0,0,,
experiment_20260821_162746,p00033,F1,0,2,115368,1342,116710,,46.87929129600525,,0.2635834217071533,26.237950325012207,73.45225095748901,,,,2,0,1,1,,
experiment_20260821_162746,p00033,F2,0,5,1300786,8782,1309568,,375.43833446502686,,0.32691454887390137,180.56010937690735,556.4431200027466,,,,2,0,1,1,,
experiment_20260821_162746,p00033,F3,0,1,60518,712,61230,,26.187914848327637,,0.12718844413757324,2.760560989379883,29.111266613006592,,,,1,0,0,0,,
experiment_20260821_162746,p00165,B1,0,1,21606,7358,28964,,57.5902886390686,,0.0,0.0,57.64534783363342,,,,0,0,0,0,,
experiment_20260821_162746,p00165,B2,0,1,47662,330,47992,,73.70402550697327,,0.16612982749938965,242.558500289917,316.48463678359985,,,,1,0,0,0,,
experiment_20260821_162746,p00165,F1,0,1,38167,428,38595,,51.9506254196167,,0.21585726737976074,212.49137830734253,264.7160646915436,,,,1,0,0,0,,
experiment_20260821_162746,p00165,F2,0,4,826303,6007,832310,,332.7299520969391,,0.37114524841308594,305.02652287483215,638.2138473987579,,,,2,0,0,0,,
experiment_20260821_162746,p00165,F3,0,1,76583,2550,79133,,92.23749923706055,,0.0,0.0,92.25565886497498,,,,0,0,0,0,,
experiment_20260821_162746,p00327,B1,0,1,24803,10757,35560,,28.22689700126648,,0.0,0.0,28.291600227355957,,,,0,0,0,0,,
experiment_20260821_162746,p00327,B2,0,1,30515,278,30793,,6.780946969985962,,0.2732672691345215,14.12548542022705,21.283564567565918,,,,1,0,0,0,,
experiment_20260821_162746,p00327,F1,0,1,69029,508,69537,,41.8374764919281,,0.38167500495910645,9.744451761245728,52.03773522377014,,,,1,0,0,0,,
experiment_20260821_162746,p00327,F2,0,5,1251315,10678,1261993,,399.99384331703186,,0.42894935607910156,11.335402250289917,411.89346051216125,,,,2,0,1,4,,
experiment_20260821_162746,p00327,F3,0,1,53953,532,54485,,25.433749198913574,,0.3585240840911865,10.125547885894775,35.97497916221619,,,,1,0,0,0,,
