sample_id,flow_id,status,llm_calls,compiler_attempts,compile_success_first,compile_success_final,compile_repair_rounds,behavioral_repair_rounds,fuzz_total,fuzz_matches,input_tokens,output_tokens,total_runtime
h00001,F3,PASS,1,1,True,True,0,0,1000,1000,91684,476,57.029618978500366
h00002,F3,PASS,1,1,True,True,0,0,1000,1000,25153,344,17.945608139038086
h00003,F3,PASS,1,1,True,True,0,0,1000,1000,21934,370,14.419612646102905
h00004,F3,PASS,1,1,True,True,0,0,1000,1000,54465,412,16.83578872680664
h00005,F3,PASS,1,1,True,True,0,0,1000,1000,48611,309,25.408267736434937
h00006,F3,PASS,2,1,True,True,0,0,1000,1000,158108,2968,87.5728189945221
h00007,F3,PASS,1,1,True,True,0,0,1000,1000,63546,340,29.872057914733887
h00008,F3,PASS,1,1,True,True,0,0,1000,1000,57492,336,30.910526990890503
h00009,F3,PASS,1,1,True,True,0,0,1000,1000,24842,318,15.195675373077393
h00010,F3,PASS,1,1,True,True,0,0,1000,1000,76000,550,51.92087411880493
h00011,F3,PASS,1,1,True,True,0,0,1000,1000,23502,438,15.982995748519897
h00012,F3,PASS,1,1,True,True,0,0,1000,1000,18580,345,16.545899152755737
h00013,F3,PASS,1,1,True,True,0,0,1000,1000,18312,363,13.045212745666504
h00014,F3,PASS,1,1,True,True,0,0,1000,1000,58904,505,20.597043752670288
h00015,F3,PASS,1,1,True,True,0,0,1000,1000,24341,299,15.258108854293823
h00016,F3,PASS,1,1,True,True,0,0,1000,1000,41609,346,37.97792100906372
h00017,F3,PASS,1,1,True,True,0,0,1000,1000,48844,378,17.459543466567993
h00018,F3,PASS,1,1,True,True,0,0,1000,1000,74859,427,43.7783899307251
h00019,F3,PASS,2,2,True,True,0,1,1000,1000,83365,716,71.86523914337158
h00020,F3,PASS,2,2,True,True,0,1,1000,1000,173805,760,117.72511005401611
h00021,F3,PASS,1,1,True,True,0,0,1000,1000,49013,420,21.256223917007446
h00022,F3,PASS,3,2,True,True,0,1,1000,1000,144645,3423,134.7864167690277
h00023,F3,PASS,1,1,True,True,0,0,1000,1000,35493,387,26.35477614402771
h00024,F3,PASS,1,1,True,True,0,0,1000,1000,56008,249,43.19042897224426
h00025,F3,PASS,2,2,True,True,0,1,1000,1000,109956,691,46.40632462501526
h00026,F3,PASS,2,2,True,True,0,1,1000,1000,173977,1105,122.30002880096436
h00027,F3,PASS,2,2,True,True,0,1,1000,1000,197340,1078,119.92253684997559
h00028,F3,FAIL_BEHAVIORAL,2,2,True,True,0,1,1000,997,113763,1303,98.2100772857666
h00029,F3,PASS,1,1,True,True,0,0,1000,1000,100583,646,36.721027135849
h00030,F3,PASS,5,3,True,True,0,2,1000,1000,348567,7064,234.066143989563
h00031,F3,PASS,5,3,True,True,0,2,1000,1000,512613,6878,301.7426815032959
h00032,F3,PASS,2,1,True,True,0,0,1000,1000,180143,2950,101.24929904937744
h00033,F3,PASS,1,1,True,True,0,0,1000,1000,59509,652,16.582942962646484
h00034,F3,PASS,2,2,True,True,0,1,1000,1000,215804,1221,110.70774245262146
h00035,F3,PASS,1,1,True,True,0,0,1000,1000,52673,533,16.748703479766846
h00036,F3,PASS,2,2,True,True,0,1,1000,1000,52717,711,45.02271628379822
h00037,F3,PASS,1,1,True,True,0,0,1000,1000,42480,317,20.565199851989746
h00038,F3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00039,F3,PASS,1,1,True,True,0,0,1000,1000,18575,373,13.57303261756897
h00040,F3,PASS,2,2,True,True,0,1,1000,1000,199557,1171,39.75127959251404
