category,treatment,n,pass_count,one_request_passes,feedback_assisted_passes,compile_repair_rounds,behavioral_repair_rounds,mean_llm_calls,mean_input_tokens,mean_output_tokens
arrays_windows,B0,5,2,2,0,0,0,1.0,18184.6,3237.2
arrays_windows,B1,5,5,1,4,1,1,1.8,37169.6,4528.4
arrays_windows,B2,5,1,1,0,0,0,1.0,15912.8,387.6
arrays_windows,B3,5,5,2,3,0,3,1.6,32076.2,618.4
arrays_windows,F3-O1,5,5,3,2,0,2,1.4,78119.4,556.6
arrays_windows,F3-O2,5,5,3,2,0,2,1.4,67547.4,600.8
arrays_windows,F3-O3,5,5,3,2,0,2,1.6,82561.2,1082.6
checksums_formats,B0,5,1,1,0,0,0,1.0,17352.6,2396.0
checksums_formats,B1,5,5,2,3,0,0,1.6,30145.4,3603.0
checksums_formats,B2,5,0,0,0,0,0,1.0,15048.8,377.0
checksums_formats,B3,5,4,0,4,0,9,2.6,70006.4,1004.2
checksums_formats,F3-O1,5,4,2,2,0,2,1.2,62665.8,514.4
checksums_formats,F3-O2,5,4,3,1,0,1,1.0,44733.2,404.6
checksums_formats,F3-O3,5,4,3,1,0,2,1.2,61753.4,553.2
data_structures,B0,5,1,1,0,0,0,1.0,21202.6,4794.2
data_structures,B1,5,5,0,5,1,1,2.0,41767.8,6382.8
data_structures,B2,5,0,0,0,0,0,1.0,18668.0,521.4
data_structures,B3,5,5,0,5,0,8,2.8,113760.8,1409.4
data_structures,F3-O1,5,5,2,2,0,3,2.2,204148.4,2446.8
data_structures,F3-O2,5,5,1,4,0,4,2.0,159682.4,1073.0
data_structures,F3-O3,5,5,2,2,1,1,2.2,199248.8,2794.6
graph_algorithms,B0,5,1,1,0,0,0,1.0,25608.4,5929.2
graph_algorithms,B1,5,4,1,3,1,0,1.8,44925.2,6422.4
graph_algorithms,B2,5,0,0,0,0,0,1.0,22035.2,582.8
graph_algorithms,B3,5,5,0,5,1,7,2.8,98932.0,2064.8
graph_algorithms,F3-O1,5,4,1,3,0,5,2.4,186846.0,2239.2
graph_algorithms,F3-O2,5,5,1,3,0,3,1.8,136254.2,1496.0
graph_algorithms,F3-O3,5,4,1,3,0,4,2.2,171924.4,2169.8
numeric_bitwise,B0,5,1,1,0,0,0,1.0,12971.0,2053.4
numeric_bitwise,B1,5,5,0,5,0,1,2.0,36026.0,3469.2
numeric_bitwise,B2,5,1,1,0,0,0,1.0,11315.8,253.6
numeric_bitwise,B3,5,5,1,4,0,4,1.8,29897.6,489.8
numeric_bitwise,F3-O1,5,5,4,1,0,1,1.4,46038.4,982.6
numeric_bitwise,F3-O2,5,4,4,0,0,4,1.8,62410.0,1141.8
numeric_bitwise,F3-O3,5,4,3,1,0,4,2.4,94696.0,2641.0
parsing_state_machine,B0,5,3,3,0,0,0,1.0,16746.8,3066.4
parsing_state_machine,B1,5,5,2,3,0,2,1.8,30486.2,4235.2
parsing_state_machine,B2,5,1,1,0,0,0,1.0,19735.0,554.4
parsing_state_machine,B3,5,4,0,4,0,7,3.0,121314.4,3077.8
parsing_state_machine,F3-O1,5,5,5,0,0,0,1.0,47213.6,406.6
parsing_state_machine,F3-O2,5,5,3,2,0,3,2.0,132779.6,2388.8
parsing_state_machine,F3-O3,5,5,4,1,0,1,1.2,60171.0,506.6
strings_encodings,B0,5,1,1,0,0,0,1.0,15492.2,3188.6
strings_encodings,B1,5,5,0,5,1,0,2.0,33346.8,4027.0
strings_encodings,B2,5,1,1,0,0,0,1.0,24920.4,747.8
strings_encodings,B3,5,5,0,5,0,6,2.2,40859.8,686.6
strings_encodings,F3-O1,5,5,5,0,0,0,1.0,63468.2,342.0
strings_encodings,F3-O2,5,5,4,1,0,1,1.2,78929.4,451.2
strings_encodings,F3-O3,5,5,2,1,0,1,2.0,126577.6,1953.8
structural_control_flow,B0,5,0,0,0,0,0,1.0,18754.0,3808.8
structural_control_flow,B1,5,5,0,5,0,1,2.2,43016.8,3588.8
structural_control_flow,B2,5,2,2,0,0,0,1.0,15258.8,339.6
structural_control_flow,B3,5,5,2,3,0,4,1.8,34797.8,615.2
structural_control_flow,F3-O1,5,5,3,1,0,1,1.4,81774.6,946.2
structural_control_flow,F3-O2,5,5,3,2,0,2,1.8,116577.8,1587.6
structural_control_flow,F3-O3,5,5,2,3,0,3,1.6,81256.4,626.0
