category,treatment,n,pass_count,pass_rate
arrays_windows,B0,5,2,0.4
arrays_windows,B1,5,5,1.0
arrays_windows,B2,5,1,0.2
arrays_windows,B3,5,5,1.0
arrays_windows,F3-O1,5,5,1.0
arrays_windows,F3-O2,5,5,1.0
arrays_windows,F3-O3,5,5,1.0
checksums_formats,B0,5,1,0.2
checksums_formats,B1,5,5,1.0
checksums_formats,B2,5,0,0.0
checksums_formats,B3,5,4,0.8
checksums_formats,F3-O1,5,4,0.8
checksums_formats,F3-O2,5,4,0.8
checksums_formats,F3-O3,5,4,0.8
data_structures,B0,5,1,0.2
data_structures,B1,5,5,1.0
data_structures,B2,5,0,0.0
data_structures,B3,5,5,1.0
data_structures,F3-O1,5,5,1.0
data_structures,F3-O2,5,5,1.0
data_structures,F3-O3,5,5,1.0
graph_algorithms,B0,5,1,0.2
graph_algorithms,B1,5,4,0.8
graph_algorithms,B2,5,0,0.0
graph_algorithms,B3,5,5,1.0
graph_algorithms,F3-O1,5,4,0.8
graph_algorithms,F3-O2,5,5,1.0
graph_algorithms,F3-O3,5,4,0.8
numeric_bitwise,B0,5,1,0.2
numeric_bitwise,B1,5,5,1.0
numeric_bitwise,B2,5,1,0.2
numeric_bitwise,B3,5,5,1.0
numeric_bitwise,F3-O1,5,5,1.0
numeric_bitwise,F3-O2,5,4,0.8
numeric_bitwise,F3-O3,5,4,0.8
parsing_state_machine,B0,5,3,0.6
parsing_state_machine,B1,5,5,1.0
parsing_state_machine,B2,5,1,0.2
parsing_state_machine,B3,5,4,0.8
parsing_state_machine,F3-O1,5,5,1.0
parsing_state_machine,F3-O2,5,5,1.0
parsing_state_machine,F3-O3,5,5,1.0
strings_encodings,B0,5,1,0.2
strings_encodings,B1,5,5,1.0
strings_encodings,B2,5,1,0.2
strings_encodings,B3,5,5,1.0
strings_encodings,F3-O1,5,5,1.0
strings_encodings,F3-O2,5,5,1.0
strings_encodings,F3-O3,5,5,1.0
structural_control_flow,B0,5,0,0.0
structural_control_flow,B1,5,5,1.0
structural_control_flow,B2,5,2,0.4
structural_control_flow,B3,5,5,1.0
structural_control_flow,F3-O1,5,5,1.0
structural_control_flow,F3-O2,5,5,1.0
structural_control_flow,F3-O3,5,5,1.0
