sample_id,treatment,status,output_class,violations
h00001,F3-O1,non_compliant,compat_runnable,11
h00002,F3-O1,non_compliant,compat_runnable,3
h00003,F3-O1,non_compliant,compat_runnable,2
h00004,F3-O1,non_compliant,compat_runnable,16
h00005,F3-O1,non_compliant,compat_runnable,11
h00006,F3-O1,non_compliant,compat_runnable,12
h00007,F3-O1,non_compliant,compat_runnable,15
h00008,F3-O1,non_compliant,compat_runnable,11
h00009,F3-O1,non_compliant,compat_runnable,1
h00010,F3-O1,non_compliant,compat_runnable,16
h00011,F3-O1,non_compliant,compat_runnable,2
h00012,F3-O1,non_compliant,compat_runnable,2
h00013,F3-O1,non_compliant,compat_runnable,1
h00014,F3-O1,non_compliant,compat_runnable,7
h00015,F3-O1,non_compliant,compat_runnable,3
h00016,F3-O1,non_compliant,compat_runnable,2
h00017,F3-O1,non_compliant,compat_runnable,14
h00018,F3-O1,non_compliant,compat_runnable,12
h00019,F3-O1,non_compliant,compat_runnable,2
h00020,F3-O1,non_compliant,compat_runnable,12
h00021,F3-O1,non_compliant,compat_runnable,14
h00022,F3-O1,non_compliant,compat_runnable,4
h00023,F3-O1,non_compliant,compat_runnable,3
h00024,F3-O1,non_compliant,compat_runnable,12
h00025,F3-O1,non_compliant,compat_runnable,12
h00026,F3-O1,non_compliant,compat_runnable,2
h00027,F3-O1,non_compliant,compat_runnable,11
h00028,F3-O1,non_compliant,compat_runnable,1
h00029,F3-O1,non_compliant,compat_runnable,17
h00030,F3-O1,non_compliant,compat_runnable,1
h00031,F3-O1,non_compliant,compat_runnable,12
h00032,F3-O1,non_compliant,compat_runnable,11
h00033,F3-O1,non_compliant,compat_runnable,14
h00034,F3-O1,non_compliant,compat_runnable,12
h00035,F3-O1,non_compliant,compat_runnable,17
h00036,F3-O1,non_compliant,compat_runnable,4
h00037,F3-O1,non_compliant,compat_runnable,12
h00039,F3-O1,non_compliant,compat_runnable,2
h00040,F3-O1,non_compliant,compat_runnable,20
h00001,F3-O2,non_compliant,compat_runnable,11
h00002,F3-O2,non_compliant,compat_runnable,3
h00003,F3-O2,non_compliant,compat_runnable,2
h00004,F3-O2,non_compliant,compat_runnable,16
h00005,F3-O2,non_compliant,compat_runnable,11
h00006,F3-O2,non_compliant,compat_runnable,12
h00007,F3-O2,non_compliant,compat_runnable,15
h00008,F3-O2,non_compliant,compat_runnable,11
h00009,F3-O2,non_compliant,compat_runnable,1
h00010,F3-O2,non_compliant,compat_runnable,16
h00011,F3-O2,non_compliant,compat_runnable,2
h00012,F3-O2,non_compliant,compat_runnable,2
h00013,F3-O2,non_compliant,compat_runnable,1
h00014,F3-O2,non_compliant,compat_runnable,7
h00015,F3-O2,non_compliant,compat_runnable,3
h00016,F3-O2,non_compliant,compat_runnable,2
h00017,F3-O2,non_compliant,compat_runnable,14
h00018,F3-O2,non_compliant,compat_runnable,12
h00019,F3-O2,non_compliant,compat_runnable,2
h00020,F3-O2,non_compliant,compat_runnable,12
h00021,F3-O2,non_compliant,compat_runnable,14
h00022,F3-O2,non_compliant,compat_runnable,4
h00023,F3-O2,non_compliant,compat_runnable,3
h00024,F3-O2,non_compliant,compat_runnable,12
h00025,F3-O2,non_compliant,compat_runnable,12
h00026,F3-O2,non_compliant,compat_runnable,2
h00027,F3-O2,non_compliant,compat_runnable,11
h00028,F3-O2,non_compliant,compat_runnable,1
h00029,F3-O2,non_compliant,compat_runnable,17
h00030,F3-O2,non_compliant,compat_runnable,1
h00031,F3-O2,non_compliant,compat_runnable,12
h00032,F3-O2,non_compliant,compat_runnable,11
h00033,F3-O2,non_compliant,compat_runnable,14
h00034,F3-O2,non_compliant,compat_runnable,12
h00035,F3-O2,non_compliant,compat_runnable,17
h00036,F3-O2,non_compliant,compat_runnable,4
h00037,F3-O2,non_compliant,compat_runnable,12
h00039,F3-O2,non_compliant,compat_runnable,2
h00040,F3-O2,non_compliant,compat_runnable,20
h00001,F3-O3,non_compliant,compat_runnable,11
h00002,F3-O3,non_compliant,compat_runnable,3
h00003,F3-O3,non_compliant,compat_runnable,2
h00004,F3-O3,non_compliant,compat_runnable,16
h00005,F3-O3,non_compliant,compat_runnable,11
h00006,F3-O3,non_compliant,compat_runnable,12
h00007,F3-O3,non_compliant,compat_runnable,15
h00008,F3-O3,non_compliant,compat_runnable,11
h00009,F3-O3,non_compliant,compat_runnable,1
h00010,F3-O3,non_compliant,compat_runnable,16
h00011,F3-O3,non_compliant,compat_runnable,2
h00012,F3-O3,non_compliant,compat_runnable,2
h00013,F3-O3,non_compliant,compat_runnable,1
h00014,F3-O3,non_compliant,compat_runnable,7
h00015,F3-O3,non_compliant,compat_runnable,3
h00016,F3-O3,non_compliant,compat_runnable,2
h00017,F3-O3,non_compliant,compat_runnable,14
h00018,F3-O3,non_compliant,compat_runnable,12
h00019,F3-O3,non_compliant,compat_runnable,2
h00020,F3-O3,non_compliant,compat_runnable,12
h00021,F3-O3,non_compliant,compat_runnable,14
h00022,F3-O3,non_compliant,compat_runnable,4
h00023,F3-O3,non_compliant,compat_runnable,3
h00024,F3-O3,non_compliant,compat_runnable,12
h00025,F3-O3,non_compliant,compat_runnable,12
h00026,F3-O3,non_compliant,compat_runnable,2
h00027,F3-O3,non_compliant,compat_runnable,11
h00028,F3-O3,non_compliant,compat_runnable,1
h00029,F3-O3,non_compliant,compat_runnable,17
h00030,F3-O3,non_compliant,compat_runnable,1
h00031,F3-O3,non_compliant,compat_runnable,12
h00032,F3-O3,non_compliant,compat_runnable,11
h00033,F3-O3,non_compliant,compat_runnable,14
h00034,F3-O3,non_compliant,compat_runnable,12
h00035,F3-O3,non_compliant,compat_runnable,17
h00036,F3-O3,non_compliant,compat_runnable,4
h00037,F3-O3,non_compliant,compat_runnable,12
h00039,F3-O3,non_compliant,compat_runnable,2
h00040,F3-O3,non_compliant,compat_runnable,20
