comparison,n,left_pass_right_fail,left_fail_right_pass,paired_pass_rate_delta,paired_delta_ci95_low,paired_delta_ci95_high,mcnemar_exact_p,status_transitions
B0_vs_B1,40,0,29,0.725,0.575,0.85,3.725290298461914e-09,"{'FAIL_BEHAVIORAL->PASS': 3, 'FAIL_COMPILE->PASS': 4, 'INCONCLUSIVE->INCONCLUSIVE': 1, 'INCONCLUSIVE->PASS': 22, 'PASS->PASS': 10}"
B0_vs_B2,40,8,4,-0.1,-0.275,0.075,0.3876953125,"{'FAIL_BEHAVIORAL->FAIL_BEHAVIORAL': 3, 'FAIL_COMPILE->FAIL_BEHAVIORAL': 4, 'INCONCLUSIVE->FAIL_BEHAVIORAL': 17, 'INCONCLUSIVE->FAIL_COMPILE': 2, 'INCONCLUSIVE->PASS': 4, 'PASS->FAIL_BEHAVIORAL': 8, 'PASS->PASS': 2}"
B0_vs_B3,40,0,28,0.7,0.55,0.825,7.450580596923828e-09,"{'FAIL_BEHAVIORAL->PASS': 3, 'FAIL_COMPILE->FAIL_BEHAVIORAL': 2, 'FAIL_COMPILE->PASS': 2, 'INCONCLUSIVE->PASS': 23, 'PASS->PASS': 10}"
B0_vs_F3-O1,40,1,29,0.7,0.525,0.85,5.774199962615967e-08,"{'FAIL_BEHAVIORAL->PASS': 3, 'FAIL_COMPILE->PASS': 4, 'INCONCLUSIVE->FAIL_BEHAVIORAL': 1, 'INCONCLUSIVE->PASS': 22, 'PASS->INCONCLUSIVE': 1, 'PASS->PASS': 9}"
B0_vs_F3-O2,40,1,29,0.7,0.525,0.85,5.774199962615967e-08,"{'FAIL_BEHAVIORAL->FAIL_BEHAVIORAL': 1, 'FAIL_BEHAVIORAL->PASS': 2, 'FAIL_COMPILE->PASS': 4, 'INCONCLUSIVE->PASS': 23, 'PASS->INCONCLUSIVE': 1, 'PASS->PASS': 9}"
B0_vs_F3-O3,40,2,29,0.675,0.5,0.85,4.628673195838928e-07,"{'FAIL_BEHAVIORAL->PASS': 3, 'FAIL_COMPILE->PASS': 4, 'INCONCLUSIVE->FAIL_BEHAVIORAL': 1, 'INCONCLUSIVE->PASS': 22, 'PASS->FAIL_BEHAVIORAL': 1, 'PASS->INCONCLUSIVE': 1, 'PASS->PASS': 8}"
B1_vs_B2,40,33,0,-0.825,-0.925,-0.7,2.3283064365386963e-10,"{'INCONCLUSIVE->FAIL_BEHAVIORAL': 1, 'PASS->FAIL_BEHAVIORAL': 31, 'PASS->FAIL_COMPILE': 2, 'PASS->PASS': 6}"
B1_vs_B3,40,2,1,-0.025,-0.1,0.05,1.0,"{'INCONCLUSIVE->PASS': 1, 'PASS->FAIL_BEHAVIORAL': 2, 'PASS->PASS': 37}"
B1_vs_F3-O1,40,1,0,-0.025,-0.075,0.0,1.0,"{'INCONCLUSIVE->FAIL_BEHAVIORAL': 1, 'PASS->INCONCLUSIVE': 1, 'PASS->PASS': 38}"
B1_vs_F3-O2,40,2,1,-0.025,-0.125,0.05,1.0,"{'INCONCLUSIVE->PASS': 1, 'PASS->FAIL_BEHAVIORAL': 1, 'PASS->INCONCLUSIVE': 1, 'PASS->PASS': 37}"
