sample_id,category,treatment,status,failure_reason,llm_calls,input_tokens,output_tokens,total_runtime_seconds,compile_success_first,compile_success_final,iteration1_outcome,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,behavior_before_repair,behavior_after_repair,fuzz_total,fuzz_matches,fuzz_trajectory_matches_mismatches_inconclusive,max_tokens_responses,instructions_raw,instructions_clean,instruction_reduction,basic_blocks_raw,basic_blocks_clean,bb_reduction,conditional_branches_raw,conditional_branches_clean,branches_reduction,prepared_binary_status,native_contract_status,native_output_class,native_contract_violations
h00001,strings_encodings,B0,INCONCLUSIVE,RecoveryError: LLM response is incomplete: missing a real int main(...) definition.,1,13708,3499,17.883990160000394,False,False,NO_COMPLETED_VALIDATION,0,0,0,,,0,0,,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00001,strings_encodings,B1,PASS,PASS,2,27527,4027,21.03089165687561,False,True,REJECT_MISSING_MAIN,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00001,strings_encodings,B2,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,1,14582,305,9.660288333892822,True,True,FUZZ_0/1000/0,1,0,0,"matches=0, mismatches=1000","matches=0, mismatches=1000",1000,0,i1:0/1000/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00001,strings_encodings,B3,PASS,PASS,2,35857,672,20.851202964782715,True,True,FUZZ_0/1000/0,2,0,1,"matches=0, mismatches=1000","matches=1000, mismatches=0",1000,1000,i1:0/1000/0;i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00001,strings_encodings,F3-O1,PASS,PASS,1,91684,476,57.029618978500366,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1201,597,0.5029142381348876,117,44,0.6239316239316239,41,4,0.9024390243902439,FAIL,non_compliant,compat_runnable,11
h00001,strings_encodings,F3-O2,PASS,PASS,1,54281,376,32.8693425655365,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1201,591,0.507910074937552,117,44,0.6239316239316239,41,4,0.9024390243902439,FAIL,non_compliant,compat_runnable,11
h00001,strings_encodings,F3-O3,PASS,PASS,1,52060,349,34.551103353500366,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1201,591,0.507910074937552,117,44,0.6239316239316239,41,4,0.9024390243902439,FAIL,non_compliant,compat_runnable,11
h00002,numeric_bitwise,B0,INCONCLUSIVE,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,1,16857,3197,20.82520263599872,False,False,NO_COMPLETED_VALIDATION,0,0,0,,,0,0,,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00002,numeric_bitwise,B1,PASS,PASS,2,39969,5194,34.90125322341919,False,True,REJECT_IMPORT_THUNK,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00002,numeric_bitwise,B2,PASS,PASS,1,13210,287,7.996931791305542,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00002,numeric_bitwise,B3,PASS,PASS,1,12437,337,7.730969190597534,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00002,numeric_bitwise,F3-O1,PASS,PASS,1,25153,344,17.945608139038086,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1212,219,0.8193069306930693,117,26,0.7777777777777778,41,2,0.9512195121951219,PASS,non_compliant,compat_runnable,3
