sample_id,category,b0_status,b0_llm_calls,b0_failure_reason,b1_status,b1_llm_calls,b1_failure_reason,b2_status,b2_llm_calls,b2_failure_reason,b3_status,b3_llm_calls,b3_failure_reason,f3_o1_status,f3_o1_llm_calls,f3_o1_failure_reason,f3_o2_status,f3_o2_llm_calls,f3_o2_failure_reason,f3_o3_status,f3_o3_llm_calls,f3_o3_failure_reason
h00001,strings_encodings,INCONCLUSIVE,1,RecoveryError: LLM response is incomplete: missing a real int main(...) definition.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00002,numeric_bitwise,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00003,arrays_windows,INCONCLUSIVE,1,RecoveryError: LLM response is incomplete: missing a real int main(...) definition.,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00004,parsing_state_machine,PASS,1,PASS,PASS,1,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,3,PASS,PASS,2,PASS
h00005,strings_encodings,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,2,PASS
h00006,structural_control_flow,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: import-thunk pointer.,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS
h00007,strings_encodings,PASS,1,PASS,PASS,2,PASS,PASS,1,PASS,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00008,strings_encodings,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,PASS,2,PASS,FAIL_COMPILE,1,FAIL_COMPILE,PASS,2,PASS,PASS,1,PASS,PASS,2,PASS,PASS,4,PASS
h00009,parsing_state_machine,PASS,1,PASS,PASS,2,PASS,PASS,1,PASS,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00010,arrays_windows,PASS,1,PASS,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00011,numeric_bitwise,INCONCLUSIVE,1,RecoveryError: LLM response is incomplete: missing a real int main(...) definition.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00012,numeric_bitwise,PASS,1,PASS,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,FAIL_BEHAVIORAL,5,FAIL_BEHAVIORAL
h00013,numeric_bitwise,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00014,parsing_state_machine,PASS,1,PASS,PASS,3,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00015,structural_control_flow,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: import-thunk pointer.,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00016,structural_control_flow,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: import-thunk pointer.,PASS,3,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,3,PASS,PASS,2,PASS
h00017,parsing_state_machine,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: import-thunk pointer.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,4,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00018,structural_control_flow,INCONCLUSIVE,1,RecoveryError: LLM response is incomplete: missing a real int main(...) definition.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,2,PASS
h00019,arrays_windows,FAIL_COMPILE,1,LINKER_ERROR,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,2,PASS,PASS,2,PASS,PASS,2,PASS
h00020,arrays_windows,FAIL_COMPILE,1,LINKER_ERROR,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,2,PASS,PASS,2,PASS,PASS,3,PASS
h00021,parsing_state_machine,FAIL_COMPILE,1,LINKER_ERROR,PASS,1,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,5,FAIL_BEHAVIORAL,PASS,1,PASS,PASS,4,PASS,PASS,1,PASS
h00022,numeric_bitwise,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,3,PASS,FAIL_BEHAVIORAL,5,FAIL_BEHAVIORAL,PASS,4,PASS
h00023,arrays_windows,PASS,1,PASS,PASS,1,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00024,strings_encodings,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: import-thunk pointer.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,3,PASS,PASS,1,PASS,PASS,1,PASS,PASS,2,PASS
h00025,structural_control_flow,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,3,PASS,PASS,2,PASS,PASS,3,PASS,PASS,2,PASS
h00026,graph_algorithms,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,2,PASS,PASS,2,PASS,PASS,2,PASS
h00027,graph_algorithms,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: import-thunk pointer.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,3,PASS,PASS,2,PASS,PASS,2,PASS,PASS,2,PASS
h00028,graph_algorithms,INCONCLUSIVE,1,RecoveryError: LLM response is incomplete: missing a real int main(...) definition.,INCONCLUSIVE,2,INCONCLUSIVE,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,3,PASS,FAIL_BEHAVIORAL,2,FAIL_BEHAVIORAL,PASS,2,PASS,FAIL_BEHAVIORAL,3,FAIL_BEHAVIORAL
h00029,graph_algorithms,PASS,1,PASS,PASS,1,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00030,graph_algorithms,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: import-thunk pointer.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,4,PASS,PASS,5,PASS,PASS,2,PASS,PASS,3,PASS
h00031,data_structures,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: import-thunk pointer.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,5,PASS,PASS,5,PASS,PASS,2,PASS,PASS,2,PASS
h00032,data_structures,INCONCLUSIVE,1,"RecoveryError: LLM response is incomplete: unbalanced C syntax (braces=1, parens=1, brackets=1).",PASS,2,PASS,FAIL_COMPILE,1,FAIL_COMPILE,PASS,2,PASS,PASS,2,PASS,PASS,2,PASS,PASS,5,PASS
h00033,data_structures,PASS,1,PASS,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00034,data_structures,INCONCLUSIVE,1,RecoveryError: LLM response is incomplete: missing a real int main(...) definition.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,2,PASS,PASS,2,PASS,PASS,2,PASS
h00035,data_structures,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,3,PASS,PASS,1,PASS,PASS,3,PASS,PASS,1,PASS
h00036,checksums_formats,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,2,PASS,PASS,2,PASS,PASS,3,PASS
h00037,checksums_formats,FAIL_COMPILE,1,UNDECLARED_SYMBOL,PASS,1,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,5,FAIL_BEHAVIORAL,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00038,checksums_formats,PASS,1,PASS,PASS,1,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,INCONCLUSIVE,0,RuntimeError: Finalization failed for h00038: failed:1 (/home/dungbv/clau/result/f3_o1_final_20260815/h00038/h00038_final_delift_bundle.log),INCONCLUSIVE,0,RuntimeError: Finalization failed for h00038: failed:1 (/home/dungbv/clau/result/f3_o2_final_20260815/h00038/h00038_final_delift_bundle.log),INCONCLUSIVE,0,RuntimeError: Finalization failed for h00038: failed:1 (/home/dungbv/clau/result/f3_o3_final_20260815/h00038/h00038_final_delift_bundle.log)
h00039,checksums_formats,INCONCLUSIVE,1,RecoveryError: LLM response still contains unsupported decompiler artifact: import-thunk pointer.,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS,PASS,1,PASS
h00040,checksums_formats,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,FAIL_BEHAVIORAL,1,FAIL_BEHAVIORAL,PASS,2,PASS,PASS,2,PASS,PASS,1,PASS,PASS,1,PASS
