sample_id,stage,instructions,blocks,branches,treatment
h00001,raw_lift,1201,117,41,F3-O1
h00001,brightened_010_095,692,44,4,F3-O1
h00001,verified_input,692,44,4,F3-O1
h00001,pointer_opt,669,44,4,F3-O1
h00001,standard_opt,643,44,4,F3-O1
h00001,storage_delift,643,44,4,F3-O1
h00001,residual_strip,643,44,4,F3-O1
h00001,final_clean,597,44,4,F3-O1
h00002,raw_lift,1212,117,41,F3-O1
h00002,brightened_010_095,243,27,2,F3-O1
h00002,verified_input,243,27,2,F3-O1
h00002,pointer_opt,243,27,2,F3-O1
h00002,standard_opt,220,27,2,F3-O1
h00002,storage_delift,220,27,2,F3-O1
h00002,residual_strip,220,27,2,F3-O1
h00002,final_clean,219,26,2,F3-O1
h00003,raw_lift,1288,127,46,F3-O1
h00003,brightened_010_095,260,34,1,F3-O1
h00003,verified_input,260,34,1,F3-O1
h00003,pointer_opt,260,34,1,F3-O1
h00003,standard_opt,231,34,1,F3-O1
h00003,storage_delift,231,34,1,F3-O1
h00003,residual_strip,231,34,1,F3-O1
h00003,final_clean,230,33,1,F3-O1
h00004,raw_lift,1478,117,37,F3-O1
h00004,brightened_010_095,1148,40,4,F3-O1
h00004,verified_input,1148,40,4,F3-O1
h00004,pointer_opt,1144,40,4,F3-O1
h00004,standard_opt,1050,40,4,F3-O1
h00004,storage_delift,1050,40,4,F3-O1
h00004,residual_strip,1050,40,4,F3-O1
h00004,final_clean,981,40,4,F3-O1
h00005,raw_lift,1082,101,32,F3-O1
h00005,brightened_010_095,729,35,4,F3-O1
h00005,verified_input,729,35,4,F3-O1
h00005,pointer_opt,720,35,4,F3-O1
h00005,standard_opt,682,35,4,F3-O1
h00005,storage_delift,682,35,4,F3-O1
h00005,residual_strip,682,35,4,F3-O1
h00005,final_clean,633,35,4,F3-O1
h00006,raw_lift,1347,131,48,F3-O1
h00006,brightened_010_095,844,49,2,F3-O1
h00006,verified_input,844,49,2,F3-O1
h00006,pointer_opt,820,49,2,F3-O1
h00006,standard_opt,794,49,2,F3-O1
h00006,storage_delift,794,49,2,F3-O1
h00006,residual_strip,794,49,2,F3-O1
h00006,final_clean,673,49,2,F3-O1
h00007,raw_lift,1633,151,57,F3-O1
h00007,brightened_010_095,1084,48,9,F3-O1
h00007,verified_input,1084,48,9,F3-O1
h00007,pointer_opt,1071,48,9,F3-O1
h00007,standard_opt,1006,48,9,F3-O1
h00007,storage_delift,1006,48,9,F3-O1
h00007,residual_strip,1006,48,9,F3-O1
h00007,final_clean,939,48,9,F3-O1
h00008,raw_lift,1244,114,39,F3-O1
h00008,brightened_010_095,945,44,6,F3-O1
h00008,verified_input,945,44,6,F3-O1
h00008,pointer_opt,930,44,6,F3-O1
h00008,standard_opt,908,44,6,F3-O1
h00008,storage_delift,908,44,6,F3-O1
h00008,residual_strip,908,44,6,F3-O1
h00008,final_clean,816,44,6,F3-O1
h00009,raw_lift,1361,151,58,F3-O1
h00009,brightened_010_095,312,46,1,F3-O1
h00009,verified_input,312,46,1,F3-O1
