sample_id,flow_id,status,llm_calls,compiler_attempts,compile_success_first,compile_success_final,compile_repair_rounds,behavioral_repair_rounds,fuzz_total,fuzz_matches,input_tokens,output_tokens,total_runtime
h00001,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,13615,1199,19.970019219996175
h00001,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,13712,313,9.359603881835938
h00001,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00001,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00001,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00002,B1,FAIL_COMPILE,1,1,False,False,0,0,0,0,11569,3003,16.653443868999602
h00002,B2,PASS,1,1,True,True,0,0,1000,1000,13741,349,9.63013744354248
h00002,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00002,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00002,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00003,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,14660,328,17.56101184599538
h00003,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,734,16892,306,12.530019760131836
h00003,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00003,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00003,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00004,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,13437,1007,18.178356509000878
h00004,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,788,14097,400,10.89154314994812
h00004,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00004,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00004,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
