dataset,level,sample_id,boundary,before_path,after_path,production_replay_valid,functions_before,functions_after,functions_delta,blocks_before,blocks_after,blocks_delta,instructions_before,instructions_after,instructions_delta,conditional_branches_before,conditional_branches_after,conditional_branches_delta,calls_before,calls_after,calls_delta,direct_calls_before,direct_calls_after,direct_calls_delta,indirect_calls_before,indirect_calls_after,indirect_calls_delta,intrinsics_before,intrinsics_after,intrinsics_delta,allocas_before,allocas_after,allocas_delta,loads_before,loads_after,loads_delta,stores_before,stores_after,stores_delta,geps_before,geps_after,geps_delta,phis_before,phis_after,phis_delta,selects_before,selects_after,selects_delta,switches_before,switches_after,switches_delta,unreachable_before,unreachable_after,unreachable_delta,memory_ops_before,memory_ops_after,memory_ops_delta,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,vector_instructions_before,vector_instructions_after,vector_instructions_delta
own_v1,O1,h00001,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00001/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00001/main_opt_1.after.ll,True,11,8,-3,47,42,-5,850,811,-39,4,4,0,18,11,-7,16,9,-7,2,2,0,9,5,-4,3,1,-2,66,64,-2,454,436,-18,63,47,-16,26,37,11,14,14,0,1,1,0,0,0,0,586,548,-38,124,132,8,0,0,0
own_v1,O1,h00001,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00001/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00001/main_opt_2.after.ll,True,8,8,0,42,42,0,812,801,-11,4,4,0,11,11,0,9,9,0,2,2,0,5,5,0,1,1,0,64,64,0,436,436,0,48,45,-3,37,37,0,14,14,0,1,1,0,0,0,0,549,546,-3,131,127,-4,0,0,0
own_v1,O1,h00001,bundle_default_opt_3,/home/dungbv/clau/result/f3_o1_final_20260815/h00001/h00001_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00001/bundle_default_opt_3.after.ll,True,9,9,0,44,44,0,646,620,-26,4,4,0,12,12,0,10,10,0,2,2,0,4,4,0,1,1,0,64,54,-10,322,306,-16,39,39,0,28,28,0,10,10,0,1,1,0,0,0,0,426,400,-26,94,94,0,0,0,0
own_v1,O1,h00001,bundle_default_opt_4,/home/dungbv/clau/result/f3_o1_final_20260815/h00001/h00001_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00001/bundle_default_opt_4.after.ll,True,9,9,0,44,44,0,620,620,0,4,4,0,12,12,0,10,10,0,2,2,0,4,4,0,1,1,0,54,54,0,306,306,0,39,39,0,28,28,0,10,10,0,1,1,0,0,0,0,400,400,0,94,94,0,0,0,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00001/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/f3_o1_final_20260815/h00001/h00001_final.ll,True,9,9,0,44,44,0,620,574,-46,4,4,0,12,12,0,10,10,0,2,2,0,4,4,0,1,1,0,54,54,0,306,260,-46,39,39,0,28,28,0,10,10,0,1,1,0,0,0,0,400,354,-46,94,94,0,0,0,0
own_v1,O1,h00002,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00002/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00002/main_opt_1.after.ll,True,11,2,-9,47,31,-16,1002,869,-133,5,4,-1,29,17,-12,27,17,-10,2,0,-2,18,13,-5,7,5,-2,96,79,-17,504,448,-56,52,35,-17,27,31,4,8,8,0,1,1,0,1,1,0,659,567,-92,145,141,-4,0,0,0
own_v1,O1,h00002,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00002/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00002/main_opt_2.after.ll,True,2,2,0,31,26,-5,312,253,-59,4,2,-2,10,9,-1,10,9,-1,0,0,0,6,5,-1,4,4,0,20,22,2,59,37,-22,25,22,-3,4,3,-1,12,10,-2,1,1,0,1,1,0,108,85,-23,88,68,-20,0,0,0
own_v1,O1,h00002,bundle_default_opt_3,/home/dungbv/clau/result/f3_o1_final_20260815/h00002/h00002_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00002/bundle_default_opt_3.after.ll,True,2,2,0,26,26,0,222,199,-23,2,2,0,9,9,0,9,9,0,0,0,0,5,5,0,4,4,0,22,22,0,37,37,0,53,30,-23,3,3,0,10,10,0,1,1,0,1,1,0,116,93,-23,37,37,0,0,0,0
own_v1,O1,h00002,bundle_default_opt_4,/home/dungbv/clau/result/f3_o1_final_20260815/h00002/h00002_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00002/bundle_default_opt_4.after.ll,True,2,2,0,26,26,0,199,199,0,2,2,0,9,9,0,9,9,0,0,0,0,5,5,0,4,4,0,22,22,0,37,37,0,30,30,0,3,3,0,10,10,0,1,1,0,1,1,0,93,93,0,37,37,0,0,0,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O1/h00002/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/f3_o1_final_20260815/h00002/h00002_final.ll,True,2,1,-1,26,25,-1,199,198,-1,2,2,0,9,9,0,9,9,0,0,0,0,5,5,0,4,4,0,22,21,-1,37,37,0,30,30,0,3,4,1,10,10,0,1,1,0,1,1,0,93,92,-1,37,38,1,0,0,0
