dataset,level,sample_id,boundary,production_replay_valid,opcode,before,after,delta
own_v1,O1,h00001,main_default_opt_1,True,add,28,28,0
own_v1,O1,h00001,main_default_opt_1,True,alloca,3,1,-2
own_v1,O1,h00001,main_default_opt_1,True,and,17,17,0
own_v1,O1,h00001,main_default_opt_1,True,br,29,30,1
own_v1,O1,h00001,main_default_opt_1,True,call,18,11,-7
own_v1,O1,h00001,main_default_opt_1,True,getelementptr,63,47,-16
own_v1,O1,h00001,main_default_opt_1,True,icmp,26,26,0
own_v1,O1,h00001,main_default_opt_1,True,inttoptr,12,12,0
own_v1,O1,h00001,main_default_opt_1,True,load,66,64,-2
own_v1,O1,h00001,main_default_opt_1,True,lshr,10,10,0
own_v1,O1,h00001,main_default_opt_1,True,mul,3,3,0
own_v1,O1,h00001,main_default_opt_1,True,or,1,1,0
own_v1,O1,h00001,main_default_opt_1,True,phi,26,37,11
own_v1,O1,h00001,main_default_opt_1,True,ptrtoint,5,5,0
own_v1,O1,h00001,main_default_opt_1,True,ret,11,8,-3
own_v1,O1,h00001,main_default_opt_1,True,select,14,14,0
own_v1,O1,h00001,main_default_opt_1,True,sext,1,1,0
own_v1,O1,h00001,main_default_opt_1,True,shl,4,4,0
own_v1,O1,h00001,main_default_opt_1,True,store,454,436,-18
own_v1,O1,h00001,main_default_opt_1,True,switch,1,1,0
own_v1,O1,h00001,main_default_opt_1,True,trunc,15,12,-3
own_v1,O1,h00001,main_default_opt_1,True,xor,18,18,0
own_v1,O1,h00001,main_default_opt_1,True,zext,25,25,0
own_v1,O1,h00001,main_default_opt_2,True,add,25,25,0
own_v1,O1,h00001,main_default_opt_2,True,alloca,1,1,0
own_v1,O1,h00001,main_default_opt_2,True,and,19,17,-2
own_v1,O1,h00001,main_default_opt_2,True,br,30,30,0
own_v1,O1,h00001,main_default_opt_2,True,call,11,11,0
own_v1,O1,h00001,main_default_opt_2,True,getelementptr,48,45,-3
own_v1,O1,h00001,main_default_opt_2,True,icmp,28,24,-4
own_v1,O1,h00001,main_default_opt_2,True,inttoptr,9,9,0
own_v1,O1,h00001,main_default_opt_2,True,load,64,64,0
own_v1,O1,h00001,main_default_opt_2,True,lshr,10,10,0
own_v1,O1,h00001,main_default_opt_2,True,mul,3,3,0
own_v1,O1,h00001,main_default_opt_2,True,or,1,1,0
own_v1,O1,h00001,main_default_opt_2,True,phi,37,37,0
own_v1,O1,h00001,main_default_opt_2,True,ptrtoint,5,5,0
own_v1,O1,h00001,main_default_opt_2,True,ret,8,8,0
own_v1,O1,h00001,main_default_opt_2,True,select,14,14,0
own_v1,O1,h00001,main_default_opt_2,True,sext,1,1,0
own_v1,O1,h00001,main_default_opt_2,True,shl,4,4,0
own_v1,O1,h00001,main_default_opt_2,True,store,436,436,0
own_v1,O1,h00001,main_default_opt_2,True,sub,2,0,-2
own_v1,O1,h00001,main_default_opt_2,True,switch,1,1,0
own_v1,O1,h00001,main_default_opt_2,True,trunc,12,12,0
own_v1,O1,h00001,main_default_opt_2,True,xor,18,18,0
own_v1,O1,h00001,main_default_opt_2,True,zext,25,25,0
own_v1,O1,h00001,bundle_default_opt_3,True,add,22,22,0
own_v1,O1,h00001,bundle_default_opt_3,True,alloca,1,1,0
own_v1,O1,h00001,bundle_default_opt_3,True,and,16,16,0
own_v1,O1,h00001,bundle_default_opt_3,True,br,30,30,0
own_v1,O1,h00001,bundle_default_opt_3,True,call,12,12,0
own_v1,O1,h00001,bundle_default_opt_3,True,getelementptr,39,39,0
own_v1,O1,h00001,bundle_default_opt_3,True,icmp,22,22,0
own_v1,O1,h00001,bundle_default_opt_3,True,inttoptr,8,8,0
own_v1,O1,h00001,bundle_default_opt_3,True,load,64,54,-10
own_v1,O1,h00001,bundle_default_opt_3,True,lshr,10,10,0
own_v1,O1,h00001,bundle_default_opt_3,True,mul,3,3,0
own_v1,O1,h00001,bundle_default_opt_3,True,or,1,1,0
own_v1,O1,h00001,bundle_default_opt_3,True,phi,28,28,0
own_v1,O1,h00001,bundle_default_opt_3,True,ptrtoint,1,1,0
own_v1,O1,h00001,bundle_default_opt_3,True,ret,9,9,0
own_v1,O1,h00001,bundle_default_opt_3,True,select,10,10,0
own_v1,O1,h00001,bundle_default_opt_3,True,shl,4,4,0
own_v1,O1,h00001,bundle_default_opt_3,True,store,322,306,-16
own_v1,O1,h00001,bundle_default_opt_3,True,switch,1,1,0
own_v1,O1,h00001,bundle_default_opt_3,True,trunc,12,12,0
own_v1,O1,h00001,bundle_default_opt_3,True,xor,18,18,0
own_v1,O1,h00001,bundle_default_opt_3,True,zext,13,13,0
own_v1,O1,h00001,bundle_default_opt_4,True,add,22,22,0
own_v1,O1,h00001,bundle_default_opt_4,True,alloca,1,1,0
own_v1,O1,h00001,bundle_default_opt_4,True,and,16,16,0
own_v1,O1,h00001,bundle_default_opt_4,True,br,30,30,0
own_v1,O1,h00001,bundle_default_opt_4,True,call,12,12,0
own_v1,O1,h00001,bundle_default_opt_4,True,getelementptr,39,39,0
own_v1,O1,h00001,bundle_default_opt_4,True,icmp,22,22,0
own_v1,O1,h00001,bundle_default_opt_4,True,inttoptr,8,8,0
own_v1,O1,h00001,bundle_default_opt_4,True,load,54,54,0
own_v1,O1,h00001,bundle_default_opt_4,True,lshr,10,10,0
own_v1,O1,h00001,bundle_default_opt_4,True,mul,3,3,0
own_v1,O1,h00001,bundle_default_opt_4,True,or,1,1,0
own_v1,O1,h00001,bundle_default_opt_4,True,phi,28,28,0
own_v1,O1,h00001,bundle_default_opt_4,True,ptrtoint,1,1,0
own_v1,O1,h00001,bundle_default_opt_4,True,ret,9,9,0
own_v1,O1,h00001,bundle_default_opt_4,True,select,10,10,0
own_v1,O1,h00001,bundle_default_opt_4,True,shl,4,4,0
own_v1,O1,h00001,bundle_default_opt_4,True,store,306,306,0
own_v1,O1,h00001,bundle_default_opt_4,True,switch,1,1,0
own_v1,O1,h00001,bundle_default_opt_4,True,trunc,12,12,0
own_v1,O1,h00001,bundle_default_opt_4,True,xor,18,18,0
own_v1,O1,h00001,bundle_default_opt_4,True,zext,13,13,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,add,22,22,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,alloca,1,1,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,and,16,16,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,br,30,30,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,call,12,12,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,getelementptr,39,39,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,icmp,22,22,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,inttoptr,8,8,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,load,54,54,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,lshr,10,10,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,mul,3,3,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,or,1,1,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,phi,28,28,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,ptrtoint,1,1,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,ret,9,9,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,select,10,10,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,shl,4,4,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,store,306,260,-46
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,switch,1,1,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,trunc,12,12,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,xor,18,18,0
own_v1,O1,h00001,bundle_post_opt_4_custom_cleanup,True,zext,13,13,0
own_v1,O1,h00002,main_default_opt_1,True,add,58,52,-6
own_v1,O1,h00002,main_default_opt_1,True,alloca,7,5,-2
own_v1,O1,h00002,main_default_opt_1,True,and,20,18,-2
own_v1,O1,h00002,main_default_opt_1,True,br,29,27,-2
own_v1,O1,h00002,main_default_opt_1,True,call,29,17,-12
own_v1,O1,h00002,main_default_opt_1,True,getelementptr,52,35,-17
own_v1,O1,h00002,main_default_opt_1,True,icmp,24,23,-1
own_v1,O1,h00002,main_default_opt_1,True,inttoptr,39,37,-2
own_v1,O1,h00002,main_default_opt_1,True,load,96,79,-17
own_v1,O1,h00002,main_default_opt_1,True,lshr,12,11,-1
own_v1,O1,h00002,main_default_opt_1,True,mul,6,5,-1
own_v1,O1,h00002,main_default_opt_1,True,or,1,1,0
own_v1,O1,h00002,main_default_opt_1,True,phi,27,31,4
own_v1,O1,h00002,main_default_opt_1,True,ptrtoint,4,4,0
own_v1,O1,h00002,main_default_opt_1,True,ret,11,2,-9
own_v1,O1,h00002,main_default_opt_1,True,sdiv,1,1,0
own_v1,O1,h00002,main_default_opt_1,True,select,8,8,0
own_v1,O1,h00002,main_default_opt_1,True,sext,4,4,0
own_v1,O1,h00002,main_default_opt_1,True,shl,5,5,0
own_v1,O1,h00002,main_default_opt_1,True,store,504,448,-56
own_v1,O1,h00002,main_default_opt_1,True,switch,1,1,0
own_v1,O1,h00002,main_default_opt_1,True,trunc,16,14,-2
