dataset,level,boundary,opcode,metric_n,total_before,total_after,total_delta,cases_changed
own_v1,O1,main_default_opt_1,add,40,2142,2013,-129,21
own_v1,O1,main_default_opt_1,alloca,40,240,152,-88,40
own_v1,O1,main_default_opt_1,and,40,968,928,-40,20
own_v1,O1,main_default_opt_1,br,40,1471,1462,-9,39
own_v1,O1,main_default_opt_1,call,40,1114,738,-376,40
own_v1,O1,main_default_opt_1,getelementptr,40,3586,2675,-911,40
own_v1,O1,main_default_opt_1,icmp,40,1268,1248,-20,17
own_v1,O1,main_default_opt_1,inttoptr,40,1009,954,-55,23
own_v1,O1,main_default_opt_1,load,40,4702,4150,-552,40
own_v1,O1,main_default_opt_1,lshr,40,502,484,-18,17
own_v1,O1,main_default_opt_1,mul,34,144,136,-8,8
own_v1,O1,main_default_opt_1,or,16,29,25,-4,2
own_v1,O1,main_default_opt_1,phi,40,1049,1387,338,40
own_v1,O1,main_default_opt_1,ptrtoint,40,179,179,0,0
own_v1,O1,main_default_opt_1,ret,40,457,233,-224,40
own_v1,O1,main_default_opt_1,select,40,670,670,0,0
own_v1,O1,main_default_opt_1,sext,30,172,173,1,1
own_v1,O1,main_default_opt_1,shl,40,364,359,-5,3
own_v1,O1,main_default_opt_1,store,40,26631,25120,-1511,40
own_v1,O1,main_default_opt_1,switch,40,77,75,-2,1
own_v1,O1,main_default_opt_1,trunc,40,767,632,-135,40
own_v1,O1,main_default_opt_1,xor,40,1036,974,-62,24
own_v1,O1,main_default_opt_1,zext,40,1248,1196,-52,20
own_v1,O1,main_default_opt_2,add,40,1781,1842,61,25
own_v1,O1,main_default_opt_2,alloca,40,110,110,0,0
own_v1,O1,main_default_opt_2,and,40,915,762,-153,26
own_v1,O1,main_default_opt_2,br,40,1462,1433,-29,9
own_v1,O1,main_default_opt_2,call,40,590,538,-52,22
own_v1,O1,main_default_opt_2,getelementptr,40,2410,2320,-90,37
own_v1,O1,main_default_opt_2,icmp,40,1387,1178,-209,28
own_v1,O1,main_default_opt_2,inttoptr,40,875,798,-77,18
own_v1,O1,main_default_opt_2,load,40,3409,3430,21,23
own_v1,O1,main_default_opt_2,lshr,33,350,350,0,0
own_v1,O1,main_default_opt_2,mul,34,136,136,0,0
own_v1,O1,main_default_opt_2,or,15,25,25,0,0
own_v1,O1,main_default_opt_2,phi,40,1067,1044,-23,16
own_v1,O1,main_default_opt_2,ptrtoint,40,208,196,-12,6
own_v1,O1,main_default_opt_2,ret,40,234,234,0,0
own_v1,O1,main_default_opt_2,select,40,798,786,-12,6
own_v1,O1,main_default_opt_2,sext,30,172,172,0,0
own_v1,O1,main_default_opt_2,shl,40,359,358,-1,1
own_v1,O1,main_default_opt_2,store,40,18065,17979,-86,25
own_v1,O1,main_default_opt_2,sub,30,197,45,-152,25
own_v1,O1,main_default_opt_2,switch,40,75,73,-2,2
own_v1,O1,main_default_opt_2,trunc,30,454,451,-3,3
own_v1,O1,main_default_opt_2,xor,40,814,813,-1,1
own_v1,O1,main_default_opt_2,zext,35,918,917,-1,1
