dataset,level,boundary,n,valid_replays,metric_n,mean_functions_before,mean_functions_after,total_functions_delta,cases_functions_changed,mean_blocks_before,mean_blocks_after,total_blocks_delta,cases_blocks_changed,mean_instructions_before,mean_instructions_after,total_instructions_delta,cases_instructions_changed,mean_conditional_branches_before,mean_conditional_branches_after,total_conditional_branches_delta,cases_conditional_branches_changed,mean_calls_before,mean_calls_after,total_calls_delta,cases_calls_changed,mean_direct_calls_before,mean_direct_calls_after,total_direct_calls_delta,cases_direct_calls_changed,mean_indirect_calls_before,mean_indirect_calls_after,total_indirect_calls_delta,cases_indirect_calls_changed,mean_intrinsics_before,mean_intrinsics_after,total_intrinsics_delta,cases_intrinsics_changed,mean_allocas_before,mean_allocas_after,total_allocas_delta,cases_allocas_changed,mean_loads_before,mean_loads_after,total_loads_delta,cases_loads_changed,mean_stores_before,mean_stores_after,total_stores_delta,cases_stores_changed,mean_geps_before,mean_geps_after,total_geps_delta,cases_geps_changed,mean_phis_before,mean_phis_after,total_phis_delta,cases_phis_changed,mean_selects_before,mean_selects_after,total_selects_delta,cases_selects_changed,mean_switches_before,mean_switches_after,total_switches_delta,cases_switches_changed,mean_unreachable_before,mean_unreachable_after,total_unreachable_delta,cases_unreachable_changed,mean_memory_ops_before,mean_memory_ops_after,total_memory_ops_delta,cases_memory_ops_changed,mean_scalar_cleanup_ops_before,mean_scalar_cleanup_ops_after,total_scalar_cleanup_ops_delta,cases_scalar_cleanup_ops_changed,mean_vector_instructions_before,mean_vector_instructions_after,total_vector_instructions_delta,cases_vector_instructions_changed
own_v1,O1,main_default_opt_1,40,40,40,11.35,5.75,-224,40,56.025,46.375,-386,40,1247.925,1151.375,-3862,40,5.2,4.725,-19,18,27.85,18.45,-376,40,25.8,17.25,-342,40,2.05,1.2,-34,17,16.2,11.55,-186,40,6.0,3.8,-88,40,117.55,103.75,-552,40,665.775,628.0,-1511,40,89.65,66.875,-911,40,26.225,34.675,338,40,16.75,16.75,0,0,1.925,1.875,-2,1,0.125,0.125,0,0,878.975,802.425,-3062,40,159.05,160.975,77,39,0.0,0.0,0,0
own_v1,O1,main_default_opt_2,40,40,40,5.775,5.775,0,0,46.425,45.65,-31,9,921.45,900.925,-821,40,4.725,4.2,-21,8,14.75,13.45,-52,22,13.55,12.25,-52,22,1.2,1.2,0,0,7.825,6.525,-52,22,2.75,2.75,0,0,85.225,85.75,21,23,451.625,449.475,-86,25,60.25,58.0,-90,37,26.675,26.1,-23,16,19.95,19.65,-12,6,1.875,1.825,-2,2,0.125,0.125,0,0,599.85,595.975,-155,38,146.975,138.55,-337,35,0.0,0.0,0,0
own_v1,O1,bundle_default_opt_3,40,40,40,6.225,6.2,-1,1,46.55,46.5,-2,1,816.425,754.325,-2484,40,4.2,4.2,0,0,14.825,14.7,-5,7,13.625,13.5,-5,7,1.2,1.2,0,0,5.875,5.975,4,3,2.75,2.75,0,0,86.675,69.2,-699,27,390.625,358.8,-1273,27,56.775,46.775,-400,16,23.425,22.95,-19,10,15.7,15.65,-2,1,1.825,1.825,0,0,0.125,0.125,0,0,536.825,477.525,-2372,40,117.475,116.325,-46,15,0.0,0.0,0,0
own_v1,O1,bundle_default_opt_4,40,40,40,6.2,6.2,0,0,46.5,46.5,0,0,754.325,753.45,-35,5,4.2,4.2,0,0,14.7,14.7,0,0,13.5,13.5,0,0,1.2,1.2,0,0,5.975,5.975,0,0,2.75,2.75,0,0,69.2,68.9,-12,2,358.8,358.5,-12,2,46.775,46.6,-7,1,22.95,22.95,0,0,15.65,15.65,0,0,1.825,1.825,0,0,0.125,0.125,0,0,477.525,476.75,-31,3,116.325,116.325,0,0,0.0,0.0,0,0
own_v1,O1,bundle_post_opt_4_custom_cleanup,40,40,40,6.2,5.5,-28,18,46.5,44.45,-82,18,753.45,645.05,-4336,40,4.2,4.025,-7,2,14.7,13.975,-29,8,13.5,12.825,-27,8,1.2,1.15,-2,1,5.975,5.55,-17,7,2.75,2.725,-1,1,68.9,65.2,-148,10,358.5,272.525,-3439,27,46.6,45.625,-39,4,22.95,20.775,-87,8,15.65,15.375,-11,1,1.825,1.725,-4,1,0.125,0.1,-1,1,476.75,386.075,-3627,30,116.325,108.3,-321,17,0.0,0.0,0,0
own_v1,O2,main_default_opt_1,40,40,40,11.35,5.75,-224,40,56.025,46.275,-390,40,1247.925,1138.45,-4379,40,5.2,4.725,-19,18,27.85,18.45,-376,40,25.8,17.25,-342,40,2.05,1.2,-34,17,16.2,11.55,-186,40,6.0,3.8,-88,40,117.55,103.5,-562,40,665.775,618.725,-1882,40,89.65,66.85,-912,40,26.225,34.35,325,40,16.75,16.75,0,0,1.925,1.875,-2,1,0.125,0.125,0,0,878.975,792.875,-3444,40,159.05,158.0,-42,40,0.0,0.0,0,0
own_v1,O2,main_default_opt_2,40,40,40,5.775,5.775,0,0,46.325,45.575,-30,8,911.175,873.95,-1489,39,4.725,4.2,-21,8,14.75,13.45,-52,22,13.55,12.25,-52,22,1.2,1.2,0,0,7.825,6.525,-52,22,2.75,2.75,0,0,84.975,85.425,18,23,444.3,436.6,-308,36,60.225,50.45,-391,36,26.35,25.625,-29,12,19.95,19.65,-12,6,1.875,1.825,-2,2,0.125,0.125,0,0,592.25,575.225,-681,39,144.775,134.725,-402,34,0.0,0.0,0,0
own_v1,O2,bundle_default_opt_3,40,40,40,6.225,6.05,-7,1,46.475,46.15,-13,1,785.625,674.35,-4451,40,4.2,4.175,-1,1,14.825,14.325,-20,11,13.625,13.175,-18,11,1.2,1.15,-2,1,5.875,5.7,-7,8,2.75,2.75,0,0,86.125,67.775,-734,27,373.0,288.8,-3368,27,47.4,46.525,-35,16,22.725,21.9,-33,11,15.7,15.65,-2,1,1.825,1.825,0,0,0.125,0.125,0,0,509.275,405.85,-4137,40,115.15,111.575,-143,25,0.0,0.0,0,0
own_v1,O2,bundle_default_opt_4,40,40,40,6.05,6.05,0,0,46.15,46.15,0,0,674.35,664.45,-396,25,4.175,4.175,0,0,14.325,14.325,0,0,13.175,13.175,0,0,1.15,1.15,0,0,5.7,5.7,0,0,2.75,2.75,0,0,67.775,67.775,0,0,288.8,279.475,-373,25,46.525,46.525,0,0,21.9,21.9,0,0,15.65,15.65,0,0,1.825,1.825,0,0,0.125,0.125,0,0,405.85,396.525,-373,25,111.575,111.275,-12,4,0.0,0.0,0,0
own_v1,O2,bundle_post_opt_4_custom_cleanup,40,40,40,6.05,5.5,-22,18,46.15,44.375,-71,18,664.45,637.875,-1063,32,4.175,4.025,-6,1,14.325,14.0,-13,2,13.175,12.85,-13,2,1.15,1.15,0,0,5.7,5.575,-5,1,2.75,2.725,-1,1,67.775,65.1,-107,1,279.475,267.75,-469,15,46.525,45.625,-36,2,21.9,20.425,-59,1,15.65,15.375,-11,1,1.825,1.725,-4,1,0.125,0.1,-1,1,396.525,381.2,-613,16,111.275,106.55,-189,1,0.0,0.0,0,0
