dataset,left_level,right_level,boundary,n,before_structural_matches,after_structural_matches
public_v1,O1,O2,bundle_default_opt_3,40,0,0
public_v1,O1,O2,bundle_default_opt_4,40,0,0
public_v1,O1,O2,bundle_post_opt_4_custom_cleanup,40,0,0
public_v1,O1,O2,main_default_opt_1,40,1,0
public_v1,O1,O2,main_default_opt_2,40,0,0
public_v1,O1,O3,bundle_default_opt_3,40,0,0
public_v1,O1,O3,bundle_default_opt_4,40,0,0
public_v1,O1,O3,bundle_post_opt_4_custom_cleanup,40,0,0
public_v1,O1,O3,main_default_opt_1,40,1,0
public_v1,O1,O3,main_default_opt_2,40,0,0
public_v1,O2,O3,bundle_default_opt_3,40,2,2
public_v1,O2,O3,bundle_default_opt_4,40,2,2
public_v1,O2,O3,bundle_post_opt_4_custom_cleanup,40,2,2
public_v1,O2,O3,main_default_opt_1,40,1,1
public_v1,O2,O3,main_default_opt_2,40,1,1
