dataset,level,sample_id,boundary,before_path,after_path,production_replay_valid,functions_before,functions_after,functions_delta,blocks_before,blocks_after,blocks_delta,instructions_before,instructions_after,instructions_delta,conditional_branches_before,conditional_branches_after,conditional_branches_delta,calls_before,calls_after,calls_delta,direct_calls_before,direct_calls_after,direct_calls_delta,indirect_calls_before,indirect_calls_after,indirect_calls_delta,intrinsics_before,intrinsics_after,intrinsics_delta,allocas_before,allocas_after,allocas_delta,loads_before,loads_after,loads_delta,stores_before,stores_after,stores_delta,geps_before,geps_after,geps_delta,phis_before,phis_after,phis_delta,selects_before,selects_after,selects_delta,switches_before,switches_after,switches_delta,unreachable_before,unreachable_after,unreachable_delta,memory_ops_before,memory_ops_after,memory_ops_delta,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,vector_instructions_before,vector_instructions_after,vector_instructions_delta
public_v1,O1,p00001,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00001/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00001/main_opt_1.after.ll,True,9,3,-6,45,30,-15,1185,616,-569,10,8,-2,29,19,-10,29,19,-10,0,0,0,14,10,-4,6,4,-2,103,48,-55,198,194,-4,137,96,-41,25,9,-16,29,29,0,2,1,-1,0,0,0,444,342,-102,235,131,-104,0,0,0
public_v1,O1,p00001,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00001/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00001/main_opt_2.after.ll,True,3,3,0,30,30,0,465,442,-23,8,8,0,15,15,0,15,15,0,0,0,0,6,6,0,2,2,0,28,28,0,176,160,-16,65,64,-1,12,14,2,13,10,-3,1,1,0,0,0,0,271,254,-17,89,83,-6,0,0,0
public_v1,O1,p00001,bundle_default_opt_3,/home/dungbv/clau/result/ir_public_o1_20260816/p00001/p00001_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00001/bundle_default_opt_3.after.ll,True,4,4,0,30,26,-4,291,232,-59,7,5,-2,13,15,2,13,15,2,0,0,0,2,4,2,1,1,0,20,12,-8,112,107,-5,42,38,-4,10,4,-6,5,5,0,1,1,0,0,0,0,175,158,-17,47,25,-22,0,0,0
public_v1,O1,p00001,bundle_default_opt_4,/home/dungbv/clau/result/ir_public_o1_20260816/p00001/p00001_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00001/bundle_default_opt_4.after.ll,True,4,4,0,26,26,0,232,232,0,5,5,0,15,15,0,15,15,0,0,0,0,4,4,0,1,1,0,12,12,0,107,107,0,38,38,0,4,4,0,5,5,0,1,1,0,0,0,0,158,158,0,25,25,0,0,0,0
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00001/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/ir_public_o1_20260816/p00001/p00001_final.ll,True,4,2,-2,26,23,-3,232,168,-64,5,5,0,15,13,-2,15,13,-2,0,0,0,4,4,0,1,1,0,12,8,-4,107,58,-49,38,37,-1,4,7,3,5,2,-3,1,1,0,0,0,0,158,104,-54,25,22,-3,0,0,0
public_v1,O1,p00008,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00008/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00008/main_opt_1.after.ll,True,3,2,-1,34,32,-2,1558,1140,-418,13,13,0,12,7,-5,12,7,-5,0,0,0,9,5,-4,5,3,-2,131,103,-28,204,186,-18,390,195,-195,1,1,0,178,157,-21,0,0,0,0,0,0,730,487,-243,456,397,-59,0,0,0
public_v1,O1,p00008,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00008/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00008/main_opt_2.after.ll,True,2,2,0,32,32,0,1316,1089,-227,13,13,0,6,7,1,6,7,1,0,0,0,4,5,1,3,3,0,90,90,0,158,155,-3,204,196,-8,3,3,0,166,160,-6,0,0,0,0,0,0,455,444,-11,426,400,-26,0,0,0
public_v1,O1,p00008,bundle_default_opt_3,/home/dungbv/clau/result/ir_public_o1_20260816/p00008/p00008_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00008/bundle_default_opt_3.after.ll,True,2,2,0,32,27,-5,292,228,-64,13,14,1,7,7,0,7,7,0,0,0,0,5,5,0,3,3,0,45,31,-14,39,39,0,84,45,-39,4,6,2,3,3,0,0,0,0,0,0,0,171,118,-53,45,44,-1,0,0,0
public_v1,O1,p00008,bundle_default_opt_4,/home/dungbv/clau/result/ir_public_o1_20260816/p00008/p00008_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00008/bundle_default_opt_4.after.ll,True,2,2,0,27,27,0,228,228,0,14,14,0,7,7,0,7,7,0,0,0,0,5,5,0,3,3,0,31,31,0,39,39,0,45,45,0,6,6,0,3,3,0,0,0,0,0,0,0,118,118,0,44,44,0,0,0,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00008/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/ir_public_o1_20260816/p00008/p00008_final.ll,True,2,2,0,27,27,0,228,243,15,14,14,0,7,7,0,7,7,0,0,0,0,5,5,0,3,3,0,31,17,-14,39,39,0,45,45,0,6,35,29,3,3,0,0,0,0,0,0,0,118,104,-14,44,73,29,0,0,0
