dataset,level,sample_id,boundary,production_replay_valid,opcode,before,after,delta
public_v1,O1,p00001,main_default_opt_1,True,add,105,44,-61
public_v1,O1,p00001,main_default_opt_1,True,alloca,6,4,-2
public_v1,O1,p00001,main_default_opt_1,True,and,54,14,-40
public_v1,O1,p00001,main_default_opt_1,True,br,27,24,-3
public_v1,O1,p00001,main_default_opt_1,True,call,29,19,-10
public_v1,O1,p00001,main_default_opt_1,True,extractvalue,50,0,-50
public_v1,O1,p00001,main_default_opt_1,True,getelementptr,137,96,-41
public_v1,O1,p00001,main_default_opt_1,True,icmp,61,39,-22
public_v1,O1,p00001,main_default_opt_1,True,insertvalue,86,0,-86
public_v1,O1,p00001,main_default_opt_1,True,inttoptr,12,10,-2
public_v1,O1,p00001,main_default_opt_1,True,load,103,48,-55
public_v1,O1,p00001,main_default_opt_1,True,lshr,13,2,-11
public_v1,O1,p00001,main_default_opt_1,True,mul,9,3,-6
public_v1,O1,p00001,main_default_opt_1,True,or,31,11,-20
public_v1,O1,p00001,main_default_opt_1,True,phi,25,9,-16
public_v1,O1,p00001,main_default_opt_1,True,ptrtoint,17,12,-5
public_v1,O1,p00001,main_default_opt_1,True,ret,9,3,-6
public_v1,O1,p00001,main_default_opt_1,True,select,29,29,0
public_v1,O1,p00001,main_default_opt_1,True,sext,4,4,0
public_v1,O1,p00001,main_default_opt_1,True,shl,6,5,-1
public_v1,O1,p00001,main_default_opt_1,True,store,198,194,-4
public_v1,O1,p00001,main_default_opt_1,True,sub,51,4,-47
public_v1,O1,p00001,main_default_opt_1,True,switch,2,1,-1
public_v1,O1,p00001,main_default_opt_1,True,trunc,25,5,-20
public_v1,O1,p00001,main_default_opt_1,True,xor,34,13,-21
public_v1,O1,p00001,main_default_opt_1,True,zext,62,23,-39
public_v1,O1,p00001,main_default_opt_2,True,add,20,20,0
public_v1,O1,p00001,main_default_opt_2,True,alloca,2,2,0
public_v1,O1,p00001,main_default_opt_2,True,and,11,11,0
public_v1,O1,p00001,main_default_opt_2,True,br,24,24,0
public_v1,O1,p00001,main_default_opt_2,True,call,15,15,0
public_v1,O1,p00001,main_default_opt_2,True,getelementptr,65,64,-1
public_v1,O1,p00001,main_default_opt_2,True,icmp,22,21,-1
public_v1,O1,p00001,main_default_opt_2,True,inttoptr,4,3,-1
