dataset,level,boundary,opcode,metric_n,total_before,total_after,total_delta,cases_changed
public_v1,O1,main_default_opt_1,add,39,11708,8606,-3102,39
public_v1,O1,main_default_opt_1,alloca,39,299,154,-145,35
public_v1,O1,main_default_opt_1,and,39,4741,3641,-1100,39
public_v1,O1,main_default_opt_1,br,39,3331,3220,-111,35
public_v1,O1,main_default_opt_1,call,39,1516,963,-553,39
public_v1,O1,main_default_opt_1,extractvalue,38,2630,1089,-1541,38
public_v1,O1,main_default_opt_1,getelementptr,39,16367,10379,-5988,39
public_v1,O1,main_default_opt_1,icmp,39,7707,6557,-1150,39
public_v1,O1,main_default_opt_1,insertvalue,38,2533,381,-2152,38
public_v1,O1,main_default_opt_1,inttoptr,38,2059,1941,-118,27
public_v1,O1,main_default_opt_1,load,39,9313,8091,-1222,39
public_v1,O1,main_default_opt_1,lshr,34,882,231,-651,29
public_v1,O1,main_default_opt_1,mul,39,1207,1162,-45,26
public_v1,O1,main_default_opt_1,or,39,3040,2743,-297,37
public_v1,O1,main_default_opt_1,phi,39,1821,1720,-101,36
public_v1,O1,main_default_opt_1,ptrtoint,39,507,359,-148,37
public_v1,O1,main_default_opt_1,ret,39,277,169,-108,39
public_v1,O1,main_default_opt_1,select,39,5396,5146,-250,30
public_v1,O1,main_default_opt_1,sext,35,1048,968,-80,20
public_v1,O1,main_default_opt_1,shl,33,795,752,-43,16
public_v1,O1,main_default_opt_1,store,39,13498,11631,-1867,38
public_v1,O1,main_default_opt_1,sub,36,3425,1690,-1735,36
public_v1,O1,main_default_opt_1,switch,26,153,90,-63,24
public_v1,O1,main_default_opt_1,trunc,39,1764,851,-913,39
public_v1,O1,main_default_opt_1,xor,39,2881,2092,-789,37
public_v1,O1,main_default_opt_1,zext,39,5286,3997,-1289,38
public_v1,O1,main_default_opt_2,add,39,7953,7284,-669,27
public_v1,O1,main_default_opt_2,alloca,38,158,154,-4,4
public_v1,O1,main_default_opt_2,and,39,3884,2472,-1412,36
public_v1,O1,main_default_opt_2,br,38,3201,3133,-68,22
public_v1,O1,main_default_opt_2,call,39,916,838,-78,22
public_v1,O1,main_default_opt_2,getelementptr,39,10122,8448,-1674,36
public_v1,O1,main_default_opt_2,icmp,38,6412,5881,-531,32
public_v1,O1,main_default_opt_2,inttoptr,34,1882,1789,-93,24
public_v1,O1,main_default_opt_2,load,39,7146,6771,-375,30
public_v1,O1,main_default_opt_2,lshr,20,173,175,2,4
public_v1,O1,main_default_opt_2,mul,35,888,883,-5,7
public_v1,O1,main_default_opt_2,or,38,2945,1822,-1123,31
public_v1,O1,main_default_opt_2,phi,38,1468,1454,-14,29
public_v1,O1,main_default_opt_2,ptrtoint,35,340,260,-80,19
public_v1,O1,main_default_opt_2,ret,39,163,158,-5,5
public_v1,O1,main_default_opt_2,select,38,5107,4874,-233,28
public_v1,O1,main_default_opt_2,sext,35,952,909,-43,15
public_v1,O1,main_default_opt_2,shl,33,752,727,-25,13
public_v1,O1,main_default_opt_2,store,39,10547,10011,-536,31
public_v1,O1,main_default_opt_2,sub,35,1888,595,-1293,30
public_v1,O1,main_default_opt_2,switch,26,90,90,0,2
public_v1,O1,main_default_opt_2,trunc,36,771,746,-25,20
public_v1,O1,main_default_opt_2,xor,35,1499,1472,-27,19
public_v1,O1,main_default_opt_2,zext,38,2930,2825,-105,31
public_v1,O1,bundle_default_opt_3,add,40,3225,2801,-424,27
public_v1,O1,bundle_default_opt_3,alloca,37,157,156,-1,1
public_v1,O1,bundle_default_opt_3,and,36,2464,1935,-529,13
public_v1,O1,bundle_default_opt_3,br,39,3175,3137,-38,20
public_v1,O1,bundle_default_opt_3,call,40,2393,2385,-8,10
public_v1,O1,bundle_default_opt_3,getelementptr,38,4662,4334,-328,27
public_v1,O1,bundle_default_opt_3,icmp,39,2061,1965,-96,19
public_v1,O1,bundle_default_opt_3,inttoptr,34,241,235,-6,1
public_v1,O1,bundle_default_opt_3,load,40,6612,6250,-362,23
public_v1,O1,bundle_default_opt_3,mul,36,890,769,-121,11
public_v1,O1,bundle_default_opt_3,or,33,1806,1309,-497,15
public_v1,O1,bundle_default_opt_3,phi,39,1442,1380,-62,27
public_v1,O1,bundle_default_opt_3,ptrtoint,34,638,223,-415,24
public_v1,O1,bundle_default_opt_3,ret,40,212,209,-3,3
public_v1,O1,bundle_default_opt_3,select,39,960,962,2,11
public_v1,O1,bundle_default_opt_3,sext,36,928,891,-37,15
public_v1,O1,bundle_default_opt_3,shl,34,724,703,-21,11
public_v1,O1,bundle_default_opt_3,store,38,9741,9114,-627,22
public_v1,O1,bundle_default_opt_3,sub,29,469,353,-116,19
public_v1,O1,bundle_default_opt_3,switch,27,89,88,-1,1
public_v1,O1,bundle_default_opt_3,trunc,38,767,739,-28,15
public_v1,O1,bundle_default_opt_3,xor,36,1472,1255,-217,12
public_v1,O1,bundle_default_opt_3,zext,37,2788,2347,-441,18
public_v1,O1,bundle_default_opt_4,add,40,2801,2717,-84,15
public_v1,O1,bundle_default_opt_4,alloca,37,156,156,0,0
public_v1,O1,bundle_default_opt_4,and,36,1935,1844,-91,7
public_v1,O1,bundle_default_opt_4,br,39,3137,3150,13,5
public_v1,O1,bundle_default_opt_4,call,40,2385,2374,-11,3
public_v1,O1,bundle_default_opt_4,getelementptr,38,4334,4093,-241,22
public_v1,O1,bundle_default_opt_4,icmp,39,1965,1952,-13,8
public_v1,O1,bundle_default_opt_4,inttoptr,34,235,229,-6,1
public_v1,O1,bundle_default_opt_4,load,40,6250,6256,6,10
public_v1,O1,bundle_default_opt_4,phi,39,1380,1382,2,8
public_v1,O1,bundle_default_opt_4,ptrtoint,34,223,222,-1,1
public_v1,O1,bundle_default_opt_4,ret,40,209,206,-3,3
public_v1,O1,bundle_default_opt_4,select,39,962,952,-10,4
public_v1,O1,bundle_default_opt_4,sext,36,891,920,29,7
public_v1,O1,bundle_default_opt_4,shl,33,703,735,32,6
public_v1,O1,bundle_default_opt_4,store,38,9114,9247,133,5
public_v1,O1,bundle_default_opt_4,sub,28,353,312,-41,12
public_v1,O1,bundle_default_opt_4,switch,27,88,89,1,1
public_v1,O1,bundle_default_opt_4,zext,37,2347,2269,-78,6
public_v1,O1,bundle_post_opt_4_custom_cleanup,add,40,2717,2690,-27,9
public_v1,O1,bundle_post_opt_4_custom_cleanup,alloca,37,156,160,4,2
public_v1,O1,bundle_post_opt_4_custom_cleanup,and,36,1844,1838,-6,4
public_v1,O1,bundle_post_opt_4_custom_cleanup,br,39,3150,3123,-27,15
public_v1,O1,bundle_post_opt_4_custom_cleanup,call,40,2374,2368,-6,6
public_v1,O1,bundle_post_opt_4_custom_cleanup,getelementptr,38,4093,3885,-208,21
public_v1,O1,bundle_post_opt_4_custom_cleanup,icmp,39,1952,1938,-14,6
public_v1,O1,bundle_post_opt_4_custom_cleanup,inttoptr,34,229,217,-12,4
public_v1,O1,bundle_post_opt_4_custom_cleanup,load,40,6256,5998,-258,34
public_v1,O1,bundle_post_opt_4_custom_cleanup,phi,39,1382,1632,250,31
public_v1,O1,bundle_post_opt_4_custom_cleanup,ptrtoint,34,222,217,-5,4
public_v1,O1,bundle_post_opt_4_custom_cleanup,ret,40,206,201,-5,6
public_v1,O1,bundle_post_opt_4_custom_cleanup,select,39,952,853,-99,25
public_v1,O1,bundle_post_opt_4_custom_cleanup,sext,36,920,919,-1,1
public_v1,O1,bundle_post_opt_4_custom_cleanup,shl,33,735,735,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,store,38,9247,7962,-1285,32
public_v1,O1,bundle_post_opt_4_custom_cleanup,sub,28,312,306,-6,4
public_v1,O1,bundle_post_opt_4_custom_cleanup,switch,27,89,89,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,zext,37,2269,2258,-11,5
public_v1,O1,bundle_default_opt_4,mul,35,769,754,-15,6
public_v1,O1,bundle_default_opt_4,or,31,1309,1219,-90,5
public_v1,O1,bundle_default_opt_4,trunc,37,739,741,2,3
public_v1,O1,bundle_default_opt_4,xor,35,1255,1230,-25,4
public_v1,O1,bundle_post_opt_4_custom_cleanup,mul,35,754,753,-1,1
public_v1,O1,bundle_post_opt_4_custom_cleanup,or,31,1219,1216,-3,2
public_v1,O1,bundle_post_opt_4_custom_cleanup,trunc,37,741,759,18,4
public_v1,O1,bundle_post_opt_4_custom_cleanup,xor,35,1230,1230,0,0
public_v1,O1,main_default_opt_1,bitcast,5,56,47,-9,2
public_v1,O1,main_default_opt_1,fcmp,3,29,27,-2,1
public_v1,O1,main_default_opt_1,fptosi,1,1,1,0,0
public_v1,O1,main_default_opt_1,sitofp,4,10,10,0,0
public_v1,O1,main_default_opt_2,extractvalue,23,950,909,-41,5
public_v1,O1,main_default_opt_2,fcmp,3,27,26,-1,1
public_v1,O1,main_default_opt_2,fptosi,1,1,1,0,0
public_v1,O1,main_default_opt_2,insertvalue,23,381,304,-77,16
public_v1,O1,main_default_opt_2,sitofp,4,10,9,-1,1
public_v1,O1,bundle_default_opt_3,extractvalue,24,744,626,-118,13
public_v1,O1,bundle_default_opt_3,fcmp,3,26,26,0,0
public_v1,O1,bundle_default_opt_3,fptosi,1,1,1,0,0
public_v1,O1,bundle_default_opt_3,insertvalue,24,313,231,-82,21
public_v1,O1,bundle_default_opt_3,lshr,17,165,166,1,1
public_v1,O1,bundle_default_opt_3,sitofp,4,9,9,0,0
public_v1,O1,bundle_default_opt_4,fcmp,3,26,26,0,0
public_v1,O1,bundle_default_opt_4,fptosi,1,1,1,0,0
public_v1,O1,bundle_default_opt_4,lshr,17,166,168,2,1
public_v1,O1,bundle_default_opt_4,sitofp,4,9,9,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,fcmp,3,26,26,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,fptosi,1,1,1,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,lshr,17,168,179,11,1
public_v1,O1,bundle_post_opt_4_custom_cleanup,sitofp,4,9,9,0,0
public_v1,O1,main_default_opt_1,fadd,2,24,21,-3,1
public_v1,O1,main_default_opt_1,fdiv,4,11,11,0,0
public_v1,O1,main_default_opt_1,fmul,2,14,14,0,0
public_v1,O1,main_default_opt_1,fsub,2,32,33,1,1
public_v1,O1,main_default_opt_1,unreachable,11,68,65,-3,2
public_v1,O1,main_default_opt_2,bitcast,2,42,42,0,0
public_v1,O1,main_default_opt_2,fadd,2,21,21,0,0
public_v1,O1,main_default_opt_2,fdiv,4,11,11,0,0
public_v1,O1,main_default_opt_2,fmul,2,14,14,0,0
public_v1,O1,main_default_opt_2,fsub,2,33,33,0,0
public_v1,O1,main_default_opt_2,unreachable,11,65,61,-4,2
public_v1,O1,bundle_default_opt_3,bitcast,2,42,42,0,0
public_v1,O1,bundle_default_opt_3,fadd,2,21,21,0,0
public_v1,O1,bundle_default_opt_3,fdiv,4,11,11,0,0
public_v1,O1,bundle_default_opt_3,fmul,2,14,14,0,0
public_v1,O1,bundle_default_opt_3,fsub,2,33,33,0,0
public_v1,O1,bundle_default_opt_3,unreachable,11,79,78,-1,1
public_v1,O1,bundle_default_opt_4,bitcast,2,42,42,0,0
public_v1,O1,bundle_default_opt_4,extractvalue,19,626,604,-22,3
public_v1,O1,bundle_default_opt_4,fadd,2,21,21,0,0
public_v1,O1,bundle_default_opt_4,fdiv,4,11,11,0,0
public_v1,O1,bundle_default_opt_4,fmul,2,14,14,0,0
public_v1,O1,bundle_default_opt_4,fsub,2,33,33,0,0
public_v1,O1,bundle_default_opt_4,insertvalue,19,231,222,-9,3
public_v1,O1,bundle_default_opt_4,unreachable,11,78,80,2,1
public_v1,O1,bundle_post_opt_4_custom_cleanup,bitcast,2,42,47,5,2
public_v1,O1,bundle_post_opt_4_custom_cleanup,extractvalue,19,604,601,-3,2
public_v1,O1,bundle_post_opt_4_custom_cleanup,fadd,2,21,21,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,fdiv,4,11,11,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,fmul,2,14,14,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,fsub,2,33,33,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,insertvalue,19,222,221,-1,1
public_v1,O1,bundle_post_opt_4_custom_cleanup,unreachable,11,80,80,0,0
public_v1,O1,main_default_opt_1,ashr,15,105,90,-15,4
public_v1,O1,main_default_opt_2,ashr,17,90,94,4,6
public_v1,O1,bundle_default_opt_3,ashr,19,93,90,-3,4
public_v1,O1,bundle_default_opt_4,ashr,18,90,90,0,2
public_v1,O1,bundle_post_opt_4_custom_cleanup,ashr,18,90,90,0,0
public_v1,O1,main_default_opt_1,sdiv,12,41,40,-1,1
public_v1,O1,main_default_opt_1,srem,7,25,22,-3,3
public_v1,O1,main_default_opt_1,udiv,3,9,9,0,0
public_v1,O1,main_default_opt_2,sdiv,12,40,38,-2,2
public_v1,O1,main_default_opt_2,srem,7,21,20,-1,1
public_v1,O1,main_default_opt_2,udiv,3,9,9,0,0
public_v1,O1,bundle_default_opt_3,sdiv,12,49,49,0,2
public_v1,O1,bundle_default_opt_3,srem,8,22,23,1,1
public_v1,O1,bundle_default_opt_3,udiv,3,9,9,0,0
public_v1,O1,bundle_default_opt_4,sdiv,12,49,51,2,1
public_v1,O1,bundle_default_opt_4,srem,8,23,23,0,0
public_v1,O1,bundle_default_opt_4,udiv,3,9,9,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,sdiv,12,51,51,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,srem,8,23,23,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,udiv,3,9,9,0,0
public_v1,O1,main_default_opt_1,fneg,1,1,1,0,0
public_v1,O1,main_default_opt_2,fneg,1,1,1,0,0
public_v1,O1,main_default_opt_2,freeze,4,10,6,-4,3
public_v1,O1,bundle_default_opt_3,fneg,1,1,1,0,0
public_v1,O1,bundle_default_opt_4,fneg,1,1,1,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,fneg,1,1,1,0,0
public_v1,O1,main_default_opt_2,uitofp,1,0,1,1,1
public_v1,O1,bundle_default_opt_3,uitofp,1,1,1,0,0
public_v1,O1,bundle_default_opt_4,uitofp,1,1,1,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,uitofp,1,1,1,0,0
public_v1,O1,main_default_opt_1,freeze,2,8,8,0,0
public_v1,O1,main_default_opt_1,urem,2,8,8,0,0
public_v1,O1,main_default_opt_2,urem,2,8,8,0,0
public_v1,O1,bundle_default_opt_3,freeze,2,6,6,0,0
public_v1,O1,bundle_default_opt_3,urem,2,8,8,0,0
public_v1,O1,bundle_default_opt_4,freeze,2,6,6,0,0
public_v1,O1,bundle_default_opt_4,urem,2,8,8,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,freeze,2,6,6,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,urem,2,8,8,0,0
public_v1,O2,main_default_opt_1,add,40,12108,8220,-3888,40
public_v1,O2,main_default_opt_1,alloca,40,315,160,-155,36
public_v1,O2,main_default_opt_1,and,40,4879,3617,-1262,40
public_v1,O2,main_default_opt_1,br,40,3406,3235,-171,38
public_v1,O2,main_default_opt_1,call,40,1591,987,-604,40
public_v1,O2,main_default_opt_1,extractvalue,39,2702,1056,-1646,39
public_v1,O2,main_default_opt_1,getelementptr,40,17106,9338,-7768,40
public_v1,O2,main_default_opt_1,icmp,40,8037,6707,-1330,40
public_v1,O2,main_default_opt_1,insertvalue,39,2648,401,-2247,39
public_v1,O2,main_default_opt_1,inttoptr,39,2138,1961,-177,31
public_v1,O2,main_default_opt_1,load,40,9540,7748,-1792,40
public_v1,O2,main_default_opt_1,lshr,35,905,245,-660,30
public_v1,O2,main_default_opt_1,mul,40,1230,1186,-44,27
public_v1,O2,main_default_opt_1,or,40,3106,2743,-363,38
public_v1,O2,main_default_opt_1,phi,40,1867,2045,178,40
public_v1,O2,main_default_opt_1,ptrtoint,40,535,361,-174,39
public_v1,O2,main_default_opt_1,ret,40,288,172,-116,40
public_v1,O2,main_default_opt_1,select,40,5641,5205,-436,36
public_v1,O2,main_default_opt_1,sext,36,1074,954,-120,29
public_v1,O2,main_default_opt_1,shl,34,802,756,-46,20
public_v1,O2,main_default_opt_1,store,40,13849,10359,-3490,40
public_v1,O2,main_default_opt_1,sub,37,3547,644,-2903,37
public_v1,O2,main_default_opt_1,switch,27,154,90,-64,24
public_v1,O2,main_default_opt_1,trunc,40,1828,897,-931,39
public_v1,O2,main_default_opt_1,xor,40,2951,2124,-827,38
public_v1,O2,main_default_opt_1,zext,40,5408,4080,-1328,39
public_v1,O2,main_default_opt_2,add,40,7250,7151,-99,25
public_v1,O2,main_default_opt_2,alloca,39,156,152,-4,4
public_v1,O2,main_default_opt_2,and,40,3684,2437,-1247,37
public_v1,O2,main_default_opt_2,br,39,3206,3152,-54,24
public_v1,O2,main_default_opt_2,call,40,924,839,-85,26
public_v1,O2,main_default_opt_2,getelementptr,40,8741,8387,-354,37
public_v1,O2,main_default_opt_2,icmp,39,6251,5798,-453,27
public_v1,O2,main_default_opt_2,inttoptr,35,1785,1724,-61,15
public_v1,O2,main_default_opt_2,load,40,6681,6662,-19,25
public_v1,O2,main_default_opt_2,mul,36,901,889,-12,9
public_v1,O2,main_default_opt_2,phi,39,1740,1654,-86,22
public_v1,O2,main_default_opt_2,ptrtoint,36,340,247,-93,25
public_v1,O2,main_default_opt_2,ret,40,166,160,-6,5
public_v1,O2,main_default_opt_2,select,38,4851,4695,-156,24
public_v1,O2,main_default_opt_2,sext,34,940,931,-9,12
public_v1,O2,main_default_opt_2,shl,34,756,756,0,10
public_v1,O2,main_default_opt_2,store,40,9255,9370,115,33
public_v1,O2,main_default_opt_2,sub,35,869,599,-270,21
public_v1,O2,main_default_opt_2,switch,27,90,91,1,1
public_v1,O2,main_default_opt_2,trunc,37,817,751,-66,25
public_v1,O2,main_default_opt_2,xor,36,1502,1435,-67,21
public_v1,O2,main_default_opt_2,zext,39,2950,2826,-124,30
