dataset,level,boundary,n,valid_replays,metric_n,mean_functions_before,mean_functions_after,total_functions_delta,cases_functions_changed,mean_blocks_before,mean_blocks_after,total_blocks_delta,cases_blocks_changed,mean_instructions_before,mean_instructions_after,total_instructions_delta,cases_instructions_changed,mean_conditional_branches_before,mean_conditional_branches_after,total_conditional_branches_delta,cases_conditional_branches_changed,mean_calls_before,mean_calls_after,total_calls_delta,cases_calls_changed,mean_direct_calls_before,mean_direct_calls_after,total_direct_calls_delta,cases_direct_calls_changed,mean_indirect_calls_before,mean_indirect_calls_after,total_indirect_calls_delta,cases_indirect_calls_changed,mean_intrinsics_before,mean_intrinsics_after,total_intrinsics_delta,cases_intrinsics_changed,mean_allocas_before,mean_allocas_after,total_allocas_delta,cases_allocas_changed,mean_loads_before,mean_loads_after,total_loads_delta,cases_loads_changed,mean_stores_before,mean_stores_after,total_stores_delta,cases_stores_changed,mean_geps_before,mean_geps_after,total_geps_delta,cases_geps_changed,mean_phis_before,mean_phis_after,total_phis_delta,cases_phis_changed,mean_selects_before,mean_selects_after,total_selects_delta,cases_selects_changed,mean_switches_before,mean_switches_after,total_switches_delta,cases_switches_changed,mean_unreachable_before,mean_unreachable_after,total_unreachable_delta,cases_unreachable_changed,mean_memory_ops_before,mean_memory_ops_after,total_memory_ops_delta,cases_memory_ops_changed,mean_scalar_cleanup_ops_before,mean_scalar_cleanup_ops_after,total_scalar_cleanup_ops_delta,cases_scalar_cleanup_ops_changed,mean_vector_instructions_before,mean_vector_instructions_after,total_vector_instructions_delta,cases_vector_instructions_changed
public_v1,O1,main_default_opt_1,40,39,39,7.0256410256410255,4.256410256410256,-108,39,100.41025641025641,90.94871794871794,-369,39,2682.7179487179487,2026.4102564102564,-25596,39,17.28205128205128,13.35897435897436,-153,34,38.87179487179487,24.692307692307693,-553,39,38.87179487179487,24.692307692307693,-553,39,0.0,0.0,0,0,19.615384615384617,8.64102564102564,-428,38,7.666666666666667,3.948717948717949,-145,35,238.7948717948718,207.46153846153845,-1222,39,346.1025641025641,298.2307692307692,-1867,38,419.6666666666667,266.12820512820514,-5988,39,46.69230769230769,44.1025641025641,-101,36,138.35897435897436,131.94871794871796,-250,30,3.923076923076923,2.3076923076923075,-63,24,1.7435897435897436,1.6666666666666667,-3,2,1012.2307692307693,775.7692307692307,-9222,39,658.2820512820513,554.1794871794872,-4060,39,0.0,0.0,0,0
public_v1,O1,main_default_opt_2,40,39,39,4.102564102564102,3.9743589743589745,-5,5,90.17948717948718,88.28205128205128,-74,22,1895.4102564102564,1676.3846153846155,-8542,39,13.23076923076923,13.179487179487179,-2,12,23.487179487179485,21.487179487179485,-78,22,23.487179487179485,21.487179487179485,-78,22,0.0,0.0,0,0,7.384615384615385,5.82051282051282,-61,18,4.051282051282051,3.948717948717949,-4,4,183.23076923076923,173.6153846153846,-375,30,270.43589743589746,256.6923076923077,-536,31,259.53846153846155,216.6153846153846,-1674,36,37.64102564102564,37.282051282051285,-14,29,130.94871794871796,124.97435897435898,-233,28,2.3076923076923075,2.3076923076923075,0,2,1.6666666666666667,1.564102564102564,-4,2,717.2564102564103,650.8717948717949,-2589,37,511.05128205128204,482.20512820512823,-1125,37,0.0,0.0,0,0
public_v1,O1,bundle_default_opt_3,40,40,40,5.225,5.15,-3,3,89.55,88.45,-44,20,1239.075,1124.625,-4578,34,13.325,13.625,12,15,59.825,59.625,-8,10,59.825,59.625,-8,10,0.0,0.0,0,0,5.575,5.625,2,4,3.925,3.9,-1,1,165.3,156.25,-362,23,243.525,227.85,-627,22,116.55,108.35,-328,27,36.05,34.5,-62,27,24.0,24.05,2,11,2.225,2.2,-1,1,1.975,1.95,-1,1,529.3,496.35,-1318,31,247.325,220.25,-1083,31,0.0,0.0,0,0
public_v1,O1,bundle_default_opt_4,40,40,40,5.15,5.075,-3,3,88.45,88.65,8,5,1124.625,1111.725,-516,24,13.625,13.975,14,4,59.625,59.35,-11,3,59.625,59.35,-11,3,0.0,0.0,0,0,5.625,5.625,0,0,3.9,3.9,0,0,156.25,156.4,6,10,227.85,231.175,133,5,108.35,102.325,-241,22,34.5,34.55,2,8,24.05,23.8,-10,4,2.2,2.225,1,1,1.95,2.0,2,1,496.35,493.8,-102,23,220.25,218.375,-75,8,0.0,0.0,0,0
public_v1,O1,bundle_post_opt_4_custom_cleanup,40,40,40,5.075,4.95,-5,6,88.65,87.85,-32,19,1111.725,1069.475,-1690,36,13.975,13.775,-8,5,59.35,59.2,-6,6,59.35,59.2,-6,6,0.0,0.0,0,0,5.625,5.625,0,0,3.9,4.0,4,2,156.4,149.95,-258,34,231.175,199.05,-1285,32,102.325,97.125,-208,21,34.55,40.8,250,31,23.8,21.325,-99,25,2.225,2.225,0,0,2.0,2.0,0,0,493.8,450.125,-1747,35,218.375,221.65,131,30,0.0,0.0,0,0
public_v1,O2,main_default_opt_1,40,40,40,7.125,4.225,-116,40,100.075,89.075,-440,40,2703.35,1893.275,-32403,40,17.5,13.975,-141,37,39.775,24.675,-604,40,39.775,24.675,-604,40,0.0,0.0,0,0,20.0,8.675,-453,40,7.875,4.0,-155,36,238.5,193.7,-1792,40,346.225,258.975,-3490,40,427.65,233.45,-7768,40,46.675,51.125,178,40,141.025,130.125,-436,36,3.85,2.25,-64,24,2.15,1.925,-9,5,1020.25,690.125,-13205,40,665.325,557.15,-4327,40,0.0,0.0,0,0
public_v1,O2,main_default_opt_2,40,40,40,4.075,3.925,-6,5,88.05,86.475,-63,25,1714.325,1607.025,-4292,40,13.825,13.95,5,17,23.1,20.975,-85,26,23.1,20.975,-85,26,0.0,0.0,0,0,7.05,5.35,-68,16,3.9,3.8,-4,4,167.025,166.55,-19,25,231.375,234.25,115,33,218.525,209.675,-354,37,43.5,41.35,-86,22,121.275,117.375,-156,24,2.25,2.275,1,1,1.925,1.85,-3,2,620.825,614.275,-262,38,493.625,467.425,-1048,37,0.0,0.0,0,0
public_v1,O2,bundle_default_opt_3,40,40,40,5.1,4.975,-5,5,87.925,87.05,-35,18,1204.55,1085.925,-4745,31,13.675,13.95,11,13,58.55,58.525,-1,13,58.55,58.525,-1,13,0.0,0.0,0,0,5.0,5.125,5,2,3.7,3.7,0,0,161.8,152.775,-361,22,223.7,203.725,-799,26,113.7,102.25,-458,28,39.825,38.875,-38,23,22.475,22.5,1,14,2.225,2.225,0,0,1.85,1.9,2,1,502.9,462.45,-1618,31,247.275,222.7,-983,29,0.0,0.0,0,0
public_v1,O2,bundle_default_opt_4,40,40,40,4.975,4.925,-2,2,87.05,86.6,-18,6,1085.925,1070.75,-607,23,13.95,14.025,3,2,58.525,58.425,-4,3,58.525,58.425,-4,3,0.0,0.0,0,0,5.125,5.1,-1,1,3.7,3.7,0,0,152.775,151.775,-40,10,203.725,203.9,7,6,102.25,98.075,-167,18,38.875,38.4,-19,6,22.5,22.6,4,2,2.225,2.25,1,1,1.9,1.9,0,0,462.45,457.45,-200,20,222.7,219.925,-111,9,0.0,0.0,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,40,40,40,4.925,4.875,-2,8,86.6,86.6,0,9,1070.75,1058.3,-498,16,14.025,14.025,0,0,58.425,58.325,-4,5,58.425,58.325,-4,5,0.0,0.0,0,0,5.1,5.1,0,0,3.7,3.825,5,1,151.775,150.025,-70,7,203.9,201.075,-113,4,98.075,95.525,-102,10,38.4,38.95,22,6,22.6,21.0,-64,6,2.25,2.25,0,0,1.9,1.9,0,0,457.45,450.45,-280,13,219.925,216.8,-125,11,0.0,0.0,0,0
