dataset,level,sample_id,transition,pure_default_optimizer_boundary,opcode,before,after,delta
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,add,50,23,-27
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,alloca,0,1,1
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,and,133,17,-116
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,ashr,24,0,-24
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,br,78,30,-48
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,call,34,12,-22
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,getelementptr,5,39,34
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,icmp,75,22,-53
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,inttoptr,45,8,-37
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,load,73,64,-9
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,lshr,24,10,-14
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,mul,26,3,-23
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,or,10,1,-9
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,phi,2,37,35
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,ptrtoint,0,2,2
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,ret,26,9,-17
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,select,9,10,1
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,sext,3,1,-2
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,shl,31,4,-27
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,store,181,322,141
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,sub,68,0,-68
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,switch,0,1,1
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,trunc,139,12,-127
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,unreachable,3,0,-3
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,xor,43,18,-25
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,False,zext,119,23,-96
own_v1,O1,h00001,bundle_exact_pointer_passes,False,add,23,22,-1
own_v1,O1,h00001,bundle_exact_pointer_passes,False,alloca,1,1,0
