dataset,level,transition,pure_default_optimizer_boundary,opcode,total_before,total_after,total_delta,cases_changed
own_v1,O1,main_combined_custom_plus_opt_1_2,False,add,2818,1558,-1260,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,alloca,0,110,110,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,and,5154,808,-4346,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,ashr,1072,11,-1061,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,br,3804,1433,-2371,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,call,1684,593,-1091,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,getelementptr,207,2268,2061,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,icmp,3887,1040,-2847,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,inttoptr,2475,582,-1893,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,load,3643,3474,-169,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,lshr,1372,350,-1022,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,mul,1219,136,-1083,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,or,244,74,-170,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,phi,99,1044,945,34
own_v1,O1,main_combined_custom_plus_opt_1_2,False,ptrtoint,0,148,148,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,ret,1084,252,-832,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,select,484,628,144,38
own_v1,O1,main_combined_custom_plus_opt_1_2,False,sext,245,172,-73,32
own_v1,O1,main_combined_custom_plus_opt_1_2,False,shl,1416,358,-1058,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,store,9650,15627,5977,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,sub,3783,45,-3738,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,switch,6,73,67,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,trunc,5903,452,-5451,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,unreachable,148,5,-143,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,xor,2474,813,-1661,40
own_v1,O1,main_combined_custom_plus_opt_1_2,False,zext,4866,926,-3940,40
own_v1,O1,bundle_exact_pointer_passes,False,add,1558,1533,-25,14
own_v1,O1,bundle_exact_pointer_passes,False,alloca,110,110,0,0
own_v1,O1,bundle_exact_pointer_passes,False,and,808,782,-26,8
own_v1,O1,bundle_exact_pointer_passes,False,br,1433,1433,0,0
own_v1,O1,bundle_exact_pointer_passes,False,call,593,593,0,0
own_v1,O1,bundle_exact_pointer_passes,False,getelementptr,2268,2271,3,7
own_v1,O1,bundle_exact_pointer_passes,False,icmp,1040,1040,0,0
own_v1,O1,bundle_exact_pointer_passes,False,inttoptr,582,582,0,0
own_v1,O1,bundle_exact_pointer_passes,False,load,3474,3467,-7,5
own_v1,O1,bundle_exact_pointer_passes,False,lshr,350,350,0,0
own_v1,O1,bundle_exact_pointer_passes,False,mul,136,136,0,0
own_v1,O1,bundle_exact_pointer_passes,False,or,74,74,0,0
own_v1,O1,bundle_exact_pointer_passes,False,phi,1044,937,-107,18
own_v1,O1,bundle_exact_pointer_passes,False,ptrtoint,148,138,-10,8
own_v1,O1,bundle_exact_pointer_passes,False,ret,252,252,0,0
own_v1,O1,bundle_exact_pointer_passes,False,select,628,628,0,0
own_v1,O1,bundle_exact_pointer_passes,False,sext,172,141,-31,11
own_v1,O1,bundle_exact_pointer_passes,False,shl,358,355,-3,2
own_v1,O1,bundle_exact_pointer_passes,False,store,15627,15625,-2,2
own_v1,O1,bundle_exact_pointer_passes,False,switch,73,73,0,0
own_v1,O1,bundle_exact_pointer_passes,False,trunc,452,450,-2,2
own_v1,O1,bundle_exact_pointer_passes,False,xor,813,813,0,0
own_v1,O1,bundle_exact_pointer_passes,False,zext,926,783,-143,22
own_v1,O1,llvm_default_opt_boundary_3,True,add,1533,1515,-18,5
own_v1,O1,llvm_default_opt_boundary_3,True,alloca,110,110,0,0
own_v1,O1,llvm_default_opt_boundary_3,True,and,782,759,-23,4
own_v1,O1,llvm_default_opt_boundary_3,True,br,1433,1433,0,0
own_v1,O1,llvm_default_opt_boundary_3,True,call,593,588,-5,7
own_v1,O1,llvm_default_opt_boundary_3,True,getelementptr,2271,1871,-400,16
own_v1,O1,llvm_default_opt_boundary_3,True,icmp,1040,1038,-2,1
own_v1,O1,llvm_default_opt_boundary_3,True,inttoptr,582,580,-2,2
own_v1,O1,llvm_default_opt_boundary_3,True,load,3467,2768,-699,27
own_v1,O1,llvm_default_opt_boundary_3,True,lshr,350,350,0,0
own_v1,O1,llvm_default_opt_boundary_3,True,mul,136,136,0,0
own_v1,O1,llvm_default_opt_boundary_3,True,or,74,56,-18,2
own_v1,O1,llvm_default_opt_boundary_3,True,phi,937,918,-19,10
own_v1,O1,llvm_default_opt_boundary_3,True,ptrtoint,138,126,-12,9
own_v1,O1,llvm_default_opt_boundary_3,True,ret,252,251,-1,1
own_v1,O1,llvm_default_opt_boundary_3,True,select,628,626,-2,1
own_v1,O1,llvm_default_opt_boundary_3,True,shl,355,354,-1,1
own_v1,O1,llvm_default_opt_boundary_3,True,store,15625,14352,-1273,27
own_v1,O1,llvm_default_opt_boundary_3,True,switch,73,73,0,0
own_v1,O1,llvm_default_opt_boundary_3,True,trunc,450,449,-1,1
own_v1,O1,llvm_default_opt_boundary_3,True,xor,813,813,0,0
own_v1,O1,llvm_default_opt_boundary_3,True,zext,783,776,-7,3
own_v1,O1,custom_storage_delift,False,add,1515,1515,0,0
own_v1,O1,custom_storage_delift,False,alloca,110,110,0,0
own_v1,O1,custom_storage_delift,False,and,759,759,0,0
own_v1,O1,custom_storage_delift,False,br,1433,1433,0,0
own_v1,O1,custom_storage_delift,False,call,588,588,0,0
own_v1,O1,custom_storage_delift,False,getelementptr,1871,1871,0,0
own_v1,O1,custom_storage_delift,False,icmp,1038,1038,0,0
