dataset,level,sample_id,stage,functions,blocks,instructions,conditional_branches,calls,direct_calls,indirect_calls,intrinsics,allocas,loads,stores,geps,phis,selects,switches,unreachable,memory_ops,scalar_cleanup_ops,vector_instructions,structural_sha256
own_v1,O1,h00001,raw_lift,26,113,1201,41,34,29,5,7,0,73,181,5,2,9,0,3,259,392,0,2dd13e26d3b04779ff2e03c5679c1ad413196b65477044687a2135a685d65c8d
own_v1,O1,h00001,brightened_main,9,44,669,4,12,10,2,4,1,64,322,39,37,10,1,0,426,115,0,aed4220576f5f0245c776e2a1f25872942ad9a5350b32cbb844d6ef1ea7e35f4
own_v1,O1,h00001,bundle_verified_input,9,44,669,4,12,10,2,4,1,64,322,39,37,10,1,0,426,115,0,7514a0462ab4725d617e6ee9e63d746f3b5c4dc9bded092dab34327239c8b11d
own_v1,O1,h00001,bundle_pointer_opt,9,44,646,4,12,10,2,4,1,64,322,39,28,10,1,0,426,94,0,9ddf06a7d63c6097673fd46c7b074dce5cf404f8c0ba5908123b97832671e56d
own_v1,O1,h00001,bundle_standard_opt_3,9,44,620,4,12,10,2,4,1,54,306,39,28,10,1,0,400,94,0,c202d03b03838f7b07079d8d1c3dd468cd40ba79e31d54b04f6ad907b857228b
own_v1,O1,h00001,bundle_storage_delift,9,44,620,4,12,10,2,4,1,54,306,39,28,10,1,0,400,94,0,c202d03b03838f7b07079d8d1c3dd468cd40ba79e31d54b04f6ad907b857228b
own_v1,O1,h00001,bundle_residual_strip,9,44,620,4,12,10,2,4,1,54,306,39,28,10,1,0,400,94,0,c202d03b03838f7b07079d8d1c3dd468cd40ba79e31d54b04f6ad907b857228b
own_v1,O1,h00001,final_clean,9,44,574,4,12,10,2,4,1,54,260,39,28,10,1,0,354,94,0,7dc657462d364ac7f6baa406a0ab27707978b5965481562e97ee53b71fb459df
own_v1,O1,h00002,raw_lift,26,112,1212,41,39,34,5,10,0,70,203,5,2,9,0,4,278,363,0,60acc388592260aced217587660b1d4132385efd4f58035b0677a605e3c2c0b8
own_v1,O1,h00002,brightened_main,2,26,222,2,9,9,0,5,4,22,37,53,3,10,1,1,116,37,0,4c6405f4a13814b63cdaa79cc88e30c7312e821b7ae217b1deaa70e4aaf4d370
own_v1,O1,h00002,bundle_verified_input,2,26,222,2,9,9,0,5,4,22,37,53,3,10,1,1,116,37,0,818a78fd85b6fd6b06e693909f89ec1569d0b5538ca9857c7da84cd9846f2eff
own_v1,O1,h00002,bundle_pointer_opt,2,26,222,2,9,9,0,5,4,22,37,53,3,10,1,1,116,37,0,bcda0958696489d168d268ff0c96cb8e52f117976d7b1386f8e949b295143ba9
own_v1,O1,h00002,bundle_standard_opt_3,2,26,199,2,9,9,0,5,4,22,37,30,3,10,1,1,93,37,0,8cbb8f6d197367b81616c432d2d65e76ff2c0526430ea287e0e6517d17b79fa5
own_v1,O1,h00002,bundle_storage_delift,2,26,199,2,9,9,0,5,4,22,37,30,3,10,1,1,93,37,0,8cbb8f6d197367b81616c432d2d65e76ff2c0526430ea287e0e6517d17b79fa5
own_v1,O1,h00002,bundle_residual_strip,2,26,199,2,9,9,0,5,4,22,37,30,3,10,1,1,93,37,0,8cbb8f6d197367b81616c432d2d65e76ff2c0526430ea287e0e6517d17b79fa5
own_v1,O1,h00002,final_clean,1,25,198,2,9,9,0,5,4,21,37,30,4,10,1,1,92,38,0,428e132d2288fc88a142b55ce3783b0e67ff7d538f8bdfe5c9572b027da5ca34
own_v1,O1,h00003,raw_lift,26,123,1288,46,40,35,5,11,0,81,226,5,2,12,0,3,312,397,0,1106b42c668a433454c61ff9c3cfb63e43a4d5dc233da43df191a7e3ab8d05b0
own_v1,O1,h00003,brightened_main,2,34,231,1,5,5,0,1,2,30,54,52,2,11,1,0,138,31,0,92a02d90f14d9d0d8b0f790da81dd216ba671ca31a11e771c3e41fe8ca2d580e
own_v1,O1,h00003,bundle_verified_input,2,34,231,1,5,5,0,1,2,30,54,52,2,11,1,0,138,31,0,5d0d878bc7caf49641155687e38b3447731491039db238e56f2c6d61dd8a4059
own_v1,O1,h00003,bundle_pointer_opt,2,34,231,1,5,5,0,1,2,30,54,52,2,11,1,0,138,31,0,9275cf1c21bcaa62dbf58e224fa4f13562c752a397c824bfefec3bce39bfe538
own_v1,O1,h00003,bundle_standard_opt_3,2,34,202,1,5,5,0,1,2,30,54,23,2,11,1,0,109,31,0,a318f416c01ac1f0c13fc2b96dfc457820798f0c58234a60a86807ba73be760d
own_v1,O1,h00003,bundle_storage_delift,2,34,202,1,5,5,0,1,2,30,54,23,2,11,1,0,109,31,0,a318f416c01ac1f0c13fc2b96dfc457820798f0c58234a60a86807ba73be760d
own_v1,O1,h00003,bundle_residual_strip,2,34,202,1,5,5,0,1,2,30,54,23,2,11,1,0,109,31,0,a318f416c01ac1f0c13fc2b96dfc457820798f0c58234a60a86807ba73be760d
own_v1,O1,h00003,final_clean,1,33,201,1,5,5,0,1,2,30,54,23,2,11,1,0,109,31,0,8fa64b62a2fdabe0ca33bfb6a537c07e705a61cd4f3de157152b4386ccf6e470
own_v1,O1,h00004,raw_lift,28,106,1472,37,56,51,5,21,0,93,316,5,6,10,2,3,414,432,0,2b73e73c8937393feebdb35b1b2e7c6973d02a5d4990d8eaea9048015ba1899a
own_v1,O1,h00004,brightened_main,10,40,1131,4,33,31,2,14,5,133,520,77,33,20,1,0,735,179,0,73586b54df6c383700bbc6952c513c2a8c36c5a05ea3c3605ce677097c2cf89c
own_v1,O1,h00004,bundle_verified_input,10,40,1131,4,33,31,2,14,5,133,520,77,33,20,1,0,735,179,0,f88dbbec9a0ab07ff4e31f59ea69f99a006ed12e5ec067feb5ad2df50cb24edf
own_v1,O1,h00004,bundle_pointer_opt,10,40,1127,4,33,31,2,14,5,133,520,77,33,20,1,0,735,175,0,9f3c10824de081c7416cc303c7a289522c7690b480b4cc6511d811a2ac6e1b23
own_v1,O1,h00004,bundle_standard_opt_3,10,40,1033,4,31,29,2,14,5,97,466,77,33,20,1,0,645,173,0,b649e7e732527a721b30771b667bc0fbaf167466ae6f7a108236a520c133b989
own_v1,O1,h00004,bundle_storage_delift,10,40,1033,4,31,29,2,14,5,97,466,77,33,20,1,0,645,173,0,b649e7e732527a721b30771b667bc0fbaf167466ae6f7a108236a520c133b989
own_v1,O1,h00004,bundle_residual_strip,10,40,1033,4,31,29,2,14,5,97,466,77,33,20,1,0,645,173,0,b649e7e732527a721b30771b667bc0fbaf167466ae6f7a108236a520c133b989
own_v1,O1,h00004,final_clean,10,40,964,4,30,28,2,13,5,97,407,77,33,20,1,0,586,170,0,e754adb72d047eaf7831fddcc50b498a7cd5cbbbe9858f6e7daa5e3c80ab6f26
own_v1,O1,h00005,raw_lift,28,97,1082,32,42,37,5,11,0,73,205,5,2,6,0,3,283,318,0,bd23d2e4be7fdf498bf9999d814484f8a269ad6da06c0e7316a72f66e30960a4
own_v1,O1,h00005,brightened_main,9,35,715,4,14,12,2,4,1,81,364,35,37,7,1,0,481,113,0,8e8df4f4d9d188079301ae0b881babbc92e43ce1c311f2b3dccffc02f0a9315e
own_v1,O1,h00005,bundle_verified_input,9,35,715,4,14,12,2,4,1,81,364,35,37,7,1,0,481,113,0,7e68ce9db132601d18dfd8f795ca537922ba6adf3ee50f24ec49fe0e4a65c651
own_v1,O1,h00005,bundle_pointer_opt,9,35,706,4,14,12,2,4,1,81,364,35,32,7,1,0,481,105,0,39b93fe48c6b62f59c18167356d2cd8e0c53d6c9faf71324fa075b51569dd927
