dataset,level,sample_id,transition,before_stage,after_stage,pure_default_optimizer_boundary,functions_before,functions_after,functions_delta,functions_delta_ratio,blocks_before,blocks_after,blocks_delta,blocks_delta_ratio,instructions_before,instructions_after,instructions_delta,instructions_delta_ratio,conditional_branches_before,conditional_branches_after,conditional_branches_delta,conditional_branches_delta_ratio,calls_before,calls_after,calls_delta,calls_delta_ratio,direct_calls_before,direct_calls_after,direct_calls_delta,direct_calls_delta_ratio,indirect_calls_before,indirect_calls_after,indirect_calls_delta,indirect_calls_delta_ratio,intrinsics_before,intrinsics_after,intrinsics_delta,intrinsics_delta_ratio,allocas_before,allocas_after,allocas_delta,allocas_delta_ratio,loads_before,loads_after,loads_delta,loads_delta_ratio,stores_before,stores_after,stores_delta,stores_delta_ratio,geps_before,geps_after,geps_delta,geps_delta_ratio,phis_before,phis_after,phis_delta,phis_delta_ratio,selects_before,selects_after,selects_delta,selects_delta_ratio,switches_before,switches_after,switches_delta,switches_delta_ratio,unreachable_before,unreachable_after,unreachable_delta,unreachable_delta_ratio,memory_ops_before,memory_ops_after,memory_ops_delta,memory_ops_delta_ratio,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,scalar_cleanup_ops_delta_ratio,vector_instructions_before,vector_instructions_after,vector_instructions_delta,vector_instructions_delta_ratio
own_v1,O1,h00001,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,26,9,-17,-0.6538461538461539,113,44,-69,-0.6106194690265486,1201,669,-532,-0.44296419650291424,41,4,-37,-0.9024390243902439,34,12,-22,-0.6470588235294118,29,10,-19,-0.6551724137931034,5,2,-3,-0.6,7,4,-3,-0.42857142857142855,0,1,1,,73,64,-9,-0.1232876712328767,181,322,141,0.7790055248618785,5,39,34,6.8,2,37,35,17.5,9,10,1,0.1111111111111111,0,1,1,,3,0,-3,-1.0,259,426,167,0.6447876447876448,392,115,-277,-0.7066326530612245,0,0,0,
own_v1,O1,h00001,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,9,9,0,0.0,44,44,0,0.0,669,646,-23,-0.0343796711509716,4,4,0,0.0,12,12,0,0.0,10,10,0,0.0,2,2,0,0.0,4,4,0,0.0,1,1,0,0.0,64,64,0,0.0,322,322,0,0.0,39,39,0,0.0,37,28,-9,-0.24324324324324326,10,10,0,0.0,1,1,0,0.0,0,0,0,,426,426,0,0.0,115,94,-21,-0.1826086956521739,0,0,0,
own_v1,O1,h00001,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,9,9,0,0.0,44,44,0,0.0,646,620,-26,-0.04024767801857585,4,4,0,0.0,12,12,0,0.0,10,10,0,0.0,2,2,0,0.0,4,4,0,0.0,1,1,0,0.0,64,54,-10,-0.15625,322,306,-16,-0.049689440993788817,39,39,0,0.0,28,28,0,0.0,10,10,0,0.0,1,1,0,0.0,0,0,0,,426,400,-26,-0.06103286384976526,94,94,0,0.0,0,0,0,
own_v1,O1,h00001,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,9,9,0,0.0,44,44,0,0.0,620,620,0,0.0,4,4,0,0.0,12,12,0,0.0,10,10,0,0.0,2,2,0,0.0,4,4,0,0.0,1,1,0,0.0,54,54,0,0.0,306,306,0,0.0,39,39,0,0.0,28,28,0,0.0,10,10,0,0.0,1,1,0,0.0,0,0,0,,400,400,0,0.0,94,94,0,0.0,0,0,0,
own_v1,O1,h00001,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,9,9,0,0.0,44,44,0,0.0,620,620,0,0.0,4,4,0,0.0,12,12,0,0.0,10,10,0,0.0,2,2,0,0.0,4,4,0,0.0,1,1,0,0.0,54,54,0,0.0,306,306,0,0.0,39,39,0,0.0,28,28,0,0.0,10,10,0,0.0,1,1,0,0.0,0,0,0,,400,400,0,0.0,94,94,0,0.0,0,0,0,
own_v1,O1,h00001,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,9,9,0,0.0,44,44,0,0.0,620,574,-46,-0.07419354838709677,4,4,0,0.0,12,12,0,0.0,10,10,0,0.0,2,2,0,0.0,4,4,0,0.0,1,1,0,0.0,54,54,0,0.0,306,260,-46,-0.1503267973856209,39,39,0,0.0,28,28,0,0.0,10,10,0,0.0,1,1,0,0.0,0,0,0,,400,354,-46,-0.115,94,94,0,0.0,0,0,0,
own_v1,O1,h00002,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,26,2,-24,-0.9230769230769231,112,26,-86,-0.7678571428571429,1212,222,-990,-0.8168316831683168,41,2,-39,-0.9512195121951219,39,9,-30,-0.7692307692307693,34,9,-25,-0.7352941176470589,5,0,-5,-1.0,10,5,-5,-0.5,0,4,4,,70,22,-48,-0.6857142857142857,203,37,-166,-0.8177339901477833,5,53,48,9.6,2,3,1,0.5,9,10,1,0.1111111111111111,0,1,1,,4,1,-3,-0.75,278,116,-162,-0.5827338129496403,363,37,-326,-0.8980716253443526,0,0,0,
own_v1,O1,h00002,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,2,2,0,0.0,26,26,0,0.0,222,222,0,0.0,2,2,0,0.0,9,9,0,0.0,9,9,0,0.0,0,0,0,,5,5,0,0.0,4,4,0,0.0,22,22,0,0.0,37,37,0,0.0,53,53,0,0.0,3,3,0,0.0,10,10,0,0.0,1,1,0,0.0,1,1,0,0.0,116,116,0,0.0,37,37,0,0.0,0,0,0,
own_v1,O1,h00002,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,2,2,0,0.0,26,26,0,0.0,222,199,-23,-0.1036036036036036,2,2,0,0.0,9,9,0,0.0,9,9,0,0.0,0,0,0,,5,5,0,0.0,4,4,0,0.0,22,22,0,0.0,37,37,0,0.0,53,30,-23,-0.4339622641509434,3,3,0,0.0,10,10,0,0.0,1,1,0,0.0,1,1,0,0.0,116,93,-23,-0.19827586206896552,37,37,0,0.0,0,0,0,
own_v1,O1,h00002,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,2,2,0,0.0,26,26,0,0.0,199,199,0,0.0,2,2,0,0.0,9,9,0,0.0,9,9,0,0.0,0,0,0,,5,5,0,0.0,4,4,0,0.0,22,22,0,0.0,37,37,0,0.0,30,30,0,0.0,3,3,0,0.0,10,10,0,0.0,1,1,0,0.0,1,1,0,0.0,93,93,0,0.0,37,37,0,0.0,0,0,0,
own_v1,O1,h00002,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,2,2,0,0.0,26,26,0,0.0,199,199,0,0.0,2,2,0,0.0,9,9,0,0.0,9,9,0,0.0,0,0,0,,5,5,0,0.0,4,4,0,0.0,22,22,0,0.0,37,37,0,0.0,30,30,0,0.0,3,3,0,0.0,10,10,0,0.0,1,1,0,0.0,1,1,0,0.0,93,93,0,0.0,37,37,0,0.0,0,0,0,
own_v1,O1,h00002,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,2,1,-1,-0.5,26,25,-1,-0.038461538461538464,199,198,-1,-0.005025125628140704,2,2,0,0.0,9,9,0,0.0,9,9,0,0.0,0,0,0,,5,5,0,0.0,4,4,0,0.0,22,21,-1,-0.045454545454545456,37,37,0,0.0,30,30,0,0.0,3,4,1,0.3333333333333333,10,10,0,0.0,1,1,0,0.0,1,1,0,0.0,93,92,-1,-0.010752688172043012,37,38,1,0.02702702702702703,0,0,0,
