dataset,level,transition,n,pure_default_optimizer_boundary,mean_functions_before,mean_functions_after,total_functions_delta,cases_functions_changed,mean_blocks_before,mean_blocks_after,total_blocks_delta,cases_blocks_changed,mean_instructions_before,mean_instructions_after,total_instructions_delta,cases_instructions_changed,mean_conditional_branches_before,mean_conditional_branches_after,total_conditional_branches_delta,cases_conditional_branches_changed,mean_calls_before,mean_calls_after,total_calls_delta,cases_calls_changed,mean_direct_calls_before,mean_direct_calls_after,total_direct_calls_delta,cases_direct_calls_changed,mean_indirect_calls_before,mean_indirect_calls_after,total_indirect_calls_delta,cases_indirect_calls_changed,mean_intrinsics_before,mean_intrinsics_after,total_intrinsics_delta,cases_intrinsics_changed,mean_allocas_before,mean_allocas_after,total_allocas_delta,cases_allocas_changed,mean_loads_before,mean_loads_after,total_loads_delta,cases_loads_changed,mean_stores_before,mean_stores_after,total_stores_delta,cases_stores_changed,mean_geps_before,mean_geps_after,total_geps_delta,cases_geps_changed,mean_phis_before,mean_phis_after,total_phis_delta,cases_phis_changed,mean_selects_before,mean_selects_after,total_selects_delta,cases_selects_changed,mean_switches_before,mean_switches_after,total_switches_delta,cases_switches_changed,mean_unreachable_before,mean_unreachable_after,total_unreachable_delta,cases_unreachable_changed,mean_memory_ops_before,mean_memory_ops_after,total_memory_ops_delta,cases_memory_ops_changed,mean_scalar_cleanup_ops_before,mean_scalar_cleanup_ops_after,total_scalar_cleanup_ops_delta,cases_scalar_cleanup_ops_changed,mean_vector_instructions_before,mean_vector_instructions_after,total_vector_instructions_delta,cases_vector_instructions_changed
own_v1,O1,main_combined_custom_plus_opt_1_2,40,False,27.1,6.225,-835,40,131.075,46.55,-3381,40,1444.575,825.25,-24773,40,49.8,4.2,-1824,40,42.1,14.825,-1091,40,37.05,13.625,-937,40,5.05,1.2,-154,40,11.075,5.875,-208,40,0.0,2.75,110,40,91.075,86.85,-169,40,241.25,390.675,5977,40,5.175,56.7,2061,40,2.475,26.1,945,34,12.1,15.7,144,38,0.15,1.825,67,40,3.7,0.125,-143,40,337.5,536.975,7979,40,449.05,124.8,-12970,40,0.0,0.0,0,0
own_v1,O1,bundle_exact_pointer_passes,40,False,6.225,6.225,0,0,46.55,46.55,0,0,825.25,816.425,-353,23,4.2,4.2,0,0,14.825,14.825,0,0,13.625,13.625,0,0,1.2,1.2,0,0,5.875,5.875,0,0,2.75,2.75,0,0,86.85,86.675,-7,5,390.675,390.625,-2,2,56.7,56.775,3,7,26.1,23.425,-107,18,15.7,15.7,0,0,1.825,1.825,0,0,0.125,0.125,0,0,536.975,536.825,-6,7,124.8,117.475,-293,23,0.0,0.0,0,0
own_v1,O1,llvm_default_opt_boundary_3,40,True,6.225,6.2,-1,1,46.55,46.5,-2,1,816.425,754.325,-2484,40,4.2,4.2,0,0,14.825,14.7,-5,7,13.625,13.5,-5,7,1.2,1.2,0,0,5.875,5.975,4,3,2.75,2.75,0,0,86.675,69.2,-699,27,390.625,358.8,-1273,27,56.775,46.775,-400,16,23.425,22.95,-19,10,15.7,15.65,-2,1,1.825,1.825,0,0,0.125,0.125,0,0,536.825,477.525,-2372,40,117.475,116.325,-46,15,0.0,0.0,0,0
own_v1,O1,custom_storage_delift,40,False,6.2,6.2,0,0,46.5,46.5,0,0,754.325,754.325,0,0,4.2,4.2,0,0,14.7,14.7,0,0,13.5,13.5,0,0,1.2,1.2,0,0,5.975,5.975,0,0,2.75,2.75,0,0,69.2,69.2,0,0,358.8,358.8,0,0,46.775,46.775,0,0,22.95,22.95,0,0,15.65,15.65,0,0,1.825,1.825,0,0,0.125,0.125,0,0,477.525,477.525,0,0,116.325,116.325,0,0,0.0,0.0,0,0
own_v1,O1,custom_residual_strip,40,False,6.2,6.2,0,0,46.5,46.5,0,0,754.325,754.325,0,0,4.2,4.2,0,0,14.7,14.7,0,0,13.5,13.5,0,0,1.2,1.2,0,0,5.975,5.975,0,0,2.75,2.75,0,0,69.2,69.2,0,0,358.8,358.8,0,0,46.775,46.775,0,0,22.95,22.95,0,0,15.65,15.65,0,0,1.825,1.825,0,0,0.125,0.125,0,0,477.525,477.525,0,0,116.325,116.325,0,0,0.0,0.0,0,0
own_v1,O1,final_tail_opt_4_plus_custom_cleanup,40,False,6.2,5.5,-28,18,46.5,44.45,-82,18,754.325,645.05,-4371,40,4.2,4.025,-7,2,14.7,13.975,-29,8,13.5,12.825,-27,8,1.2,1.15,-2,1,5.975,5.55,-17,7,2.75,2.725,-1,1,69.2,65.2,-160,12,358.8,272.525,-3451,27,46.775,45.625,-46,5,22.95,20.775,-87,8,15.65,15.375,-11,1,1.825,1.725,-4,1,0.125,0.1,-1,1,477.525,386.075,-3658,30,116.325,108.3,-321,17,0.0,0.0,0,0
own_v1,O2,main_combined_custom_plus_opt_1_2,40,False,27.1,6.225,-835,40,131.075,46.475,-3384,40,1444.575,794.875,-25988,40,49.8,4.2,-1824,40,42.1,14.825,-1091,40,37.05,13.625,-937,40,5.05,1.2,-154,40,11.075,5.875,-208,40,0.0,2.75,110,40,91.075,86.3,-191,40,241.25,373.05,5272,40,5.175,47.325,1686,40,2.475,25.625,926,34,12.1,15.7,144,38,0.15,1.825,67,40,3.7,0.125,-143,40,337.5,509.425,6877,40,449.05,122.9,-13046,40,0.0,0.0,0,0
own_v1,O2,bundle_exact_pointer_passes,40,False,6.225,6.225,0,0,46.475,46.475,0,0,794.875,785.625,-370,24,4.2,4.2,0,0,14.825,14.825,0,0,13.625,13.625,0,0,1.2,1.2,0,0,5.875,5.875,0,0,2.75,2.75,0,0,86.3,86.125,-7,5,373.05,373.0,-2,2,47.325,47.4,3,7,25.625,22.725,-116,19,15.7,15.7,0,0,1.825,1.825,0,0,0.125,0.125,0,0,509.425,509.275,-6,7,122.9,115.15,-310,24,0.0,0.0,0,0
own_v1,O2,llvm_default_opt_boundary_3,40,True,6.225,6.05,-7,1,46.475,46.15,-13,1,785.625,674.35,-4451,40,4.2,4.175,-1,1,14.825,14.325,-20,11,13.625,13.175,-18,11,1.2,1.15,-2,1,5.875,5.7,-7,8,2.75,2.75,0,0,86.125,67.775,-734,27,373.0,288.8,-3368,27,47.4,46.525,-35,16,22.725,21.9,-33,11,15.7,15.65,-2,1,1.825,1.825,0,0,0.125,0.125,0,0,509.275,405.85,-4137,40,115.15,111.575,-143,25,0.0,0.0,0,0
own_v1,O2,custom_storage_delift,40,False,6.05,6.05,0,0,46.15,46.15,0,0,674.35,674.35,0,0,4.175,4.175,0,0,14.325,14.325,0,0,13.175,13.175,0,0,1.15,1.15,0,0,5.7,5.7,0,0,2.75,2.75,0,0,67.775,67.775,0,0,288.8,288.8,0,0,46.525,46.525,0,0,21.9,21.9,0,0,15.65,15.65,0,0,1.825,1.825,0,0,0.125,0.125,0,0,405.85,405.85,0,0,111.575,111.575,0,0,0.0,0.0,0,0
