dataset,level,sample_id,transition,pure_default_optimizer_boundary,opcode,before,after,delta
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,add,133,9,-124
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,alloca,0,2,2
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,and,198,5,-193
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,ashr,44,0,-44
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,br,126,24,-102
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,call,67,15,-52
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,getelementptr,11,56,45
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,icmp,248,14,-234
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,inttoptr,127,1,-126
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,load,196,22,-174
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,lshr,106,0,-106
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,mul,25,1,-24
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,or,40,4,-36
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,phi,7,13,6
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,ptrtoint,0,6,6
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,ret,33,4,-29
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,select,30,6,-24
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,sext,5,4,-1
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,shl,54,5,-49
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,store,526,130,-396
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,sub,232,1,-231
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,switch,0,1,1
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,trunc,360,2,-358
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,unreachable,3,0,-3
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,xor,177,5,-172
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,False,zext,391,8,-383
