dataset,level,transition,pure_default_optimizer_boundary,opcode,total_before,total_after,total_delta,cases_changed
public_v1,O1,main_combined_custom_plus_opt_1_2,False,add,14799,3451,-11348,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,alloca,0,161,161,37
public_v1,O1,main_combined_custom_plus_opt_1_2,False,and,22049,2466,-19583,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,ashr,6003,96,-5907,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,br,15689,3269,-12420,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,call,4144,2406,-1738,39
public_v1,O1,main_combined_custom_plus_opt_1_2,False,getelementptr,1867,4805,2938,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,icmp,27809,2065,-25744,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,inttoptr,17220,242,-16978,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,load,24374,6695,-17679,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,lshr,10859,165,-10694,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,mul,3858,890,-2968,39
public_v1,O1,main_combined_custom_plus_opt_1_2,False,or,5054,1810,-3244,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,phi,441,1479,1038,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,ptrtoint,0,717,717,34
public_v1,O1,main_combined_custom_plus_opt_1_2,False,ret,1552,212,-1340,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,select,3720,964,-2756,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,sext,1277,931,-346,36
public_v1,O1,main_combined_custom_plus_opt_1_2,False,shl,6596,734,-5862,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,store,53684,9827,-43857,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,sub,28799,856,-27943,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,switch,2,91,89,27
public_v1,O1,main_combined_custom_plus_opt_1_2,False,trunc,40899,776,-40123,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,unreachable,593,79,-514,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,xor,19023,1471,-17552,40
public_v1,O1,main_combined_custom_plus_opt_1_2,False,zext,46209,2818,-43391,40
public_v1,O1,bundle_exact_pointer_passes,False,add,3451,3225,-226,19
public_v1,O1,bundle_exact_pointer_passes,False,alloca,161,157,-4,4
public_v1,O1,bundle_exact_pointer_passes,False,and,2466,2464,-2,6
public_v1,O1,bundle_exact_pointer_passes,False,br,3269,3175,-94,25
public_v1,O1,bundle_exact_pointer_passes,False,call,2406,2393,-13,5
public_v1,O1,bundle_exact_pointer_passes,False,getelementptr,4805,4662,-143,23
public_v1,O1,bundle_exact_pointer_passes,False,icmp,2065,2061,-4,2
public_v1,O1,bundle_exact_pointer_passes,False,inttoptr,242,241,-1,1
public_v1,O1,bundle_exact_pointer_passes,False,load,6695,6612,-83,15
public_v1,O1,bundle_exact_pointer_passes,False,mul,890,890,0,0
public_v1,O1,bundle_exact_pointer_passes,False,or,1810,1806,-4,2
public_v1,O1,bundle_exact_pointer_passes,False,phi,1479,1442,-37,8
public_v1,O1,bundle_exact_pointer_passes,False,ptrtoint,717,638,-79,23
public_v1,O1,bundle_exact_pointer_passes,False,ret,212,212,0,0
public_v1,O1,bundle_exact_pointer_passes,False,select,964,960,-4,4
public_v1,O1,bundle_exact_pointer_passes,False,sext,931,928,-3,2
public_v1,O1,bundle_exact_pointer_passes,False,shl,734,724,-10,3
public_v1,O1,bundle_exact_pointer_passes,False,store,9827,9741,-86,7
public_v1,O1,bundle_exact_pointer_passes,False,sub,856,469,-387,23
public_v1,O1,bundle_exact_pointer_passes,False,switch,91,89,-2,1
public_v1,O1,bundle_exact_pointer_passes,False,trunc,776,767,-9,4
public_v1,O1,bundle_exact_pointer_passes,False,xor,1471,1472,1,1
public_v1,O1,bundle_exact_pointer_passes,False,zext,2818,2788,-30,5
public_v1,O1,llvm_default_opt_boundary_3,True,add,3225,2801,-424,27
public_v1,O1,llvm_default_opt_boundary_3,True,alloca,157,156,-1,1
public_v1,O1,llvm_default_opt_boundary_3,True,and,2464,1935,-529,13
public_v1,O1,llvm_default_opt_boundary_3,True,br,3175,3137,-38,20
public_v1,O1,llvm_default_opt_boundary_3,True,call,2393,2385,-8,10
public_v1,O1,llvm_default_opt_boundary_3,True,getelementptr,4662,4334,-328,27
public_v1,O1,llvm_default_opt_boundary_3,True,icmp,2061,1965,-96,19
public_v1,O1,llvm_default_opt_boundary_3,True,inttoptr,241,235,-6,1
public_v1,O1,llvm_default_opt_boundary_3,True,load,6612,6250,-362,23
public_v1,O1,llvm_default_opt_boundary_3,True,mul,890,769,-121,11
public_v1,O1,llvm_default_opt_boundary_3,True,or,1806,1309,-497,15
public_v1,O1,llvm_default_opt_boundary_3,True,phi,1442,1380,-62,27
public_v1,O1,llvm_default_opt_boundary_3,True,ptrtoint,638,223,-415,24
public_v1,O1,llvm_default_opt_boundary_3,True,ret,212,209,-3,3
public_v1,O1,llvm_default_opt_boundary_3,True,select,960,962,2,11
public_v1,O1,llvm_default_opt_boundary_3,True,sext,928,891,-37,15
public_v1,O1,llvm_default_opt_boundary_3,True,shl,724,703,-21,11
public_v1,O1,llvm_default_opt_boundary_3,True,store,9741,9114,-627,22
public_v1,O1,llvm_default_opt_boundary_3,True,sub,469,353,-116,19
public_v1,O1,llvm_default_opt_boundary_3,True,switch,89,88,-1,1
public_v1,O1,llvm_default_opt_boundary_3,True,trunc,767,739,-28,15
public_v1,O1,llvm_default_opt_boundary_3,True,xor,1472,1255,-217,12
public_v1,O1,llvm_default_opt_boundary_3,True,zext,2788,2347,-441,18
public_v1,O1,custom_storage_delift,False,add,2801,2801,0,0
public_v1,O1,custom_storage_delift,False,alloca,156,156,0,0
public_v1,O1,custom_storage_delift,False,and,1935,1935,0,0
public_v1,O1,custom_storage_delift,False,br,3137,3137,0,0
public_v1,O1,custom_storage_delift,False,call,2385,2385,0,0
public_v1,O1,custom_storage_delift,False,getelementptr,4334,4334,0,0
public_v1,O1,custom_storage_delift,False,icmp,1965,1965,0,0
public_v1,O1,custom_storage_delift,False,inttoptr,235,235,0,0
public_v1,O1,custom_storage_delift,False,load,6250,6250,0,0
public_v1,O1,custom_storage_delift,False,phi,1380,1380,0,0
public_v1,O1,custom_storage_delift,False,ptrtoint,223,223,0,0
public_v1,O1,custom_storage_delift,False,ret,209,209,0,0
public_v1,O1,custom_storage_delift,False,select,962,962,0,0
public_v1,O1,custom_storage_delift,False,sext,891,891,0,0
public_v1,O1,custom_storage_delift,False,shl,703,703,0,0
public_v1,O1,custom_storage_delift,False,store,9114,9114,0,0
public_v1,O1,custom_storage_delift,False,sub,353,353,0,0
public_v1,O1,custom_storage_delift,False,switch,88,88,0,0
public_v1,O1,custom_storage_delift,False,zext,2347,2347,0,0
public_v1,O1,custom_residual_strip,False,add,2801,2801,0,0
public_v1,O1,custom_residual_strip,False,alloca,156,156,0,0
public_v1,O1,custom_residual_strip,False,and,1935,1935,0,0
public_v1,O1,custom_residual_strip,False,br,3137,3137,0,0
