dataset,level,sample_id,stage,functions,blocks,instructions,conditional_branches,calls,direct_calls,indirect_calls,intrinsics,allocas,loads,stores,geps,phis,selects,switches,unreachable,memory_ops,scalar_cleanup_ops,vector_instructions,structural_sha256
public_v1,O1,p00001,raw_lift,33,170,3139,63,67,61,6,21,0,196,526,11,7,30,0,3,733,1168,0,1a17752fd7069e2796e970eac1a5d779b681c443424fd1aeb5c5dd3046b39418
public_v1,O1,p00001,brightened_main,4,32,338,8,15,15,0,4,2,22,130,56,13,6,1,0,210,54,0,e8b172a1c89c290fcbaf9ba1db96a7a89cdba982fbecce2dc4444b1a79f0545b
public_v1,O1,p00001,bundle_verified_input,4,32,338,8,15,15,0,4,2,22,130,56,13,6,1,0,210,54,0,0bc160e21347e0a65d88a6ad56cab19b93eb28822162f1ab64faa2348c00eeb0
public_v1,O1,p00001,bundle_pointer_opt,4,30,291,7,13,13,0,2,1,20,112,42,10,5,1,0,175,47,0,49cc484e5c93d6f4b456cd79e488abc9248081d2975acbf7140c2516fbc46e85
public_v1,O1,p00001,bundle_standard_opt_3,4,26,232,5,15,15,0,4,1,12,107,38,4,5,1,0,158,25,0,56d333698b6fa52db16958654b063aa7c9931b7ae7e03edc68783fd77587868f
public_v1,O1,p00001,bundle_storage_delift,4,26,232,5,15,15,0,4,1,12,107,38,4,5,1,0,158,25,0,56d333698b6fa52db16958654b063aa7c9931b7ae7e03edc68783fd77587868f
public_v1,O1,p00001,bundle_residual_strip,4,26,232,5,15,15,0,4,1,12,107,38,4,5,1,0,158,25,0,56d333698b6fa52db16958654b063aa7c9931b7ae7e03edc68783fd77587868f
public_v1,O1,p00001,final_clean,2,23,168,5,13,13,0,4,1,8,58,37,7,2,1,0,104,22,0,ef8992625d8f742c7147028722c88b5823d3eee0a83e87744981e0edde6d4908
public_v1,O1,p00008,raw_lift,24,200,3614,86,34,29,5,7,0,217,480,13,3,45,0,3,710,1502,0,241e767720614c0abc3b1d7acdd74b3991292840a9917f391d9dffe4e9162178
public_v1,O1,p00008,brightened_main,2,32,298,13,7,7,0,5,3,45,39,76,4,3,0,0,163,45,0,95d59a02e1e3e72e473891fe19f21abfa0dc9995b15e64f4f23f6905a65d3491
public_v1,O1,p00008,bundle_verified_input,2,32,298,13,7,7,0,5,3,45,39,76,4,3,0,0,163,45,0,390cf7605a1c3399b144644dff93e4dd7fd87bc77dc2e2803b3417cc214db5e5
public_v1,O1,p00008,bundle_pointer_opt,2,32,292,13,7,7,0,5,3,45,39,84,4,3,0,0,171,45,0,cec3227b9a15c6a699dfba4cb73761f121c7463896b47f19eb3ea77a0f7839d4
public_v1,O1,p00008,bundle_standard_opt_3,2,27,228,14,7,7,0,5,3,31,39,45,6,3,0,0,118,44,0,7551382fca1c13da53c198ceeb0ea9b89df6a0a9da98b0d6dc97469fcbc71271
public_v1,O1,p00008,bundle_storage_delift,2,27,228,14,7,7,0,5,3,31,39,45,6,3,0,0,118,44,0,7551382fca1c13da53c198ceeb0ea9b89df6a0a9da98b0d6dc97469fcbc71271
public_v1,O1,p00008,bundle_residual_strip,2,27,228,14,7,7,0,5,3,31,39,45,6,3,0,0,118,44,0,7551382fca1c13da53c198ceeb0ea9b89df6a0a9da98b0d6dc97469fcbc71271
public_v1,O1,p00008,final_clean,2,27,243,14,7,7,0,5,3,17,39,45,35,3,0,0,104,73,0,fad2a5a1047573680942f9c3371e723f3415ef7a5d9705d1f759e70eedaac85e
public_v1,O1,p00033,raw_lift,27,231,4099,99,54,49,5,17,0,202,590,14,3,49,0,3,806,1597,0,ac63ece6e04f27f7f81d56ffb6ba64769d108faee472dd93f32cf1d2c692aba6
public_v1,O1,p00033,brightened_main,4,88,559,4,18,18,0,3,13,82,116,67,5,17,2,0,278,78,0,54b58d91ee283fd9a999825c26a00c5a92f89612534089b0c83e46b91b040254
