dataset,level,sample_id,transition,before_stage,after_stage,pure_default_optimizer_boundary,functions_before,functions_after,functions_delta,functions_delta_ratio,blocks_before,blocks_after,blocks_delta,blocks_delta_ratio,instructions_before,instructions_after,instructions_delta,instructions_delta_ratio,conditional_branches_before,conditional_branches_after,conditional_branches_delta,conditional_branches_delta_ratio,calls_before,calls_after,calls_delta,calls_delta_ratio,direct_calls_before,direct_calls_after,direct_calls_delta,direct_calls_delta_ratio,indirect_calls_before,indirect_calls_after,indirect_calls_delta,indirect_calls_delta_ratio,intrinsics_before,intrinsics_after,intrinsics_delta,intrinsics_delta_ratio,allocas_before,allocas_after,allocas_delta,allocas_delta_ratio,loads_before,loads_after,loads_delta,loads_delta_ratio,stores_before,stores_after,stores_delta,stores_delta_ratio,geps_before,geps_after,geps_delta,geps_delta_ratio,phis_before,phis_after,phis_delta,phis_delta_ratio,selects_before,selects_after,selects_delta,selects_delta_ratio,switches_before,switches_after,switches_delta,switches_delta_ratio,unreachable_before,unreachable_after,unreachable_delta,unreachable_delta_ratio,memory_ops_before,memory_ops_after,memory_ops_delta,memory_ops_delta_ratio,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,scalar_cleanup_ops_delta_ratio,vector_instructions_before,vector_instructions_after,vector_instructions_delta,vector_instructions_delta_ratio
public_v1,O1,p00001,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,33,4,-29,-0.8787878787878788,170,32,-138,-0.8117647058823529,3139,338,-2801,-0.89232239566741,63,8,-55,-0.873015873015873,67,15,-52,-0.7761194029850746,61,15,-46,-0.7540983606557377,6,0,-6,-1.0,21,4,-17,-0.8095238095238095,0,2,2,,196,22,-174,-0.8877551020408163,526,130,-396,-0.752851711026616,11,56,45,4.090909090909091,7,13,6,0.8571428571428571,30,6,-24,-0.8,0,1,1,,3,0,-3,-1.0,733,210,-523,-0.713506139154161,1168,54,-1114,-0.9537671232876712,0,0,0,
public_v1,O1,p00001,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,4,4,0,0.0,32,30,-2,-0.0625,338,291,-47,-0.1390532544378698,8,7,-1,-0.125,15,13,-2,-0.13333333333333333,15,13,-2,-0.13333333333333333,0,0,0,,4,2,-2,-0.5,2,1,-1,-0.5,22,20,-2,-0.09090909090909091,130,112,-18,-0.13846153846153847,56,42,-14,-0.25,13,10,-3,-0.23076923076923078,6,5,-1,-0.16666666666666666,1,1,0,0.0,0,0,0,,210,175,-35,-0.16666666666666666,54,47,-7,-0.12962962962962962,0,0,0,
public_v1,O1,p00001,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,4,4,0,0.0,30,26,-4,-0.13333333333333333,291,232,-59,-0.2027491408934708,7,5,-2,-0.2857142857142857,13,15,2,0.15384615384615385,13,15,2,0.15384615384615385,0,0,0,,2,4,2,1.0,1,1,0,0.0,20,12,-8,-0.4,112,107,-5,-0.044642857142857144,42,38,-4,-0.09523809523809523,10,4,-6,-0.6,5,5,0,0.0,1,1,0,0.0,0,0,0,,175,158,-17,-0.09714285714285714,47,25,-22,-0.46808510638297873,0,0,0,
public_v1,O1,p00001,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,4,4,0,0.0,26,26,0,0.0,232,232,0,0.0,5,5,0,0.0,15,15,0,0.0,15,15,0,0.0,0,0,0,,4,4,0,0.0,1,1,0,0.0,12,12,0,0.0,107,107,0,0.0,38,38,0,0.0,4,4,0,0.0,5,5,0,0.0,1,1,0,0.0,0,0,0,,158,158,0,0.0,25,25,0,0.0,0,0,0,
public_v1,O1,p00001,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,4,4,0,0.0,26,26,0,0.0,232,232,0,0.0,5,5,0,0.0,15,15,0,0.0,15,15,0,0.0,0,0,0,,4,4,0,0.0,1,1,0,0.0,12,12,0,0.0,107,107,0,0.0,38,38,0,0.0,4,4,0,0.0,5,5,0,0.0,1,1,0,0.0,0,0,0,,158,158,0,0.0,25,25,0,0.0,0,0,0,
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,4,2,-2,-0.5,26,23,-3,-0.11538461538461539,232,168,-64,-0.27586206896551724,5,5,0,0.0,15,13,-2,-0.13333333333333333,15,13,-2,-0.13333333333333333,0,0,0,,4,4,0,0.0,1,1,0,0.0,12,8,-4,-0.3333333333333333,107,58,-49,-0.45794392523364486,38,37,-1,-0.02631578947368421,4,7,3,0.75,5,2,-3,-0.6,1,1,0,0.0,0,0,0,,158,104,-54,-0.34177215189873417,25,22,-3,-0.12,0,0,0,
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,24,2,-22,-0.9166666666666666,200,32,-168,-0.84,3614,298,-3316,-0.9175428887659104,86,13,-73,-0.8488372093023255,34,7,-27,-0.7941176470588235,29,7,-22,-0.7586206896551724,5,0,-5,-1.0,7,5,-2,-0.2857142857142857,0,3,3,,217,45,-172,-0.7926267281105991,480,39,-441,-0.91875,13,76,63,4.846153846153846,3,4,1,0.3333333333333333,45,3,-42,-0.9333333333333333,0,0,0,,3,0,-3,-1.0,710,163,-547,-0.7704225352112676,1502,45,-1457,-0.9700399467376831,0,0,0,
public_v1,O1,p00008,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,2,2,0,0.0,32,32,0,0.0,298,292,-6,-0.020134228187919462,13,13,0,0.0,7,7,0,0.0,7,7,0,0.0,0,0,0,,5,5,0,0.0,3,3,0,0.0,45,45,0,0.0,39,39,0,0.0,76,84,8,0.10526315789473684,4,4,0,0.0,3,3,0,0.0,0,0,0,,0,0,0,,163,171,8,0.049079754601226995,45,45,0,0.0,0,0,0,
public_v1,O1,p00008,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,2,2,0,0.0,32,27,-5,-0.15625,292,228,-64,-0.2191780821917808,13,14,1,0.07692307692307693,7,7,0,0.0,7,7,0,0.0,0,0,0,,5,5,0,0.0,3,3,0,0.0,45,31,-14,-0.3111111111111111,39,39,0,0.0,84,45,-39,-0.4642857142857143,4,6,2,0.5,3,3,0,0.0,0,0,0,,0,0,0,,171,118,-53,-0.30994152046783624,45,44,-1,-0.022222222222222223,0,0,0,
public_v1,O1,p00008,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,2,2,0,0.0,27,27,0,0.0,228,228,0,0.0,14,14,0,0.0,7,7,0,0.0,7,7,0,0.0,0,0,0,,5,5,0,0.0,3,3,0,0.0,31,31,0,0.0,39,39,0,0.0,45,45,0,0.0,6,6,0,0.0,3,3,0,0.0,0,0,0,,0,0,0,,118,118,0,0.0,44,44,0,0.0,0,0,0,
