dataset,level,transition,n,pure_default_optimizer_boundary,mean_functions_before,mean_functions_after,total_functions_delta,cases_functions_changed,mean_blocks_before,mean_blocks_after,total_blocks_delta,cases_blocks_changed,mean_instructions_before,mean_instructions_after,total_instructions_delta,cases_instructions_changed,mean_conditional_branches_before,mean_conditional_branches_after,total_conditional_branches_delta,cases_conditional_branches_changed,mean_calls_before,mean_calls_after,total_calls_delta,cases_calls_changed,mean_direct_calls_before,mean_direct_calls_after,total_direct_calls_delta,cases_direct_calls_changed,mean_indirect_calls_before,mean_indirect_calls_after,total_indirect_calls_delta,cases_indirect_calls_changed,mean_intrinsics_before,mean_intrinsics_after,total_intrinsics_delta,cases_intrinsics_changed,mean_allocas_before,mean_allocas_after,total_allocas_delta,cases_allocas_changed,mean_loads_before,mean_loads_after,total_loads_delta,cases_loads_changed,mean_stores_before,mean_stores_after,total_stores_delta,cases_stores_changed,mean_geps_before,mean_geps_after,total_geps_delta,cases_geps_changed,mean_phis_before,mean_phis_after,total_phis_delta,cases_phis_changed,mean_selects_before,mean_selects_after,total_selects_delta,cases_selects_changed,mean_switches_before,mean_switches_after,total_switches_delta,cases_switches_changed,mean_unreachable_before,mean_unreachable_after,total_unreachable_delta,cases_unreachable_changed,mean_memory_ops_before,mean_memory_ops_after,total_memory_ops_delta,cases_memory_ops_changed,mean_scalar_cleanup_ops_before,mean_scalar_cleanup_ops_after,total_scalar_cleanup_ops_delta,cases_scalar_cleanup_ops_changed,mean_vector_instructions_before,mean_vector_instructions_after,total_vector_instructions_delta,cases_vector_instructions_changed
public_v1,O1,main_combined_custom_plus_opt_1_2,40,False,38.8,5.225,-1343,40,441.95,91.95,-14000,40,8940.675,1269.875,-306832,40,199.95,13.5,-7458,40,103.6,60.15,-1738,39,97.9,60.15,-1510,40,5.7,0.0,-228,40,39.125,5.775,-1334,40,0.0,4.025,161,37,609.35,167.375,-17679,40,1342.1,245.675,-43857,40,46.675,120.125,2938,40,11.025,36.975,1038,40,93.0,24.1,-2756,40,0.05,2.275,89,27,14.825,1.975,-514,40,1998.125,537.2,-58437,40,3453.925,251.5,-128097,40,0.3,0.0,-12,2
public_v1,O1,bundle_exact_pointer_passes,40,False,5.225,5.225,0,0,91.95,89.55,-96,25,1269.875,1239.075,-1232,30,13.5,13.325,-7,6,60.15,59.825,-13,5,60.15,59.825,-13,5,0.0,0.0,0,0,5.775,5.575,-8,4,4.025,3.925,-4,4,167.375,165.3,-83,15,245.675,243.525,-86,7,120.125,116.55,-143,23,36.975,36.05,-37,8,24.1,24.0,-4,4,2.275,2.225,-2,1,1.975,1.975,0,0,537.2,529.3,-316,26,251.5,247.325,-167,26,0.0,0.0,0,0
public_v1,O1,llvm_default_opt_boundary_3,40,True,5.225,5.15,-3,3,89.55,88.45,-44,20,1239.075,1124.625,-4578,34,13.325,13.625,12,15,59.825,59.625,-8,10,59.825,59.625,-8,10,0.0,0.0,0,0,5.575,5.625,2,4,3.925,3.9,-1,1,165.3,156.25,-362,23,243.525,227.85,-627,22,116.55,108.35,-328,27,36.05,34.5,-62,27,24.0,24.05,2,11,2.225,2.2,-1,1,1.975,1.95,-1,1,529.3,496.35,-1318,31,247.325,220.25,-1083,31,0.0,0.0,0,0
public_v1,O1,custom_storage_delift,40,False,5.15,5.15,0,0,88.45,88.45,0,0,1124.625,1124.625,0,0,13.625,13.625,0,0,59.625,59.625,0,0,59.625,59.625,0,0,0.0,0.0,0,0,5.625,5.625,0,0,3.9,3.9,0,0,156.25,156.25,0,0,227.85,227.85,0,0,108.35,108.35,0,0,34.5,34.5,0,0,24.05,24.05,0,0,2.2,2.2,0,0,1.95,1.95,0,0,496.35,496.35,0,0,220.25,220.25,0,0,0.0,0.0,0,0
public_v1,O1,custom_residual_strip,40,False,5.15,5.15,0,0,88.45,88.45,0,0,1124.625,1124.625,0,0,13.625,13.625,0,0,59.625,59.625,0,0,59.625,59.625,0,0,0.0,0.0,0,0,5.625,5.625,0,0,3.9,3.9,0,0,156.25,156.25,0,0,227.85,227.85,0,0,108.35,108.35,0,0,34.5,34.5,0,0,24.05,24.05,0,0,2.2,2.2,0,0,1.95,1.95,0,0,496.35,496.35,0,0,220.25,220.25,0,0,0.0,0.0,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,40,False,5.15,4.95,-8,6,88.45,87.85,-24,19,1124.625,1069.475,-2206,37,13.625,13.775,6,5,59.625,59.2,-17,8,59.625,59.2,-17,8,0.0,0.0,0,0,5.625,5.625,0,0,3.9,4.0,4,2,156.25,149.95,-252,34,227.85,199.05,-1152,32,108.35,97.125,-449,25,34.5,40.8,252,31,24.05,21.325,-109,25,2.2,2.225,1,1,1.95,2.0,2,1,496.35,450.125,-1849,35,220.25,221.65,56,31,0.0,0.0,0,0
public_v1,O2,main_combined_custom_plus_opt_1_2,40,False,38.8,5.1,-1348,40,441.95,90.3,-14066,40,8940.675,1232.025,-308346,40,199.95,13.95,-7440,40,103.6,58.7,-1796,40,97.9,58.7,-1568,40,5.7,0.0,-228,40,39.125,5.05,-1363,40,0.0,3.725,149,37,609.35,164.225,-17805,40,1342.1,224.7,-44696,40,46.675,115.85,2767,40,11.025,41.15,1205,40,93.0,22.45,-2822,40,0.05,2.275,89,27,14.825,1.85,-519,40,1998.125,508.5,-59585,40,3453.925,251.3,-128105,40,0.3,0.0,-12,2
public_v1,O2,bundle_exact_pointer_passes,40,False,5.1,5.1,0,0,90.3,87.925,-95,27,1232.025,1204.55,-1099,32,13.95,13.675,-11,4,58.7,58.55,-6,2,58.7,58.55,-6,2,0.0,0.0,0,0,5.05,5.0,-2,1,3.725,3.7,-1,1,164.225,161.8,-97,11,224.7,223.7,-40,2,115.85,113.7,-86,23,41.15,39.825,-53,14,22.45,22.475,1,5,2.275,2.225,-2,1,1.85,1.85,0,0,508.5,502.9,-224,23,251.3,247.275,-161,25,0.0,0.0,0,0
public_v1,O2,llvm_default_opt_boundary_3,40,True,5.1,4.975,-5,5,87.925,87.05,-35,18,1204.55,1085.925,-4745,31,13.675,13.95,11,13,58.55,58.525,-1,13,58.55,58.525,-1,13,0.0,0.0,0,0,5.0,5.125,5,2,3.7,3.7,0,0,161.8,152.775,-361,22,223.7,203.725,-799,26,113.7,102.25,-458,28,39.825,38.875,-38,23,22.475,22.5,1,14,2.225,2.225,0,0,1.85,1.9,2,1,502.9,462.45,-1618,31,247.275,222.7,-983,29,0.0,0.0,0,0
public_v1,O2,custom_storage_delift,40,False,4.975,4.975,0,0,87.05,87.05,0,0,1085.925,1085.925,0,0,13.95,13.95,0,0,58.525,58.525,0,0,58.525,58.525,0,0,0.0,0.0,0,0,5.125,5.125,0,0,3.7,3.7,0,0,152.775,152.775,0,0,203.725,203.725,0,0,102.25,102.25,0,0,38.875,38.875,0,0,22.5,22.5,0,0,2.225,2.225,0,0,1.9,1.9,0,0,462.45,462.45,0,0,222.7,222.7,0,0,0.0,0.0,0,0
public_v1,O2,custom_residual_strip,40,False,4.975,4.975,0,0,87.05,87.05,0,0,1085.925,1085.925,0,0,13.95,13.95,0,0,58.525,58.525,0,0,58.525,58.525,0,0,0.0,0.0,0,0,5.125,5.125,0,0,3.7,3.7,0,0,152.775,152.775,0,0,203.725,203.725,0,0,102.25,102.25,0,0,38.875,38.875,0,0,22.5,22.5,0,0,2.225,2.225,0,0,1.9,1.9,0,0,462.45,462.45,0,0,222.7,222.7,0,0,0.0,0.0,0,0
public_v1,O2,final_tail_opt_4_plus_custom_cleanup,40,False,4.975,4.875,-4,8,87.05,86.6,-18,13,1085.925,1058.3,-1105,31,13.95,14.025,3,2,58.525,58.325,-8,7,58.525,58.325,-8,7,0.0,0.0,0,0,5.125,5.1,-1,1,3.7,3.825,5,1,152.775,150.025,-110,15,203.725,201.075,-106,9,102.25,95.525,-269,21,38.875,38.95,3,10,22.5,21.0,-60,7,2.225,2.25,1,1,1.9,1.9,0,0,462.45,450.45,-480,24,222.7,216.8,-236,15,0.0,0.0,0,0
public_v1,O3,main_combined_custom_plus_opt_1_2,40,False,38.8,5.0,-1352,40,441.95,90.675,-14051,40,8940.675,1233.225,-308298,40,199.95,14.325,-7425,40,103.6,58.4,-1808,40,97.9,58.4,-1580,40,5.7,0.0,-228,40,39.125,5.025,-1364,40,0.0,3.85,154,37,609.35,164.075,-17811,40,1342.1,227.25,-44594,40,46.675,112.925,2650,40,11.025,42.25,1249,40,93.0,22.325,-2827,40,0.05,2.275,89,27,14.825,1.9,-517,40,1998.125,508.1,-59601,40,3453.925,252.675,-128050,40,0.3,0.0,-12,2
public_v1,O3,bundle_exact_pointer_passes,40,False,5.0,5.0,0,0,90.675,88.325,-94,26,1233.225,1205.95,-1091,32,14.325,14.025,-12,5,58.4,58.25,-6,2,58.4,58.25,-6,2,0.0,0.0,0,0,5.025,4.975,-2,1,3.85,3.825,-1,1,164.075,161.625,-98,11,227.25,226.25,-40,2,112.925,110.85,-83,21,42.25,40.5,-70,16,22.325,22.425,4,6,2.275,2.225,-2,1,1.9,1.9,0,0,508.1,502.55,-222,22,252.675,248.375,-172,25,0.0,0.0,0,0
public_v1,O3,llvm_default_opt_boundary_3,40,True,5.0,4.9,-4,4,88.325,88.525,8,17,1205.95,1096.625,-4373,32,14.025,14.7,27,12,58.25,58.125,-5,12,58.25,58.125,-5,12,0.0,0.0,0,0,4.975,5.1,5,2,3.825,3.675,-6,1,161.625,152.275,-374,24,226.25,207.325,-757,26,110.85,101.675,-367,27,40.5,40.875,15,25,22.425,22.525,4,16,2.225,2.225,0,0,1.9,1.9,0,0,502.55,464.95,-1504,31,248.375,227.6,-831,29,0.0,0.0,0,0
public_v1,O3,custom_storage_delift,40,False,4.9,4.9,0,0,88.525,88.525,0,0,1096.625,1096.625,0,0,14.7,14.7,0,0,58.125,58.125,0,0,58.125,58.125,0,0,0.0,0.0,0,0,5.1,5.1,0,0,3.675,3.675,0,0,152.275,152.275,0,0,207.325,207.325,0,0,101.675,101.675,0,0,40.875,40.875,0,0,22.525,22.525,0,0,2.225,2.225,0,0,1.9,1.9,0,0,464.95,464.95,0,0,227.6,227.6,0,0,0.0,0.0,0,0
public_v1,O3,custom_residual_strip,40,False,4.9,4.9,0,0,88.525,88.525,0,0,1096.625,1096.625,0,0,14.7,14.7,0,0,58.125,58.125,0,0,58.125,58.125,0,0,0.0,0.0,0,0,5.1,5.1,0,0,3.675,3.675,0,0,152.275,152.275,0,0,207.325,207.325,0,0,101.675,101.675,0,0,40.875,40.875,0,0,22.525,22.525,0,0,2.225,2.225,0,0,1.9,1.9,0,0,464.95,464.95,0,0,227.6,227.6,0,0,0.0,0.0,0,0
public_v1,O3,final_tail_opt_4_plus_custom_cleanup,40,False,4.9,4.8,-4,9,88.525,88.125,-16,11,1096.625,1067.975,-1146,29,14.7,14.825,5,2,58.125,57.875,-10,8,58.125,57.875,-10,8,0.0,0.0,0,0,5.1,5.075,-1,1,3.675,3.65,-1,1,152.275,150.4,-75,13,207.325,203.025,-172,9,101.675,94.125,-302,19,40.875,40.575,-12,9,22.525,21.2,-53,6,2.225,2.25,1,1,1.9,1.95,2,1,464.95,451.2,-550,21,227.6,221.975,-225,13,0.0,0.0,0,0
