sample_id,flow_id,status,llm_calls,compiler_attempts,compile_success_first,compile_success_final,compile_repair_rounds,behavioral_repair_rounds,fuzz_total,fuzz_matches,input_tokens,output_tokens,total_runtime
h00001,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,13708,3499,17.883990160000394
h00002,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,16857,3197,20.82520263599872
h00003,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,19215,3916,24.51399750800192
h00004,B0,PASS,1,1,True,True,0,0,1000,1000,16594,1634,22.092740779997257
h00005,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,16019,2835,20.434214715001872
h00006,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,18708,3980,23.15477022399864
h00007,B0,PASS,1,1,True,True,0,0,1000,1000,17756,4386,20.85208528200019
h00008,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,16659,3266,22.503397946995392
h00009,B0,PASS,1,1,True,True,0,0,1000,1000,16753,3734,22.887143282998295
h00010,B0,PASS,1,1,True,True,0,0,1000,1000,22917,3472,29.321415443999285
h00011,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,14456,2298,18.63784661400132
h00012,B0,PASS,1,1,True,True,0,0,1000,1000,10679,2006,17.423460810001416
h00013,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,12740,1684,18.251283798002987
h00014,B0,PASS,1,1,True,True,0,0,1000,1000,18601,4255,23.623055714000657
h00015,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,12960,3360,17.423284243996022
h00016,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,20288,3697,25.52960791700025
h00017,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,14660,3436,19.470922390006308
h00018,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,23707,4576,26.512410540999554
h00019,B0,FAIL_COMPILE,1,1,False,False,0,0,0,0,15877,3665,18.815388076996896
h00020,B0,FAIL_COMPILE,1,1,False,False,0,0,0,0,12984,2372,15.394122197998513
h00021,B0,FAIL_COMPILE,1,1,False,False,0,0,0,0,17126,2273,20.73005245799868
h00022,B0,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,4,10123,1082,17.630963720999716
h00023,B0,PASS,1,1,True,True,0,0,1000,1000,19930,2761,27.628461758999038
h00024,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,13319,1957,20.473742062000383
h00025,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,18107,3431,22.042108941997867
h00026,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,27038,5949,30.91370895200089
h00027,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,19970,4665,21.37791683099931
h00028,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,29372,6137,38.65734047500155
h00029,B0,PASS,1,1,True,True,0,0,1000,1000,21702,5339,25.83260048700322
h00030,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,29960,7556,34.68344803999935
h00031,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,16189,5152,18.990494690995547
h00032,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,22117,4816,24.402348399999028
h00033,B0,PASS,1,1,True,True,0,0,1000,1000,18994,4475,24.364209364001
h00034,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,25809,5560,32.91239049399883
h00035,B0,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,722,22904,3968,27.01189880000311
h00036,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,15843,1698,22.53410212699964
h00037,B0,FAIL_COMPILE,1,1,False,False,0,0,0,0,17761,2438,24.229438681002648
h00038,B0,PASS,1,1,True,True,0,0,1000,1000,24728,3305,25.87022309799795
h00039,B0,INCONCLUSIVE,1,0,False,False,0,0,0,0,12284,3249,15.805309611998382
h00040,B0,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,16147,1290,19.81680091200542
